instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,-1,0.333,0.407,0.582,0.687,0.333,0.0,0.0,0.0,0.0,0.0,0.333,0.407,0.582,0.687,0.333,8.587,9.733,11.267,12.2,8.0,19.04.24 - 06:59
1,-1,0.5,0.55,0.678,0.758,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.55,0.678,0.758,0.5,9.5,10.15,11.611,12.458,9.5,19.04.24 - 06:59
2,-1,0.5,0.6,0.733,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.733,0.8,0.5,10.967,12.187,13.124,13.593,9.5,19.04.24 - 06:59
3,-1,0.36,0.477,0.629,0.722,0.333,0.0,0.0,0.0,0.0,0.0,0.36,0.477,0.629,0.722,0.333,9.973,10.933,12.067,12.8,9.333,19.04.24 - 06:59
4,-1,0.333,0.407,0.582,0.687,0.333,0.0,0.0,0.0,0.0,0.0,0.333,0.407,0.582,0.687,0.333,7.653,9.187,10.991,11.993,7.333,19.04.24 - 06:59
5,-1,0.553,0.633,0.733,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.553,0.633,0.733,0.8,0.5,9.807,10.803,11.936,12.702,9.167,19.04.24 - 06:59
6,-1,0.5,0.55,0.678,0.758,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.55,0.678,0.758,0.5,9.64,10.707,11.938,12.703,9.0,19.04.24 - 06:59
7,-1,0.5,0.55,0.678,0.758,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.55,0.678,0.758,0.5,10.367,11.127,12.196,12.897,9.167,19.04.24 - 06:59
8,-1,0.5,0.557,0.682,0.762,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.557,0.682,0.762,0.5,9.333,10.16,11.596,12.447,9.333,19.04.24 - 06:59
9,-1,0.5,0.55,0.678,0.758,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.55,0.678,0.758,0.5,9.333,9.927,11.396,12.297,9.333,19.04.24 - 06:59
