instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,41,0.0,0.061,0.178,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061,0.178,0.35,0.0,3.789,5.122,6.563,8.372,3.667,22.05.24 - 10:51
1,39,0.0,0.076,0.163,0.339,0.0,0.0,0.05,0.044,0.033,0.0,0.0,0.039,0.133,0.317,0.0,4.0,4.85,6.037,8.011,4.0,22.05.24 - 10:51
2,-1,0.226,0.25,0.285,0.431,0.167,0.189,0.144,0.096,0.072,0.167,0.089,0.161,0.226,0.386,0.0,6.033,6.5,7.3,8.858,4.167,22.05.24 - 10:51
3,57,0.133,0.156,0.253,0.406,0.0,0.033,0.039,0.037,0.028,0.0,0.1,0.117,0.222,0.383,0.0,5.533,5.794,7.819,9.214,5.5,22.05.24 - 10:52
4,-1,0.333,0.394,0.385,0.506,0.333,0.167,0.244,0.181,0.136,0.167,0.167,0.15,0.204,0.369,0.167,5.667,5.744,6.541,8.389,5.667,22.05.24 - 10:52
5,-1,0.011,0.006,0.104,0.294,0.167,0.011,0.006,0.004,0.003,0.167,0.0,0.0,0.1,0.292,0.0,3.967,4.172,5.73,7.814,5.833,22.05.24 - 10:52
6,-1,0.178,0.183,0.294,0.437,0.167,0.178,0.117,0.081,0.061,0.167,0.0,0.067,0.215,0.378,0.0,3.322,5.056,6.696,8.372,3.0,22.05.24 - 10:52
7,-1,0.178,0.273,0.301,0.443,0.167,0.167,0.211,0.152,0.114,0.167,0.011,0.078,0.167,0.342,0.0,5.467,6.994,7.559,9.119,3.333,22.05.24 - 10:52
8,-1,0.246,0.238,0.296,0.438,0.167,0.2,0.156,0.104,0.078,0.167,0.111,0.128,0.222,0.383,0.0,7.233,7.567,8.422,9.667,5.5,22.05.24 - 10:52
9,48,0.033,0.1,0.156,0.333,0.0,0.0,0.072,0.056,0.042,0.0,0.033,0.028,0.1,0.292,0.0,6.067,6.983,7.493,9.136,3.667,22.05.24 - 10:52
