instance_id,Plasticity.lambda_plus,Plasticity.lambda_minus,Plasticity.lambda_h,Experiment.id,error_last,error_running-avg-0.5,false_positive_last,false_positive_running-avg-0.5,false_negative_last,false_negative_running-avg-0.5,active_somas_last,active_somas_running-avg-0.5,time_finished
307,0.049999999999999996,0.002,0.024,bss2-lambda,0.0,0.113,0.0,0.0,0.0,0.113,3.667,6.173,18.04.24 - 13:53
308,0.049999999999999996,0.0025,0.004,bss2-lambda,0.5,0.573,0.0,0.0,0.5,0.573,9.5,10.667,18.04.24 - 13:53
309,0.049999999999999996,0.0025,0.006,bss2-lambda,0.5,0.553,0.0,0.0,0.5,0.553,9.5,10.313,18.04.24 - 13:53
310,0.049999999999999996,0.0025,0.008,bss2-lambda,0.5,0.553,0.0,0.0,0.5,0.553,9.5,10.233,18.04.24 - 13:53
311,0.049999999999999996,0.0025,0.01,bss2-lambda,0.167,0.467,0.0,0.0,0.167,0.467,7.667,9.887,18.04.24 - 13:54
312,0.049999999999999996,0.0025,0.012,bss2-lambda,0.167,0.407,0.0,0.0,0.167,0.407,7.5,9.473,18.04.24 - 13:54
313,0.049999999999999996,0.0025,0.014,bss2-lambda,0.167,0.333,0.0,0.0,0.167,0.333,7.5,8.94,18.04.24 - 13:54
314,0.049999999999999996,0.0025,0.016,bss2-lambda,0.167,0.313,0.0,0.0,0.167,0.313,5.5,8.56,18.04.24 - 13:54
315,0.049999999999999996,0.0025,0.018000000000000002,bss2-lambda,0.167,0.253,0.0,0.0,0.167,0.253,5.5,7.827,18.04.24 - 13:55
316,0.049999999999999996,0.0025,0.02,bss2-lambda,0.167,0.253,0.0,0.0,0.167,0.253,5.5,7.66,18.04.24 - 13:55
317,0.049999999999999996,0.0025,0.022000000000000002,bss2-lambda,0.0,0.2,0.0,0.0,0.0,0.2,5.5,7.107,18.04.24 - 13:55
318,0.049999999999999996,0.0025,0.024,bss2-lambda,0.0,0.173,0.0,0.0,0.0,0.173,5.5,6.867,18.04.24 - 13:55
319,0.049999999999999996,0.003,0.004,bss2-lambda,0.5,0.607,0.0,0.0,0.5,0.607,9.5,11.14,18.04.24 - 13:56
320,0.049999999999999996,0.003,0.006,bss2-lambda,0.5,0.587,0.0,0.0,0.5,0.587,9.5,10.827,18.04.24 - 13:56
321,0.049999999999999996,0.003,0.008,bss2-lambda,0.5,0.607,0.0,0.0,0.5,0.607,9.5,10.873,18.04.24 - 13:56
322,0.049999999999999996,0.003,0.01,bss2-lambda,0.333,0.567,0.0,0.0,0.333,0.567,9.5,10.573,18.04.24 - 13:56
323,0.049999999999999996,0.003,0.012,bss2-lambda,0.333,0.493,0.0,0.0,0.333,0.493,9.5,10.253,18.04.24 - 13:57
324,0.049999999999999996,0.003,0.014,bss2-lambda,0.167,0.433,0.0,0.0,0.167,0.433,7.5,9.753,18.04.24 - 13:57
325,0.049999999999999996,0.003,0.016,bss2-lambda,0.167,0.36,0.0,0.0,0.167,0.36,7.5,9.193,18.04.24 - 13:57
326,0.049999999999999996,0.003,0.018000000000000002,bss2-lambda,0.167,0.34,0.0,0.0,0.167,0.34,7.5,8.973,18.04.24 - 13:57
327,0.049999999999999996,0.003,0.02,bss2-lambda,0.167,0.273,0.0,0.0,0.167,0.273,5.5,8.14,18.04.24 - 13:58
328,0.049999999999999996,0.003,0.022000000000000002,bss2-lambda,0.167,0.253,0.0,0.0,0.167,0.253,5.5,7.9,18.04.24 - 13:58
329,0.049999999999999996,0.003,0.024,bss2-lambda,0.167,0.22,0.0,0.0,0.167,0.22,5.5,7.26,18.04.24 - 13:58
330,0.049999999999999996,0.0035,0.004,bss2-lambda,0.5,0.66,0.0,0.0,0.5,0.66,9.5,11.847,18.04.24 - 13:58
331,0.049999999999999996,0.0035,0.006,bss2-lambda,0.5,0.647,0.0,0.0,0.5,0.647,9.5,11.553,18.04.24 - 13:58
332,0.049999999999999996,0.0035,0.008,bss2-lambda,0.5,0.66,0.0,0.0,0.5,0.66,9.5,11.513,18.04.24 - 13:59
333,0.049999999999999996,0.0035,0.01,bss2-lambda,0.5,0.653,0.0,0.0,0.5,0.653,9.5,11.373,18.04.24 - 13:59
334,0.049999999999999996,0.0035,0.012,bss2-lambda,0.333,0.593,0.0,0.0,0.333,0.593,9.5,11.013,18.04.24 - 13:59
335,0.049999999999999996,0.0035,0.014,bss2-lambda,0.333,0.54,0.0,0.0,0.333,0.54,9.5,10.773,18.04.24 - 13:59
336,0.049999999999999996,0.0035,0.016,bss2-lambda,0.333,0.48,0.0,0.0,0.333,0.48,7.5,10.133,18.04.24 - 14:00
337,0.049999999999999996,0.0035,0.018000000000000002,bss2-lambda,0.167,0.413,0.0,0.0,0.167,0.413,7.5,9.413,18.04.24 - 14:00
338,0.049999999999999996,0.0035,0.02,bss2-lambda,0.167,0.38,0.0,0.0,0.167,0.38,7.5,9.173,18.04.24 - 14:00
339,0.049999999999999996,0.0035,0.022000000000000002,bss2-lambda,0.167,0.347,0.0,0.0,0.167,0.347,7.5,8.953,18.04.24 - 14:00
340,0.049999999999999996,0.0035,0.024,bss2-lambda,0.167,0.267,0.0,0.0,0.167,0.267,5.5,7.98,18.04.24 - 14:01
341,0.049999999999999996,0.004,0.004,bss2-lambda,0.667,0.76,0.0,0.0,0.667,0.76,12.0,12.84,18.04.24 - 14:01
342,0.049999999999999996,0.004,0.006,bss2-lambda,0.667,0.8,0.0,0.0,0.667,0.8,12.0,13.2,18.04.24 - 14:01
343,0.049999999999999996,0.004,0.008,bss2-lambda,0.5,0.773,0.0,0.0,0.5,0.773,9.5,12.793,18.04.24 - 14:01
344,0.049999999999999996,0.004,0.01,bss2-lambda,0.5,0.727,0.0,0.0,0.5,0.727,9.5,12.193,18.04.24 - 14:01
345,0.049999999999999996,0.004,0.012,bss2-lambda,0.5,0.7,0.0,0.0,0.5,0.7,9.5,11.893,18.04.24 - 14:02
346,0.049999999999999996,0.004,0.014,bss2-lambda,0.333,0.62,0.0,0.0,0.333,0.62,9.5,11.353,18.04.24 - 14:02
347,0.049999999999999996,0.004,0.016,bss2-lambda,0.333,0.58,0.0,0.0,0.333,0.58,9.5,11.073,18.04.24 - 14:02
348,0.049999999999999996,0.004,0.018000000000000002,bss2-lambda,0.333,0.507,0.0,0.0,0.333,0.507,7.5,10.433,18.04.24 - 14:02
349,0.049999999999999996,0.004,0.02,bss2-lambda,0.333,0.493,0.0,0.0,0.333,0.493,7.5,10.273,18.04.24 - 14:02
350,0.049999999999999996,0.004,0.022000000000000002,bss2-lambda,0.167,0.407,0.0,0.0,0.167,0.407,7.5,9.313,18.04.24 - 14:03
351,0.049999999999999996,0.004,0.024,bss2-lambda,0.167,0.373,0.0,0.0,0.167,0.373,7.5,9.013,18.04.24 - 14:03
352,0.06,0.0005,0.004,bss2-lambda,0.167,0.133,0.167,0.02,0.0,0.113,4.833,7.953,18.04.24 - 14:03
353,0.06,0.0005,0.006,bss2-lambda,0.333,0.147,0.333,0.053,0.0,0.093,4.833,7.473,18.04.24 - 14:03
354,0.06,0.0005,0.008,bss2-lambda,0.0,0.067,0.0,0.0,0.0,0.067,3.667,5.7,18.04.24 - 14:04
355,0.06,0.0005,0.01,bss2-lambda,0.0,0.067,0.0,0.0,0.0,0.067,3.667,5.487,18.04.24 - 14:04
356,0.06,0.0005,0.012,bss2-lambda,0.0,0.047,0.0,0.0,0.0,0.047,3.667,5.18,18.04.24 - 14:04
357,0.06,0.0005,0.014,bss2-lambda,0.0,0.04,0.0,0.0,0.0,0.04,3.667,4.76,18.04.24 - 14:05
358,0.06,0.0005,0.016,bss2-lambda,0.0,0.033,0.0,0.0,0.0,0.033,3.667,4.507,18.04.24 - 14:05
359,0.06,0.0005,0.018000000000000002,bss2-lambda,0.0,0.027,0.0,0.0,0.0,0.027,3.667,4.407,18.04.24 - 14:05
360,0.06,0.0005,0.02,bss2-lambda,0.0,0.02,0.0,0.0,0.0,0.02,3.667,4.253,18.04.24 - 14:05
361,0.06,0.0005,0.022000000000000002,bss2-lambda,0.0,0.013,0.0,0.0,0.0,0.013,3.667,4.18,18.04.24 - 14:06
362,0.06,0.0005,0.024,bss2-lambda,0.0,0.0,0.0,0.0,0.0,0.0,3.667,3.667,18.04.24 - 14:06
363,0.06,0.001,0.004,bss2-lambda,0.0,0.193,0.0,0.0,0.0,0.193,8.5,8.847,18.04.24 - 14:06
364,0.06,0.001,0.006,bss2-lambda,0.167,0.153,0.167,0.007,0.0,0.147,4.833,8.373,18.04.24 - 14:06
365,0.06,0.001,0.008,bss2-lambda,0.0,0.133,0.0,0.0,0.0,0.133,3.667,6.92,18.04.24 - 14:07
366,0.06,0.001,0.01,bss2-lambda,0.0,0.107,0.0,0.0,0.0,0.107,3.667,6.307,18.04.24 - 14:07
367,0.06,0.001,0.012,bss2-lambda,0.0,0.093,0.0,0.0,0.0,0.093,3.667,6.0,18.04.24 - 14:07
368,0.06,0.001,0.014,bss2-lambda,0.0,0.067,0.0,0.0,0.0,0.067,3.667,5.347,18.04.24 - 14:07
369,0.06,0.001,0.016,bss2-lambda,0.0,0.053,0.0,0.0,0.0,0.053,3.667,5.027,18.04.24 - 14:08
370,0.06,0.001,0.018000000000000002,bss2-lambda,0.0,0.047,0.0,0.0,0.0,0.047,3.667,4.793,18.04.24 - 14:08
371,0.06,0.001,0.02,bss2-lambda,0.0,0.033,0.0,0.0,0.0,0.033,3.667,4.553,18.04.24 - 14:08
372,0.06,0.001,0.022000000000000002,bss2-lambda,0.0,0.027,0.0,0.0,0.0,0.027,3.667,4.4,18.04.24 - 14:09
373,0.06,0.001,0.024,bss2-lambda,0.0,0.02,0.0,0.0,0.0,0.02,3.667,4.333,18.04.24 - 14:09
374,0.06,0.0015,0.004,bss2-lambda,0.167,0.307,0.0,0.0,0.167,0.307,8.333,9.113,18.04.24 - 14:09
375,0.06,0.0015,0.006,bss2-lambda,0.167,0.28,0.0,0.0,0.167,0.28,5.5,8.507,18.04.24 - 14:09
376,0.06,0.0015,0.008,bss2-lambda,0.0,0.227,0.0,0.0,0.0,0.227,5.5,7.98,18.04.24 - 14:10
377,0.06,0.0015,0.01,bss2-lambda,0.0,0.187,0.0,0.0,0.0,0.187,5.5,7.56,18.04.24 - 14:10
378,0.06,0.0015,0.012,bss2-lambda,0.0,0.14,0.0,0.0,0.0,0.14,3.667,6.987,18.04.24 - 14:10
379,0.06,0.0015,0.014,bss2-lambda,0.0,0.093,0.0,0.0,0.0,0.093,3.667,6.187,18.04.24 - 14:10
380,0.06,0.0015,0.016,bss2-lambda,0.0,0.08,0.0,0.0,0.0,0.08,3.667,5.72,18.04.24 - 14:11
381,0.06,0.0015,0.018000000000000002,bss2-lambda,0.0,0.067,0.0,0.0,0.0,0.067,3.667,5.413,18.04.24 - 14:11
382,0.06,0.0015,0.02,bss2-lambda,0.0,0.06,0.0,0.0,0.0,0.06,3.667,5.173,18.04.24 - 14:11
383,0.06,0.0015,0.022000000000000002,bss2-lambda,0.0,0.047,0.0,0.0,0.0,0.047,3.667,4.86,18.04.24 - 14:12
384,0.06,0.0015,0.024,bss2-lambda,0.0,0.04,0.0,0.0,0.0,0.04,3.667,4.633,18.04.24 - 14:12
385,0.06,0.002,0.004,bss2-lambda,0.167,0.393,0.0,0.0,0.167,0.393,8.0,9.333,18.04.24 - 14:12
386,0.06,0.002,0.006,bss2-lambda,0.167,0.353,0.0,0.0,0.167,0.353,7.667,8.767,18.04.24 - 14:12
387,0.06,0.002,0.008,bss2-lambda,0.167,0.313,0.0,0.0,0.167,0.313,7.5,8.52,18.04.24 - 14:13
388,0.06,0.002,0.01,bss2-lambda,0.167,0.28,0.0,0.0,0.167,0.28,5.5,8.193,18.04.24 - 14:13
389,0.06,0.002,0.012,bss2-lambda,0.0,0.213,0.0,0.0,0.0,0.213,5.5,7.453,18.04.24 - 14:13
390,0.06,0.002,0.014,bss2-lambda,0.0,0.167,0.0,0.0,0.0,0.167,5.5,7.047,18.04.24 - 14:13
391,0.06,0.002,0.016,bss2-lambda,0.0,0.14,0.0,0.0,0.0,0.14,3.667,6.813,18.04.24 - 14:14
392,0.06,0.002,0.018000000000000002,bss2-lambda,0.0,0.1,0.0,0.0,0.0,0.1,3.667,6.26,18.04.24 - 14:14
393,0.06,0.002,0.02,bss2-lambda,0.0,0.087,0.0,0.0,0.0,0.087,3.667,5.713,18.04.24 - 14:14
394,0.06,0.002,0.022000000000000002,bss2-lambda,0.0,0.073,0.0,0.0,0.0,0.073,3.667,5.233,18.04.24 - 14:14
395,0.06,0.002,0.024,bss2-lambda,0.0,0.06,0.0,0.0,0.0,0.06,3.667,5.007,18.04.24 - 14:15
396,0.06,0.0025,0.004,bss2-lambda,0.333,0.507,0.0,0.0,0.333,0.507,8.0,9.947,18.04.24 - 14:15
397,0.06,0.0025,0.006,bss2-lambda,0.167,0.46,0.0,0.0,0.167,0.46,7.667,9.387,18.04.24 - 14:15
398,0.06,0.0025,0.008,bss2-lambda,0.167,0.407,0.0,0.0,0.167,0.407,7.667,8.927,18.04.24 - 14:15
399,0.06,0.0025,0.01,bss2-lambda,0.167,0.347,0.0,0.0,0.167,0.347,7.5,8.667,18.04.24 - 14:16
400,0.06,0.0025,0.012,bss2-lambda,0.167,0.307,0.0,0.0,0.167,0.307,5.5,8.333,18.04.24 - 14:16
401,0.06,0.0025,0.014,bss2-lambda,0.167,0.247,0.0,0.0,0.167,0.247,5.5,7.6,18.04.24 - 14:16
402,0.06,0.0025,0.016,bss2-lambda,0.0,0.2,0.0,0.0,0.0,0.2,5.5,7.113,18.04.24 - 14:16
403,0.06,0.0025,0.018000000000000002,bss2-lambda,0.0,0.16,0.0,0.0,0.0,0.16,5.5,6.707,18.04.24 - 14:17
404,0.06,0.0025,0.02,bss2-lambda,0.0,0.14,0.0,0.0,0.0,0.14,5.5,6.547,18.04.24 - 14:17
405,0.06,0.0025,0.022000000000000002,bss2-lambda,0.0,0.12,0.0,0.0,0.0,0.12,3.667,6.167,18.04.24 - 14:17
406,0.06,0.0025,0.024,bss2-lambda,0.0,0.087,0.0,0.0,0.0,0.087,3.667,5.62,18.04.24 - 14:17
407,0.06,0.003,0.004,bss2-lambda,0.5,0.54,0.0,0.0,0.5,0.54,9.833,10.353,18.04.24 - 14:18
408,0.06,0.003,0.006,bss2-lambda,0.5,0.527,0.0,0.0,0.5,0.527,9.5,9.927,18.04.24 - 14:18
409,0.06,0.003,0.008,bss2-lambda,0.167,0.487,0.0,0.0,0.167,0.487,7.667,9.493,18.04.24 - 14:18
410,0.06,0.003,0.01,bss2-lambda,0.167,0.407,0.0,0.0,0.167,0.407,7.667,9.173,18.04.24 - 14:18
411,0.06,0.003,0.012,bss2-lambda,0.167,0.367,0.0,0.0,0.167,0.367,7.5,8.907,18.04.24 - 14:19
412,0.06,0.003,0.014,bss2-lambda,0.167,0.3,0.0,0.0,0.167,0.3,5.5,8.313,18.04.24 - 14:19
413,0.06,0.003,0.016,bss2-lambda,0.167,0.26,0.0,0.0,0.167,0.26,5.5,7.833,18.04.24 - 14:19
414,0.06,0.003,0.018000000000000002,bss2-lambda,0.167,0.22,0.0,0.0,0.167,0.22,5.5,7.267,18.04.24 - 14:19
415,0.06,0.003,0.02,bss2-lambda,0.0,0.187,0.0,0.0,0.0,0.187,5.5,6.86,18.04.24 - 14:20
416,0.06,0.003,0.022000000000000002,bss2-lambda,0.0,0.167,0.0,0.0,0.0,0.167,5.5,6.62,18.04.24 - 14:20
417,0.06,0.003,0.024,bss2-lambda,0.0,0.147,0.0,0.0,0.0,0.147,5.5,6.547,18.04.24 - 14:20
418,0.06,0.0035,0.004,bss2-lambda,0.5,0.56,0.0,0.0,0.5,0.56,9.5,10.48,18.04.24 - 14:20
419,0.06,0.0035,0.006,bss2-lambda,0.5,0.547,0.0,0.0,0.5,0.547,9.5,10.227,18.04.24 - 14:21
420,0.06,0.0035,0.008,bss2-lambda,0.5,0.533,0.0,0.0,0.5,0.533,9.5,10.013,18.04.24 - 14:21
421,0.06,0.0035,0.01,bss2-lambda,0.333,0.507,0.0,0.0,0.333,0.507,9.5,9.893,18.04.24 - 14:21
422,0.06,0.0035,0.012,bss2-lambda,0.167,0.427,0.0,0.0,0.167,0.427,7.5,9.527,18.04.24 - 14:21
423,0.06,0.0035,0.014,bss2-lambda,0.167,0.327,0.0,0.0,0.167,0.327,7.5,8.793,18.04.24 - 14:21
424,0.06,0.0035,0.016,bss2-lambda,0.167,0.313,0.0,0.0,0.167,0.313,5.5,8.54,18.04.24 - 14:22
425,0.06,0.0035,0.018000000000000002,bss2-lambda,0.167,0.267,0.0,0.0,0.167,0.267,5.5,7.98,18.04.24 - 14:22
426,0.06,0.0035,0.02,bss2-lambda,0.167,0.26,0.0,0.0,0.167,0.26,5.5,7.74,18.04.24 - 14:22
427,0.06,0.0035,0.022000000000000002,bss2-lambda,0.167,0.22,0.0,0.0,0.167,0.22,5.5,7.18,18.04.24 - 14:22
428,0.06,0.0035,0.024,bss2-lambda,0.167,0.213,0.0,0.0,0.167,0.213,5.5,7.02,18.04.24 - 14:23
429,0.06,0.004,0.004,bss2-lambda,0.5,0.587,0.0,0.0,0.5,0.587,9.5,10.813,18.04.24 - 14:23
430,0.06,0.004,0.006,bss2-lambda,0.5,0.573,0.0,0.0,0.5,0.573,9.5,10.627,18.04.24 - 14:23
431,0.06,0.004,0.008,bss2-lambda,0.5,0.58,0.0,0.0,0.5,0.58,9.5,10.553,18.04.24 - 14:23
432,0.06,0.004,0.01,bss2-lambda,0.5,0.56,0.0,0.0,0.5,0.56,9.5,10.313,18.04.24 - 14:24
433,0.06,0.004,0.012,bss2-lambda,0.333,0.513,0.0,0.0,0.333,0.513,9.5,10.193,18.04.24 - 14:24
434,0.06,0.004,0.014,bss2-lambda,0.333,0.473,0.0,0.0,0.333,0.473,7.5,10.013,18.04.24 - 14:24
435,0.06,0.004,0.016,bss2-lambda,0.167,0.373,0.0,0.0,0.167,0.373,7.5,9.093,18.04.24 - 14:24
436,0.06,0.004,0.018000000000000002,bss2-lambda,0.167,0.333,0.0,0.0,0.167,0.333,7.5,8.793,18.04.24 - 14:25
437,0.06,0.004,0.02,bss2-lambda,0.167,0.28,0.0,0.0,0.167,0.28,5.5,8.22,18.04.24 - 14:25
438,0.06,0.004,0.022000000000000002,bss2-lambda,0.167,0.273,0.0,0.0,0.167,0.273,5.5,7.98,18.04.24 - 14:25
439,0.06,0.004,0.024,bss2-lambda,0.167,0.227,0.0,0.0,0.167,0.227,5.5,7.42,18.04.24 - 14:25
440,0.06999999999999999,0.0005,0.004,bss2-lambda,0.333,0.16,0.333,0.093,0.0,0.067,4.833,6.86,18.04.24 - 14:26
441,0.06999999999999999,0.0005,0.006,bss2-lambda,0.333,0.173,0.333,0.133,0.0,0.04,4.833,6.447,18.04.24 - 14:26
442,0.06999999999999999,0.0005,0.008,bss2-lambda,0.0,0.073,0.0,0.04,0.0,0.033,3.667,5.84,18.04.24 - 14:26
443,0.06999999999999999,0.0005,0.01,bss2-lambda,0.0,0.027,0.0,0.0,0.0,0.027,3.667,4.587,18.04.24 - 14:26
444,0.06999999999999999,0.0005,0.012,bss2-lambda,0.0,0.02,0.0,0.0,0.0,0.02,3.667,4.513,18.04.24 - 14:27
445,0.06999999999999999,0.0005,0.014,bss2-lambda,0.0,0.013,0.0,0.0,0.0,0.013,3.667,4.18,18.04.24 - 14:27
446,0.06999999999999999,0.0005,0.016,bss2-lambda,0.0,0.007,0.0,0.0,0.0,0.007,3.667,4.107,18.04.24 - 14:27
447,0.06999999999999999,0.0005,0.018000000000000002,bss2-lambda,0.0,0.0,0.0,0.0,0.0,0.0,3.667,4.033,18.04.24 - 14:28
448,0.06999999999999999,0.0005,0.02,bss2-lambda,0.0,0.0,0.0,0.0,0.0,0.0,3.667,3.96,18.04.24 - 14:28
449,0.06999999999999999,0.0005,0.022000000000000002,bss2-lambda,0.0,0.0,0.0,0.0,0.0,0.0,3.667,3.887,18.04.24 - 14:28
450,0.06999999999999999,0.0005,0.024,bss2-lambda,0.167,0.007,0.167,0.007,0.0,0.0,3.667,3.813,18.04.24 - 14:28
451,0.06999999999999999,0.001,0.004,bss2-lambda,0.167,0.133,0.167,0.027,0.0,0.107,5.167,7.86,18.04.24 - 14:29
452,0.06999999999999999,0.001,0.006,bss2-lambda,0.333,0.147,0.333,0.073,0.0,0.073,4.833,7.227,18.04.24 - 14:29
453,0.06999999999999999,0.001,0.008,bss2-lambda,0.0,0.06,0.0,0.0,0.0,0.06,3.667,5.407,18.04.24 - 14:29
454,0.06999999999999999,0.001,0.01,bss2-lambda,0.0,0.053,0.0,0.0,0.0,0.053,3.667,5.12,18.04.24 - 14:29
455,0.06999999999999999,0.001,0.012,bss2-lambda,0.0,0.047,0.0,0.0,0.0,0.047,3.667,4.973,18.04.24 - 14:30
456,0.06999999999999999,0.001,0.014,bss2-lambda,0.0,0.033,0.0,0.0,0.0,0.033,3.667,4.813,18.04.24 - 14:30
457,0.06999999999999999,0.001,0.016,bss2-lambda,0.0,0.027,0.0,0.0,0.0,0.027,3.667,4.407,18.04.24 - 14:30
458,0.06999999999999999,0.001,0.018000000000000002,bss2-lambda,0.0,0.02,0.0,0.0,0.0,0.02,3.667,4.253,18.04.24 - 14:31
459,0.06999999999999999,0.001,0.02,bss2-lambda,0.0,0.013,0.0,0.0,0.0,0.013,3.667,4.18,18.04.24 - 14:31
460,0.06999999999999999,0.001,0.022000000000000002,bss2-lambda,0.0,0.007,0.0,0.0,0.0,0.007,3.667,4.107,18.04.24 - 14:31
461,0.06999999999999999,0.001,0.024,bss2-lambda,0.0,0.0,0.0,0.0,0.0,0.0,3.667,4.033,18.04.24 - 14:31
462,0.06999999999999999,0.0015,0.004,bss2-lambda,0.167,0.167,0.167,0.007,0.0,0.16,4.667,8.6,18.04.24 - 14:32
463,0.06999999999999999,0.0015,0.006,bss2-lambda,0.167,0.167,0.167,0.027,0.0,0.14,4.667,8.147,18.04.24 - 14:32
464,0.06999999999999999,0.0015,0.008,bss2-lambda,0.0,0.12,0.0,0.0,0.0,0.12,3.667,6.593,18.04.24 - 14:32
465,0.06999999999999999,0.0015,0.01,bss2-lambda,0.0,0.093,0.0,0.0,0.0,0.093,3.667,5.987,18.04.24 - 14:33
466,0.06999999999999999,0.0015,0.012,bss2-lambda,0.0,0.067,0.0,0.0,0.0,0.067,3.667,5.66,18.04.24 - 14:33
467,0.06999999999999999,0.0015,0.014,bss2-lambda,0.0,0.06,0.0,0.0,0.0,0.06,3.667,5.427,18.04.24 - 14:33
468,0.06999999999999999,0.0015,0.016,bss2-lambda,0.0,0.047,0.0,0.0,0.0,0.047,3.667,5.08,18.04.24 - 14:33
469,0.06999999999999999,0.0015,0.018000000000000002,bss2-lambda,0.0,0.04,0.0,0.0,0.0,0.04,3.667,4.633,18.04.24 - 14:34
470,0.06999999999999999,0.0015,0.02,bss2-lambda,0.0,0.027,0.0,0.0,0.0,0.027,3.667,4.4,18.04.24 - 14:34
471,0.06999999999999999,0.0015,0.022000000000000002,bss2-lambda,0.0,0.02,0.0,0.0,0.0,0.02,3.667,4.253,18.04.24 - 14:34
472,0.06999999999999999,0.0015,0.024,bss2-lambda,0.0,0.013,0.0,0.0,0.0,0.013,3.667,4.18,18.04.24 - 14:34
473,0.06999999999999999,0.002,0.004,bss2-lambda,0.167,0.307,0.0,0.0,0.167,0.307,8.333,8.78,18.04.24 - 14:35
474,0.06999999999999999,0.002,0.006,bss2-lambda,0.0,0.26,0.0,0.0,0.0,0.26,8.333,8.733,18.04.24 - 14:35
475,0.06999999999999999,0.002,0.008,bss2-lambda,0.0,0.187,0.0,0.0,0.0,0.187,5.5,7.46,18.04.24 - 14:35
476,0.06999999999999999,0.002,0.01,bss2-lambda,0.0,0.153,0.0,0.0,0.0,0.153,3.667,7.067,18.04.24 - 14:36
477,0.06999999999999999,0.002,0.012,bss2-lambda,0.0,0.113,0.0,0.0,0.0,0.113,3.667,6.433,18.04.24 - 14:36
478,0.06999999999999999,0.002,0.014,bss2-lambda,0.0,0.093,0.0,0.0,0.0,0.093,3.667,6.053,18.04.24 - 14:36
479,0.06999999999999999,0.002,0.016,bss2-lambda,0.0,0.073,0.0,0.0,0.0,0.073,3.667,5.58,18.04.24 - 14:36
480,0.06999999999999999,0.002,0.018000000000000002,bss2-lambda,0.0,0.06,0.0,0.0,0.0,0.06,3.667,5.087,18.04.24 - 14:37
481,0.06999999999999999,0.002,0.02,bss2-lambda,0.0,0.047,0.0,0.0,0.0,0.047,3.667,4.86,18.04.24 - 14:37
482,0.06999999999999999,0.002,0.022000000000000002,bss2-lambda,0.0,0.04,0.0,0.0,0.0,0.04,3.667,4.473,18.04.24 - 14:37
483,0.06999999999999999,0.002,0.024,bss2-lambda,0.0,0.033,0.0,0.0,0.0,0.033,3.667,4.48,18.04.24 - 14:37
484,0.06999999999999999,0.0025,0.004,bss2-lambda,0.167,0.36,0.0,0.0,0.167,0.36,8.0,8.953,18.04.24 - 14:38
485,0.06999999999999999,0.0025,0.006,bss2-lambda,0.167,0.313,0.0,0.0,0.167,0.313,7.5,8.6,18.04.24 - 14:38
486,0.06999999999999999,0.0025,0.008,bss2-lambda,0.167,0.28,0.0,0.0,0.167,0.28,5.5,8.113,18.04.24 - 14:38
487,0.06999999999999999,0.0025,0.01,bss2-lambda,0.167,0.267,0.0,0.0,0.167,0.267,5.5,7.873,18.04.24 - 14:38
488,0.06999999999999999,0.0025,0.012,bss2-lambda,0.0,0.213,0.0,0.0,0.0,0.213,5.5,7.467,18.04.24 - 14:39
489,0.06999999999999999,0.0025,0.014,bss2-lambda,0.0,0.153,0.0,0.0,0.0,0.153,5.5,6.973,18.04.24 - 14:39
490,0.06999999999999999,0.0025,0.016,bss2-lambda,0.0,0.107,0.0,0.0,0.0,0.107,3.667,6.02,18.04.24 - 14:39
491,0.06999999999999999,0.0025,0.018000000000000002,bss2-lambda,0.0,0.087,0.0,0.0,0.0,0.087,3.667,5.553,18.04.24 - 14:40
492,0.06999999999999999,0.0025,0.02,bss2-lambda,0.0,0.073,0.0,0.0,0.0,0.073,3.667,5.32,18.04.24 - 14:40
493,0.06999999999999999,0.0025,0.022000000000000002,bss2-lambda,0.0,0.067,0.0,0.0,0.0,0.067,3.667,5.173,18.04.24 - 14:40
494,0.06999999999999999,0.0025,0.024,bss2-lambda,0.0,0.053,0.0,0.0,0.0,0.053,3.667,4.78,18.04.24 - 14:40
495,0.06999999999999999,0.003,0.004,bss2-lambda,0.167,0.433,0.0,0.0,0.167,0.433,8.0,9.32,18.04.24 - 14:41
496,0.06999999999999999,0.003,0.006,bss2-lambda,0.167,0.393,0.0,0.0,0.167,0.393,7.667,8.933,18.04.24 - 14:41
497,0.06999999999999999,0.003,0.008,bss2-lambda,0.167,0.353,0.0,0.0,0.167,0.353,7.5,8.62,18.04.24 - 14:41
498,0.06999999999999999,0.003,0.01,bss2-lambda,0.167,0.34,0.0,0.0,0.167,0.34,7.5,8.527,18.04.24 - 14:41
499,0.06999999999999999,0.003,0.012,bss2-lambda,0.167,0.28,0.0,0.0,0.167,0.28,5.5,8.107,18.04.24 - 14:42
500,0.06999999999999999,0.003,0.014,bss2-lambda,0.0,0.22,0.0,0.0,0.0,0.22,5.5,7.287,18.04.24 - 14:42
501,0.06999999999999999,0.003,0.016,bss2-lambda,0.0,0.167,0.0,0.0,0.0,0.167,5.5,6.88,18.04.24 - 14:42
502,0.06999999999999999,0.003,0.018000000000000002,bss2-lambda,0.0,0.133,0.0,0.0,0.0,0.133,3.667,6.4,18.04.24 - 14:42
503,0.06999999999999999,0.003,0.02,bss2-lambda,0.0,0.12,0.0,0.0,0.0,0.12,3.667,6.007,18.04.24 - 14:43
