instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,-1,0.333,0.333,0.282,0.368,0.333,0.333,0.333,0.271,0.203,0.333,0.0,0.0,0.011,0.165,0.0,4.667,4.827,6.0,7.415,4.667,29.04.24 - 12:48
1,62,0.0,0.063,0.098,0.235,0.0,0.0,0.023,0.022,0.017,0.0,0.0,0.04,0.076,0.218,0.0,4.333,5.013,5.74,7.373,4.333,29.04.24 - 12:48
2,-1,0.333,0.333,0.319,0.407,0.333,0.333,0.333,0.302,0.232,0.333,0.0,0.0,0.029,0.187,0.0,3.667,3.667,4.2,6.1,3.667,29.04.24 - 12:48
3,-1,0.333,0.32,0.269,0.35,0.333,0.333,0.32,0.269,0.205,0.333,0.0,0.0,0.0,0.145,0.0,4.333,4.333,4.44,6.068,4.333,29.04.24 - 12:48
4,-1,0.333,0.333,0.324,0.408,0.333,0.333,0.333,0.291,0.218,0.333,0.0,0.0,0.042,0.197,0.0,4.167,4.167,4.824,6.62,4.167,29.04.24 - 12:48
5,-1,0.333,0.333,0.31,0.387,0.333,0.333,0.333,0.302,0.23,0.333,0.0,0.0,0.018,0.167,0.0,3.667,3.667,3.88,5.78,3.667,29.04.24 - 12:48
6,-1,0.333,0.333,0.306,0.395,0.333,0.333,0.333,0.269,0.202,0.333,0.0,0.0,0.049,0.202,0.0,4.667,4.667,5.42,7.045,4.667,29.04.24 - 12:48
7,30,0.0,0.0,0.011,0.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.157,0.0,3.833,3.833,4.078,5.823,3.833,29.04.24 - 12:48
8,-1,0.333,0.29,0.222,0.321,0.333,0.333,0.29,0.198,0.152,0.333,0.0,0.0,0.024,0.17,0.0,4.833,4.833,5.42,7.087,4.833,29.04.24 - 12:48
9,-1,0.333,0.293,0.204,0.307,0.333,0.333,0.293,0.204,0.153,0.333,0.0,0.0,0.0,0.153,0.0,4.0,4.0,4.267,6.0,4.0,29.04.24 - 12:48
