instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,-1,0.167,0.167,0.167,0.235,0.167,0.167,0.167,0.167,0.15,0.167,0.0,0.0,0.0,0.088,0.0,3.833,3.833,3.833,4.982,3.833,29.04.24 - 17:32
1,-1,0.333,0.333,0.333,0.375,0.333,0.333,0.333,0.333,0.295,0.333,0.0,0.0,0.0,0.08,0.0,5.333,5.333,5.333,6.262,5.333,29.04.24 - 17:32
2,-1,0.167,0.167,0.167,0.254,0.167,0.167,0.167,0.167,0.15,0.167,0.0,0.0,0.0,0.11,0.0,4.0,4.0,4.0,5.332,4.0,29.04.24 - 17:32
3,-1,0.333,0.333,0.333,0.365,0.333,0.333,0.333,0.333,0.285,0.333,0.0,0.0,0.0,0.08,0.0,5.167,5.167,5.167,6.012,5.167,29.04.24 - 17:32
4,-1,0.333,0.333,0.333,0.377,0.333,0.333,0.333,0.333,0.295,0.333,0.0,0.0,0.0,0.085,0.0,5.5,5.5,5.5,6.43,5.5,29.04.24 - 17:32
5,-1,0.167,0.167,0.167,0.23,0.167,0.167,0.167,0.167,0.135,0.167,0.0,0.0,0.0,0.095,0.0,4.5,4.5,4.5,5.568,4.5,29.04.24 - 17:32
6,-1,0.333,0.333,0.333,0.377,0.333,0.333,0.333,0.333,0.285,0.333,0.0,0.0,0.0,0.095,0.0,5.333,5.333,5.333,6.412,5.333,29.04.24 - 17:32
7,-1,0.333,0.333,0.333,0.38,0.333,0.333,0.333,0.333,0.29,0.333,0.0,0.0,0.0,0.09,0.0,6.333,6.333,6.333,7.305,6.333,29.04.24 - 17:32
8,-1,0.333,0.333,0.282,0.321,0.333,0.333,0.333,0.282,0.223,0.333,0.0,0.0,0.0,0.098,0.0,4.667,4.667,4.667,5.813,4.667,29.04.24 - 17:32
9,-1,0.333,0.333,0.333,0.382,0.333,0.333,0.333,0.333,0.293,0.333,0.0,0.0,0.0,0.1,0.0,4.167,4.167,4.193,5.472,4.167,29.04.24 - 17:32
