instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,21,0.0,0.0,0.022,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.192,0.0,3.667,3.667,4.215,6.219,3.667,22.05.24 - 15:03
1,19,0.0,0.0,0.019,0.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.186,0.0,3.833,3.833,4.052,5.994,3.833,22.05.24 - 15:03
2,35,0.0,0.028,0.099,0.249,0.0,0.0,0.028,0.067,0.05,0.0,0.0,0.0,0.052,0.214,0.0,3.833,4.033,5.237,7.147,3.833,22.05.24 - 15:03
3,23,0.0,0.0,0.031,0.202,0.0,0.0,0.0,0.03,0.025,0.0,0.0,0.0,0.004,0.181,0.0,3.833,3.833,4.907,6.911,3.833,22.05.24 - 15:03
4,33,0.0,0.028,0.121,0.271,0.0,0.0,0.017,0.07,0.058,0.0,0.0,0.011,0.059,0.222,0.0,3.667,4.0,4.826,6.706,3.667,22.05.24 - 15:03
5,17,0.0,0.0,0.011,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.181,0.0,3.833,3.833,4.081,6.103,3.833,22.05.24 - 15:03
6,31,0.0,0.006,0.112,0.268,0.0,0.0,0.006,0.074,0.058,0.0,0.0,0.0,0.044,0.217,0.0,3.5,3.5,4.763,6.794,3.5,22.05.24 - 15:03
7,27,0.0,0.0,0.063,0.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.228,0.0,3.333,3.333,4.285,6.308,3.333,22.05.24 - 15:03
8,56,0.122,0.172,0.253,0.376,0.0,0.122,0.156,0.181,0.136,0.0,0.0,0.017,0.074,0.242,0.0,4.333,5.006,5.981,7.686,4.333,22.05.24 - 15:03
9,15,0.0,0.0,0.0,0.169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169,0.0,3.667,3.667,4.456,6.397,3.667,22.05.24 - 15:03
