instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,-1,0.356,0.339,0.305,0.386,0.5,0.267,0.256,0.219,0.167,0.333,0.089,0.083,0.089,0.222,0.167,7.011,6.606,6.626,7.881,8.0,22.05.24 - 16:56
1,-1,0.3,0.3,0.274,0.353,0.5,0.211,0.211,0.185,0.139,0.333,0.089,0.089,0.089,0.214,0.167,6.056,5.911,5.781,7.072,7.0,22.05.24 - 16:56
2,-1,0.211,0.194,0.238,0.347,0.333,0.144,0.117,0.137,0.108,0.167,0.067,0.078,0.107,0.247,0.167,5.978,5.7,6.226,7.714,6.167,22.05.24 - 16:56
3,-1,0.244,0.211,0.233,0.347,0.333,0.156,0.122,0.13,0.117,0.167,0.089,0.089,0.107,0.239,0.167,5.811,5.422,6.115,7.558,6.0,22.05.24 - 16:56
4,-1,0.3,0.3,0.327,0.402,0.5,0.211,0.211,0.222,0.186,0.333,0.089,0.089,0.107,0.222,0.167,6.044,6.45,6.837,8.033,7.5,22.05.24 - 16:56
5,-1,0.422,0.417,0.37,0.418,0.5,0.333,0.333,0.285,0.219,0.333,0.089,0.083,0.085,0.2,0.167,6.511,7.494,6.981,8.047,8.333,22.05.24 - 16:56
6,-1,0.178,0.172,0.233,0.342,0.333,0.089,0.089,0.126,0.114,0.167,0.089,0.083,0.107,0.233,0.167,6.3,6.211,6.741,8.072,6.833,22.05.24 - 16:56
7,-1,0.422,0.432,0.427,0.479,0.5,0.333,0.306,0.304,0.247,0.333,0.089,0.133,0.13,0.242,0.167,5.633,6.244,6.719,7.864,7.0,22.05.24 - 16:56
8,-1,0.439,0.453,0.464,0.509,0.5,0.333,0.333,0.33,0.253,0.333,0.144,0.139,0.152,0.272,0.167,7.222,7.378,7.515,8.689,7.167,22.05.24 - 16:56
9,-1,0.356,0.389,0.367,0.414,0.5,0.211,0.25,0.244,0.197,0.333,0.144,0.139,0.122,0.217,0.167,6.6,6.761,6.922,8.022,7.5,22.05.24 - 16:56
