instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,24,0.0,0.0,0.0,0.153,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.15,0.0,3.5,3.5,3.607,5.612,3.5,29.04.24 - 09:55
1,43,0.0,0.0,0.043,0.206,0.0,0.0,0.0,0.04,0.037,0.0,0.0,0.0,0.007,0.177,0.0,3.333,3.333,3.707,5.86,3.333,29.04.24 - 09:55
2,34,0.0,0.0,0.034,0.203,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.022,0.192,0.0,3.667,3.667,4.509,6.492,3.667,29.04.24 - 09:55
3,31,0.0,0.0,0.013,0.182,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.013,0.182,0.0,3.0,3.0,3.347,5.563,3.0,29.04.24 - 09:55
4,40,0.0,0.0,0.033,0.184,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.033,0.183,0.0,3.667,3.907,4.493,6.29,3.667,29.04.24 - 09:55
5,27,0.0,0.0,0.004,0.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.178,0.0,3.333,3.333,3.653,5.687,3.333,29.04.24 - 09:55
6,28,0.0,0.0,0.007,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.175,0.0,3.833,3.833,3.907,5.912,3.833,29.04.24 - 09:55
7,59,0.0,0.03,0.096,0.25,0.0,0.0,0.0,0.013,0.02,0.0,0.0,0.03,0.082,0.23,0.0,3.333,3.733,4.609,6.558,3.333,29.04.24 - 09:55
8,48,0.0,0.0,0.088,0.253,0.0,0.0,0.0,0.067,0.055,0.0,0.0,0.0,0.022,0.202,0.0,4.0,4.0,4.773,6.76,4.0,29.04.24 - 09:55
9,39,0.0,0.0,0.031,0.192,0.0,0.0,0.0,0.009,0.007,0.0,0.0,0.0,0.022,0.185,0.0,3.667,3.667,4.358,6.165,3.667,29.04.24 - 09:55
