instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,25,0.0,0.0,0.041,0.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.233,0.0,3.667,3.667,4.693,6.8,3.667,22.05.24 - 20:23
1,23,0.0,0.0,0.044,0.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.228,0.0,3.833,3.833,4.352,6.481,3.833,22.05.24 - 20:23
2,-1,0.167,0.188,0.228,0.371,0.167,0.167,0.183,0.156,0.117,0.167,0.0,0.011,0.096,0.272,0.0,3.833,4.828,5.944,7.781,3.833,22.05.24 - 20:23
3,27,0.0,0.0,0.07,0.255,0.0,0.0,0.0,0.048,0.036,0.0,0.0,0.0,0.026,0.222,0.0,3.667,4.067,5.522,7.453,3.667,22.05.24 - 20:23
4,54,0.1,0.178,0.22,0.365,0.0,0.1,0.133,0.156,0.117,0.0,0.0,0.044,0.078,0.258,0.0,3.667,4.467,5.333,7.328,3.667,22.05.24 - 20:23
5,19,0.0,0.0,0.03,0.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.217,0.0,3.833,3.833,4.381,6.569,3.833,22.05.24 - 20:23
6,55,0.111,0.139,0.245,0.389,0.0,0.111,0.139,0.181,0.136,0.0,0.0,0.0,0.074,0.261,0.0,3.5,3.7,5.604,7.486,3.5,22.05.24 - 20:23
7,34,0.0,0.022,0.111,0.283,0.0,0.0,0.0,0.007,0.006,0.0,0.0,0.022,0.104,0.278,0.0,3.333,3.867,5.019,7.069,3.333,22.05.24 - 20:23
8,-1,0.178,0.263,0.327,0.443,0.167,0.178,0.239,0.211,0.158,0.167,0.0,0.028,0.119,0.286,0.0,5.267,5.822,6.867,8.461,4.333,22.05.24 - 20:23
9,20,0.0,0.0,0.019,0.208,0.0,0.0,0.0,0.007,0.006,0.0,0.0,0.0,0.011,0.203,0.0,3.667,4.033,4.967,7.019,3.667,22.05.24 - 20:23
