instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,27,0.0,0.0,0.056,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.25,0.0,3.667,3.728,4.767,6.906,3.667,22.05.24 - 10:40
1,24,0.0,0.0,0.052,0.239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.239,0.0,3.833,3.833,4.437,6.589,3.833,22.05.24 - 10:40
2,37,0.0,0.053,0.125,0.302,0.0,0.0,0.039,0.037,0.028,0.0,0.0,0.033,0.107,0.289,0.0,3.833,4.783,6.011,7.889,3.833,22.05.24 - 10:40
3,28,0.0,0.0,0.061,0.254,0.0,0.0,0.0,0.033,0.025,0.0,0.0,0.0,0.03,0.231,0.0,3.667,4.067,5.626,7.597,3.667,22.05.24 - 10:40
4,33,0.0,0.017,0.109,0.287,0.0,0.0,0.017,0.056,0.042,0.0,0.0,0.0,0.067,0.256,0.0,3.833,4.506,5.552,7.536,3.833,22.05.24 - 10:40
5,21,0.0,0.0,0.041,0.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.231,0.0,3.833,3.833,4.463,6.667,3.833,22.05.24 - 10:40
6,33,0.0,0.017,0.157,0.329,0.0,0.0,0.017,0.07,0.053,0.0,0.0,0.0,0.1,0.286,0.0,3.667,3.989,5.811,7.708,3.667,22.05.24 - 10:40
7,34,0.0,0.022,0.115,0.294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.115,0.294,0.0,3.333,3.867,4.974,7.086,3.333,22.05.24 - 10:40
8,-1,0.167,0.272,0.322,0.45,0.167,0.167,0.222,0.178,0.133,0.167,0.0,0.05,0.148,0.319,0.0,5.678,6.072,7.196,8.8,4.333,22.05.24 - 10:40
9,19,0.0,0.0,0.022,0.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.217,0.0,3.667,4.156,5.048,7.119,3.667,22.05.24 - 10:40
