instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,duplicate_dendrites_running-avg-0.25,duplicate_dendrites_running-avg-0.5,duplicate_dendrites_running-avg-0.75,duplicate_dendrites_running-avg-1.0,duplicate_dendrites_last,time_finished
0,-1,0.17,0.165,0.177,0.185,0.25,0.16,0.16,0.167,0.155,0.25,0.01,0.005,0.01,0.03,0.0,5.52,5.54,5.617,6.025,5.25,6.36,6.92,7.533,8.03,6.0,28.05.24 - 03:56
1,-1,0.19,0.175,0.18,0.2,0.25,0.19,0.175,0.177,0.178,0.25,0.0,0.0,0.003,0.022,0.0,5.8,5.745,5.8,6.25,5.5,8.76,8.54,8.627,9.18,11.0,28.05.24 - 04:03
2,-1,0.16,0.16,0.153,0.172,0.25,0.16,0.16,0.153,0.152,0.25,0.0,0.0,0.0,0.02,0.0,5.24,5.26,5.253,5.685,4.5,7.44,7.34,7.347,7.86,6.0,28.05.24 - 04:11
3,-1,0.15,0.155,0.163,0.182,0.25,0.11,0.125,0.14,0.145,0.25,0.04,0.03,0.023,0.038,0.0,5.41,5.45,5.497,6.07,4.75,6.64,6.94,7.093,7.88,6.0,28.05.24 - 04:18
4,-1,0.11,0.09,0.097,0.122,0.25,0.06,0.055,0.07,0.082,0.25,0.05,0.035,0.027,0.04,0.0,4.98,5.175,5.26,5.67,5.5,6.2,6.66,7.067,7.38,8.0,28.05.24 - 04:25
