instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,20,0.0,0.0,0.0,0.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108,0.0,3.667,3.667,3.667,5.122,3.667,22.05.24 - 08:13
1,18,0.0,0.0,0.0,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102,0.0,3.833,3.833,3.833,5.028,3.833,22.05.24 - 08:14
2,-1,0.167,0.167,0.189,0.266,0.167,0.167,0.167,0.187,0.155,0.167,0.0,0.0,0.002,0.12,0.0,4.0,4.257,4.587,5.963,4.0,22.05.24 - 08:14
3,19,0.0,0.0,0.0,0.112,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.1,0.0,3.833,3.833,3.913,5.5,3.833,22.05.24 - 08:14
4,42,0.0,0.0,0.049,0.171,0.0,0.0,0.0,0.038,0.058,0.0,0.0,0.0,0.011,0.115,0.0,3.667,3.667,3.911,5.29,3.667,22.05.24 - 08:14
5,16,0.0,0.0,0.0,0.098,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.097,0.0,3.833,3.833,3.833,5.07,3.833,22.05.24 - 08:14
6,91,0.107,0.137,0.189,0.273,0.0,0.107,0.137,0.169,0.148,0.0,0.0,0.0,0.02,0.128,0.0,3.667,3.667,4.124,5.767,3.667,22.05.24 - 08:14
7,16,0.0,0.0,0.0,0.104,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.097,0.0,3.5,3.5,3.58,5.143,3.5,22.05.24 - 08:14
8,97,0.147,0.173,0.234,0.314,0.0,0.147,0.173,0.227,0.192,0.0,0.0,0.0,0.018,0.133,0.0,3.667,3.763,4.433,6.062,3.667,22.05.24 - 08:14
9,19,0.0,0.0,0.0,0.098,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.093,0.0,3.667,3.667,3.74,5.247,3.667,22.05.24 - 08:14
