instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,-1,0.333,0.331,0.335,0.455,0.333,0.333,0.33,0.238,0.178,0.333,0.0,0.003,0.109,0.285,0.0,5.353,5.577,6.438,8.102,5.5,29.04.24 - 05:28
1,75,0.0,0.127,0.189,0.342,0.0,0.0,0.123,0.147,0.11,0.0,0.0,0.01,0.064,0.248,0.0,4.0,4.24,6.227,7.947,4.0,29.04.24 - 05:28
2,38,0.0,0.0,0.04,0.23,0.0,0.0,0.0,0.013,0.01,0.0,0.0,0.0,0.027,0.22,0.0,3.833,3.833,4.753,6.845,3.833,29.04.24 - 05:28
3,-1,0.027,0.083,0.13,0.297,0.167,0.027,0.083,0.087,0.065,0.167,0.0,0.0,0.051,0.238,0.0,3.653,4.333,5.436,7.36,5.333,29.04.24 - 05:28
4,-1,0.167,0.167,0.246,0.391,0.167,0.167,0.167,0.164,0.123,0.167,0.0,0.0,0.093,0.277,0.0,3.347,3.503,5.28,7.267,3.0,29.04.24 - 05:28
5,97,0.027,0.037,0.111,0.283,0.0,0.027,0.023,0.016,0.012,0.0,0.0,0.013,0.096,0.272,0.0,3.987,4.507,5.422,7.463,3.667,29.04.24 - 05:28
6,-1,0.2,0.287,0.359,0.476,0.167,0.2,0.267,0.22,0.165,0.167,0.0,0.02,0.14,0.312,0.0,4.327,4.953,6.356,8.083,3.333,29.04.24 - 05:28
7,51,0.0,0.005,0.115,0.286,0.0,0.0,0.003,0.02,0.015,0.0,0.0,0.003,0.107,0.28,0.0,3.333,3.697,5.607,7.438,3.333,29.04.24 - 05:28
8,57,0.0,0.023,0.102,0.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.102,0.277,0.0,3.333,4.373,5.7,7.628,3.333,29.04.24 - 05:28
9,-1,0.369,0.381,0.425,0.526,0.333,0.333,0.283,0.269,0.202,0.333,0.067,0.147,0.204,0.36,0.0,5.06,5.967,7.156,8.673,3.333,29.04.24 - 05:28
