instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,52,0.0,0.007,0.08,0.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.08,0.258,0.0,3.833,4.553,5.238,7.248,3.833,29.04.24 - 05:30
1,42,0.0,0.0,0.091,0.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.273,0.0,3.167,3.207,4.74,6.827,3.167,29.04.24 - 05:30
2,41,0.0,0.0,0.056,0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.235,0.0,3.833,3.833,4.72,6.837,3.833,29.04.24 - 05:30
3,62,0.0,0.04,0.146,0.309,0.0,0.0,0.0,0.033,0.025,0.0,0.0,0.04,0.118,0.288,0.0,3.667,4.75,6.089,7.84,3.667,29.04.24 - 05:30
4,32,0.0,0.0,0.02,0.208,0.0,0.0,0.0,0.009,0.007,0.0,0.0,0.0,0.011,0.202,0.0,4.667,4.667,5.411,7.435,4.667,29.04.24 - 05:30
5,67,0.0,0.057,0.144,0.302,0.0,0.0,0.0,0.056,0.042,0.0,0.0,0.057,0.089,0.26,0.0,3.5,4.46,5.113,7.125,3.5,29.04.24 - 05:30
6,56,0.0,0.02,0.118,0.29,0.0,0.0,0.0,0.007,0.005,0.0,0.0,0.02,0.111,0.285,0.0,3.667,3.907,5.049,7.07,3.667,29.04.24 - 05:30
7,-1,0.167,0.183,0.235,0.376,0.167,0.167,0.183,0.209,0.157,0.167,0.0,0.0,0.031,0.223,0.0,3.667,3.977,5.069,7.045,3.667,29.04.24 - 05:30
8,-1,0.233,0.167,0.191,0.34,0.167,0.233,0.167,0.116,0.087,0.167,0.0,0.0,0.076,0.253,0.0,4.287,5.253,6.133,7.82,3.667,29.04.24 - 05:30
9,39,0.0,0.0,0.033,0.218,0.0,0.0,0.0,0.004,0.003,0.0,0.0,0.0,0.029,0.215,0.0,4.5,4.647,5.68,7.57,4.5,29.04.24 - 05:30
