instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,-1,0.333,0.333,0.289,0.364,0.333,0.333,0.333,0.285,0.214,0.333,0.0,0.0,0.004,0.15,0.0,5.0,5.0,5.3,6.844,5.0,22.05.24 - 14:25
1,-1,0.333,0.333,0.293,0.361,0.333,0.333,0.333,0.293,0.233,0.333,0.0,0.0,0.0,0.136,0.0,4.667,4.667,4.667,6.164,4.667,22.05.24 - 14:25
2,-1,0.167,0.167,0.173,0.276,0.167,0.167,0.167,0.167,0.131,0.167,0.0,0.0,0.015,0.156,0.0,3.833,3.833,4.189,5.828,3.833,22.05.24 - 14:25
3,-1,0.333,0.333,0.333,0.406,0.333,0.333,0.333,0.333,0.269,0.333,0.0,0.0,0.0,0.142,0.0,5.167,5.167,5.433,7.114,5.167,22.05.24 - 14:25
4,-1,0.333,0.333,0.33,0.383,0.333,0.333,0.333,0.33,0.261,0.333,0.0,0.0,0.0,0.122,0.0,4.0,4.0,4.0,5.494,4.0,22.05.24 - 14:25
5,-1,0.333,0.333,0.333,0.389,0.333,0.333,0.333,0.333,0.261,0.333,0.0,0.0,0.0,0.128,0.0,5.667,5.667,5.652,6.986,5.667,22.05.24 - 14:25
6,-1,0.333,0.294,0.252,0.35,0.333,0.333,0.294,0.244,0.189,0.333,0.0,0.0,0.007,0.164,0.0,3.333,3.333,3.556,5.5,3.333,22.05.24 - 14:25
7,-1,0.333,0.333,0.333,0.395,0.333,0.333,0.333,0.333,0.269,0.333,0.0,0.0,0.0,0.131,0.0,4.0,4.0,4.356,6.0,4.0,22.05.24 - 14:25
8,-1,0.333,0.333,0.324,0.392,0.333,0.333,0.333,0.322,0.247,0.333,0.0,0.0,0.004,0.15,0.0,3.833,3.833,4.189,6.05,3.833,22.05.24 - 14:25
9,-1,0.333,0.333,0.33,0.375,0.333,0.333,0.333,0.33,0.253,0.333,0.0,0.0,0.0,0.122,0.0,4.0,4.0,4.0,5.644,4.0,22.05.24 - 14:25
