instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,-1,0.113,0.057,0.042,0.17,0.167,0.113,0.057,0.038,0.028,0.167,0.0,0.0,0.004,0.142,0.0,4.167,4.167,4.3,5.88,4.167,29.04.24 - 10:49
1,21,0.0,0.0,0.0,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133,0.0,3.167,3.167,3.167,5.042,3.167,29.04.24 - 10:49
2,22,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.13,0.0,3.5,3.5,3.5,5.208,3.5,29.04.24 - 10:49
3,24,0.0,0.0,0.0,0.133,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.123,0.0,3.333,3.333,3.333,5.02,3.333,29.04.24 - 10:49
4,26,0.0,0.0,0.002,0.139,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.002,0.127,0.0,3.667,3.667,3.8,5.305,3.667,29.04.24 - 10:49
5,-1,0.477,0.375,0.357,0.435,0.5,0.52,0.397,0.36,0.298,0.5,0.0,0.0,0.011,0.15,0.0,4.873,5.08,5.324,6.762,3.333,29.04.24 - 10:49
6,22,0.0,0.0,0.0,0.142,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.14,0.0,3.333,3.333,3.382,5.163,3.333,29.04.24 - 10:49
7,26,0.0,0.0,0.002,0.127,0.0,0.0,0.0,0.002,0.01,0.0,0.0,0.0,0.0,0.117,0.0,4.0,4.0,4.027,5.643,4.0,29.04.24 - 10:49
8,-1,0.033,0.017,0.029,0.177,0.167,0.033,0.017,0.02,0.038,0.167,0.0,0.0,0.009,0.142,0.0,3.667,3.667,3.764,5.342,3.667,29.04.24 - 10:49
9,-1,0.087,0.043,0.029,0.157,0.167,0.087,0.043,0.029,0.04,0.167,0.0,0.0,0.0,0.12,0.0,3.667,3.667,3.667,5.3,3.667,29.04.24 - 10:49
