instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,-1,0.333,0.333,0.323,0.405,0.333,0.333,0.333,0.318,0.253,0.333,0.0,0.0,0.013,0.163,0.0,4.5,4.5,4.709,6.428,4.5,29.04.24 - 07:43
1,-1,0.333,0.317,0.267,0.345,0.333,0.333,0.317,0.262,0.197,0.333,0.0,0.0,0.004,0.148,0.0,3.667,3.667,3.789,5.635,3.667,29.04.24 - 07:43
2,42,0.0,0.0,0.038,0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.185,0.0,3.833,3.833,4.249,6.063,3.833,29.04.24 - 07:43
3,-1,0.333,0.333,0.333,0.405,0.333,0.333,0.333,0.316,0.258,0.333,0.0,0.0,0.018,0.152,0.0,4.0,4.0,4.3,6.078,4.0,29.04.24 - 07:43
4,-1,0.333,0.33,0.273,0.363,0.333,0.333,0.33,0.269,0.205,0.333,0.0,0.0,0.004,0.16,0.0,3.667,3.667,4.04,5.933,3.667,29.04.24 - 07:43
5,-1,0.333,0.333,0.337,0.407,0.333,0.333,0.333,0.327,0.252,0.333,0.0,0.0,0.016,0.162,0.0,3.667,3.667,3.987,5.87,3.667,29.04.24 - 07:43
6,-1,0.333,0.333,0.333,0.402,0.333,0.333,0.333,0.333,0.263,0.333,0.0,0.0,0.0,0.138,0.0,5.5,5.5,5.491,6.945,5.5,29.04.24 - 07:43
7,-1,0.333,0.333,0.331,0.396,0.333,0.333,0.333,0.329,0.255,0.333,0.0,0.0,0.004,0.148,0.0,4.833,4.833,5.02,6.578,4.833,29.04.24 - 07:43
8,-1,0.333,0.333,0.346,0.428,0.333,0.333,0.333,0.311,0.242,0.333,0.0,0.0,0.038,0.193,0.0,3.5,3.5,4.3,6.128,3.5,29.04.24 - 07:43
9,-1,0.333,0.333,0.327,0.406,0.333,0.333,0.333,0.318,0.242,0.333,0.0,0.0,0.009,0.167,0.0,4.167,4.167,4.498,6.27,4.167,29.04.24 - 07:43
