experiment_subnum,Plasticity.lambda_plus,Plasticity.lambda_minus,Plasticity.lambda_h,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,num-epochs_avg,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
129,0.03,0.002,0.02,0.061,0.138,0.282,0.458,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.061,0.138,0.282,0.458,0.0,4.91,5.984,7.754,9.541,4.05,19.04.24 - 05:50
130,0.03,0.002,0.022000000000000002,0.011,0.092,0.232,0.421,0.0,72.0,0.0,0.017,0.012,0.009,0.0,0.011,0.076,0.22,0.412,0.0,4.273,5.266,6.935,8.928,3.967,19.04.24 - 05:50
131,0.03,0.002,0.024,0.051,0.104,0.24,0.427,0.033,63.0,0.03,0.038,0.032,0.024,0.017,0.021,0.066,0.209,0.403,0.017,4.289,5.396,7.212,9.13,4.1,19.04.24 - 05:51
132,0.03,0.0025,0.004,0.633,0.716,0.811,0.858,0.533,-1,0.0,0.0,0.0,0.0,0.0,0.633,0.716,0.811,0.858,0.533,12.031,12.521,13.347,13.76,11.383,19.04.24 - 05:51
133,0.03,0.0025,0.006,0.539,0.672,0.772,0.829,0.517,-1,0.0,0.0,0.0,0.0,0.0,0.539,0.672,0.772,0.829,0.517,11.469,12.402,13.187,13.64,10.417,19.04.24 - 05:52
134,0.03,0.0025,0.008,0.48,0.592,0.716,0.787,0.483,-1,0.0,0.0,0.0,0.0,0.0,0.48,0.592,0.716,0.787,0.483,10.098,11.285,12.423,13.068,9.567,19.04.24 - 05:53
135,0.03,0.0025,0.01,0.394,0.503,0.651,0.738,0.383,-1,0.0,0.0,0.0,0.0,0.0,0.394,0.503,0.651,0.738,0.383,8.945,10.159,11.625,12.469,8.717,19.04.24 - 05:53
136,0.03,0.0025,0.012,0.372,0.425,0.594,0.696,0.35,-1,0.0,0.0,0.0,0.0,0.0,0.372,0.425,0.594,0.696,0.35,8.485,9.604,11.214,12.16,8.15,19.04.24 - 05:54
137,0.03,0.0025,0.014,0.306,0.37,0.534,0.651,0.283,-1,0.0,0.0,0.0,0.0,0.0,0.306,0.37,0.534,0.651,0.283,7.927,8.792,10.482,11.612,7.217,19.04.24 - 05:54
138,0.03,0.0025,0.016,0.283,0.37,0.517,0.638,0.25,-1,0.0,0.0,0.0,0.0,0.0,0.283,0.37,0.517,0.638,0.25,7.691,8.78,10.267,11.45,6.833,19.04.24 - 05:55
