experiment_subnum,Plasticity.lambda_plus,Plasticity.lambda_minus,Plasticity.lambda_h,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,num-epochs_avg,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
288,0.049999999999999996,0.0015,0.008,0.066,0.108,0.193,0.362,0.033,54.0,0.047,0.067,0.067,0.05,0.033,0.019,0.041,0.129,0.314,0.0,4.357,5.193,6.643,8.424,3.85,19.04.24 - 07:27
289,0.049999999999999996,0.0015,0.01,0.041,0.088,0.18,0.355,0.0,70.0,0.016,0.034,0.036,0.027,0.0,0.025,0.055,0.147,0.33,0.0,4.139,4.802,6.175,8.127,3.917,19.04.24 - 07:27
290,0.049999999999999996,0.0015,0.012,0.066,0.108,0.186,0.36,0.05,50.0,0.045,0.072,0.089,0.066,0.033,0.024,0.039,0.106,0.3,0.017,4.03,4.538,5.835,7.854,3.967,19.04.24 - 07:28
291,0.049999999999999996,0.0015,0.014,0.041,0.085,0.167,0.342,0.017,57.0,0.023,0.049,0.071,0.053,0.017,0.017,0.036,0.099,0.291,0.0,3.981,4.584,5.661,7.697,3.733,19.04.24 - 07:28
292,0.049999999999999996,0.0015,0.016,0.05,0.069,0.141,0.322,0.05,34.0,0.05,0.063,0.079,0.059,0.05,0.0,0.007,0.068,0.267,0.0,3.791,4.285,5.26,7.412,3.767,19.04.24 - 07:29
293,0.049999999999999996,0.0015,0.018000000000000002,0.0,0.011,0.077,0.271,0.0,47.0,0.0,0.003,0.014,0.011,0.0,0.0,0.009,0.064,0.262,0.0,3.683,3.881,4.933,7.158,3.683,19.04.24 - 07:30
294,0.049999999999999996,0.0015,0.02,0.024,0.048,0.108,0.294,0.0,55.0,0.024,0.041,0.066,0.05,0.0,0.0,0.008,0.049,0.25,0.0,4.033,4.271,5.212,7.354,4.033,19.04.24 - 07:30
295,0.049999999999999996,0.0015,0.022000000000000002,0.025,0.032,0.099,0.282,0.05,33.0,0.025,0.026,0.053,0.041,0.05,0.0,0.006,0.054,0.248,0.0,3.833,4.013,4.997,7.172,3.833,19.04.24 - 07:31
296,0.049999999999999996,0.0015,0.024,0.079,0.061,0.095,0.276,0.124,20.0,0.085,0.06,0.066,0.051,0.133,0.003,0.006,0.035,0.23,0.0,3.943,3.999,4.722,6.896,3.967,19.04.24 - 07:32
297,0.049999999999999996,0.002,0.004,0.173,0.236,0.311,0.46,0.164,34.0,0.064,0.054,0.036,0.027,0.067,0.125,0.193,0.283,0.439,0.117,6.126,7.152,8.195,9.7,5.433,19.04.24 - 07:32
298,0.049999999999999996,0.002,0.006,0.188,0.234,0.328,0.469,0.15,32.0,0.141,0.125,0.083,0.062,0.133,0.053,0.115,0.249,0.41,0.017,5.289,6.479,7.846,9.4,4.85,19.04.24 - 07:33
299,0.049999999999999996,0.002,0.008,0.023,0.105,0.235,0.397,0.0,69.0,0.017,0.029,0.021,0.015,0.0,0.007,0.078,0.216,0.382,0.0,4.928,6.049,7.555,9.148,3.667,19.04.24 - 07:34
300,0.049999999999999996,0.002,0.01,0.098,0.153,0.262,0.423,0.067,46.0,0.069,0.065,0.047,0.035,0.067,0.035,0.097,0.223,0.394,0.0,4.573,5.705,7.215,8.923,3.933,19.04.24 - 07:34
301,0.049999999999999996,0.002,0.012,0.051,0.096,0.2,0.378,0.05,48.0,0.021,0.043,0.043,0.032,0.017,0.03,0.054,0.161,0.349,0.033,4.417,5.06,6.563,8.456,4.2,19.04.24 - 07:35
302,0.049999999999999996,0.002,0.014,0.027,0.062,0.152,0.34,0.017,53.0,0.005,0.02,0.016,0.012,0.0,0.022,0.042,0.135,0.328,0.017,4.112,4.738,6.014,8.045,3.8,19.04.24 - 07:36
303,0.049999999999999996,0.002,0.016,0.029,0.081,0.173,0.354,0.017,55.0,0.018,0.039,0.052,0.039,0.017,0.011,0.046,0.13,0.322,0.0,4.166,4.997,6.397,8.346,3.833,19.04.24 - 07:36
304,0.049999999999999996,0.002,0.018000000000000002,0.017,0.044,0.116,0.31,0.017,47.0,0.017,0.031,0.041,0.031,0.017,0.0,0.013,0.079,0.282,0.0,3.55,3.948,5.118,7.338,3.55,19.04.24 - 07:37
305,0.049999999999999996,0.002,0.02,0.022,0.06,0.135,0.322,0.017,48.0,0.0,0.02,0.05,0.037,0.0,0.022,0.043,0.093,0.29,0.017,3.797,4.19,5.147,7.36,3.733,19.04.24 - 07:38
306,0.049999999999999996,0.002,0.022000000000000002,0.011,0.026,0.093,0.287,0.0,51.0,0.0,0.014,0.024,0.018,0.0,0.011,0.012,0.072,0.272,0.0,4.009,4.123,5.091,7.297,3.817,19.04.24 - 07:38
307,0.049999999999999996,0.002,0.024,0.0,0.006,0.07,0.267,0.0,45.0,0.0,0.001,0.031,0.024,0.0,0.0,0.005,0.044,0.247,0.0,3.783,3.975,4.832,7.077,3.783,19.04.24 - 07:39
308,0.049999999999999996,0.0025,0.004,0.254,0.331,0.404,0.536,0.207,18.0,0.009,0.005,0.003,0.002,0.017,0.249,0.328,0.402,0.535,0.2,7.747,8.598,9.382,10.635,6.717,19.04.24 - 07:40
309,0.049999999999999996,0.0025,0.006,0.152,0.235,0.327,0.475,0.083,58.0,0.011,0.008,0.005,0.004,0.0,0.147,0.231,0.324,0.473,0.083,6.121,7.292,8.364,9.873,5.267,19.04.24 - 07:40
310,0.049999999999999996,0.0025,0.008,0.193,0.256,0.35,0.493,0.117,35.0,0.039,0.028,0.019,0.014,0.05,0.156,0.232,0.334,0.48,0.067,6.807,7.771,8.842,10.192,5.4,19.04.24 - 07:41
311,0.049999999999999996,0.0025,0.01,0.045,0.132,0.247,0.419,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.045,0.132,0.247,0.419,0.0,4.411,5.53,7.087,8.936,3.867,19.04.24 - 07:42
312,0.049999999999999996,0.0025,0.012,0.046,0.119,0.246,0.419,0.033,56.0,0.013,0.017,0.011,0.008,0.0,0.033,0.103,0.235,0.411,0.033,4.892,5.723,7.249,9.034,4.233,19.04.24 - 07:42
313,0.049999999999999996,0.0025,0.014,0.026,0.067,0.18,0.368,0.017,57.0,0.01,0.012,0.008,0.006,0.0,0.016,0.055,0.172,0.362,0.017,4.297,5.34,6.78,8.687,3.8,29.04.24 - 04:36
314,0.049999999999999996,0.0025,0.016,0.003,0.038,0.147,0.343,0.0,58.0,0.0,0.004,0.005,0.004,0.0,0.003,0.034,0.142,0.34,0.0,3.858,4.613,6.227,8.261,3.65,29.04.24 - 04:37
315,0.049999999999999996,0.0025,0.018000000000000002,0.01,0.056,0.147,0.341,0.0,60.0,0.005,0.023,0.022,0.017,0.0,0.005,0.034,0.127,0.326,0.0,4.085,4.688,5.991,8.072,3.983,29.04.24 - 04:38
316,0.049999999999999996,0.0025,0.02,0.001,0.027,0.11,0.313,0.0,55.0,0.0,0.0,0.004,0.003,0.0,0.001,0.027,0.107,0.31,0.0,3.706,4.33,5.62,7.775,3.533,29.04.24 - 04:39
317,0.049999999999999996,0.0025,0.022000000000000002,0.007,0.03,0.107,0.303,0.0,52.0,0.007,0.019,0.021,0.016,0.0,0.0,0.013,0.088,0.289,0.0,3.75,4.211,5.35,7.57,3.75,29.04.24 - 04:39
318,0.049999999999999996,0.0025,0.024,0.0,0.0,0.065,0.273,0.0,42.0,0.0,0.0,0.006,0.004,0.0,0.0,0.0,0.06,0.27,0.0,3.717,3.747,4.947,7.231,3.717,29.04.24 - 04:40
319,0.049999999999999996,0.003,0.004,0.379,0.428,0.486,0.605,0.317,-1,0.0,0.0,0.0,0.0,0.0,0.379,0.428,0.486,0.605,0.317,9.7,10.082,10.511,11.546,8.683,29.04.24 - 04:41
320,0.049999999999999996,0.003,0.006,0.358,0.406,0.464,0.588,0.333,-1,0.0,0.0,0.0,0.0,0.0,0.358,0.406,0.464,0.588,0.333,8.901,9.541,10.172,11.288,8.633,29.04.24 - 04:42
321,0.049999999999999996,0.003,0.008,0.248,0.325,0.413,0.548,0.167,28.0,0.0,0.0,0.0,0.0,0.0,0.248,0.325,0.413,0.548,0.167,7.607,8.635,9.646,10.871,7.167,29.04.24 - 04:42
322,0.049999999999999996,0.003,0.01,0.173,0.262,0.373,0.516,0.117,42.0,0.0,0.0,0.0,0.0,0.0,0.173,0.262,0.373,0.516,0.117,6.539,7.52,8.706,10.156,5.767,29.04.24 - 04:43
323,0.049999999999999996,0.003,0.012,0.103,0.177,0.306,0.47,0.067,45.0,0.0,0.0,0.0,0.0,0.0,0.103,0.177,0.306,0.47,0.067,5.595,6.543,7.991,9.658,4.9,29.04.24 - 04:44
324,0.049999999999999996,0.003,0.014,0.069,0.149,0.272,0.444,0.05,58.0,0.017,0.009,0.006,0.004,0.017,0.052,0.14,0.266,0.439,0.033,4.818,6.029,7.468,9.258,4.433,29.04.24 - 04:45
325,0.049999999999999996,0.003,0.016,0.019,0.101,0.232,0.413,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.019,0.101,0.232,0.413,0.0,4.097,5.264,6.982,8.896,3.55,29.04.24 - 04:46
326,0.049999999999999996,0.003,0.018000000000000002,0.019,0.084,0.215,0.401,0.0,70.0,0.0,0.004,0.004,0.003,0.0,0.019,0.081,0.212,0.398,0.0,4.373,5.572,7.239,9.089,3.75,29.04.24 - 04:46
327,0.049999999999999996,0.003,0.02,0.007,0.043,0.149,0.35,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.007,0.043,0.149,0.35,0.0,3.729,4.425,5.818,7.994,3.5,29.04.24 - 04:47
328,0.049999999999999996,0.003,0.022000000000000002,0.005,0.032,0.143,0.342,0.0,57.0,0.0,0.005,0.005,0.004,0.0,0.005,0.029,0.14,0.34,0.0,3.997,4.625,6.096,8.186,3.933,29.04.24 - 04:48
329,0.049999999999999996,0.003,0.024,0.045,0.063,0.16,0.349,0.033,51.0,0.031,0.032,0.027,0.02,0.033,0.014,0.031,0.133,0.329,0.0,4.103,4.559,5.906,8.013,3.867,29.04.24 - 04:49
330,0.049999999999999996,0.0035,0.004,0.547,0.556,0.592,0.694,0.517,-1,0.0,0.0,0.0,0.0,0.0,0.547,0.556,0.592,0.694,0.517,10.795,10.943,11.21,12.158,10.683,29.04.24 - 04:50
331,0.049999999999999996,0.0035,0.006,0.425,0.459,0.522,0.642,0.4,-1,0.0,0.0,0.0,0.0,0.0,0.425,0.459,0.522,0.642,0.4,10.409,10.848,11.239,12.18,9.717,29.04.24 - 04:50
332,0.049999999999999996,0.0035,0.008,0.311,0.378,0.478,0.605,0.283,-1,0.0,0.0,0.0,0.0,0.0,0.311,0.378,0.478,0.605,0.283,7.977,8.859,9.984,11.213,7.45,29.04.24 - 04:51
333,0.049999999999999996,0.0035,0.01,0.263,0.342,0.453,0.583,0.167,19.0,0.0,0.0,0.0,0.0,0.0,0.263,0.342,0.453,0.583,0.167,7.641,8.587,9.761,11.015,6.833,29.04.24 - 04:52
334,0.049999999999999996,0.0035,0.012,0.236,0.303,0.409,0.55,0.1,46.0,0.0,0.0,0.0,0.0,0.0,0.236,0.303,0.409,0.55,0.1,7.032,7.769,9.129,10.529,5.717,29.04.24 - 04:53
335,0.049999999999999996,0.0035,0.014,0.113,0.223,0.347,0.504,0.05,69.0,0.0,0.0,0.0,0.0,0.0,0.113,0.223,0.347,0.504,0.05,6.627,7.393,8.718,10.225,5.55,29.04.24 - 04:54
336,0.049999999999999996,0.0035,0.016,0.088,0.184,0.304,0.472,0.033,65.0,0.0,0.0,0.0,0.0,0.0,0.088,0.184,0.304,0.472,0.033,5.459,6.476,8.01,9.705,4.517,29.04.24 - 04:54
337,0.049999999999999996,0.0035,0.018000000000000002,0.033,0.125,0.252,0.433,0.017,64.0,0.006,0.003,0.002,0.002,0.017,0.027,0.122,0.25,0.431,0.0,4.64,5.847,7.448,9.279,4.35,29.04.24 - 04:55
338,0.049999999999999996,0.0035,0.02,0.074,0.141,0.241,0.422,0.05,60.0,0.012,0.006,0.004,0.003,0.0,0.062,0.135,0.237,0.419,0.05,4.959,5.842,7.102,8.994,4.583,29.04.24 - 04:56
339,0.049999999999999996,0.0035,0.022000000000000002,0.002,0.053,0.181,0.376,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.002,0.053,0.181,0.376,0.0,3.737,4.933,6.489,8.523,3.533,29.04.24 - 04:57
340,0.049999999999999996,0.0035,0.024,0.009,0.066,0.18,0.374,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.009,0.066,0.18,0.374,0.0,4.007,4.791,6.352,8.418,3.783,29.04.24 - 04:57
341,0.049999999999999996,0.004,0.004,0.497,0.511,0.594,0.696,0.467,-1,0.0,0.0,0.0,0.0,0.0,0.497,0.511,0.594,0.696,0.467,10.417,10.617,11.262,12.197,10.417,29.04.24 - 04:58
342,0.049999999999999996,0.004,0.006,0.459,0.489,0.595,0.696,0.45,-1,0.0,0.0,0.0,0.0,0.0,0.459,0.489,0.595,0.696,0.45,10.597,10.775,11.506,12.38,10.35,29.04.24 - 04:59
343,0.049999999999999996,0.004,0.008,0.421,0.475,0.577,0.683,0.367,-1,0.0,0.0,0.0,0.0,0.0,0.421,0.475,0.577,0.683,0.367,9.747,10.4,11.264,12.198,8.983,29.04.24 - 05:00
344,0.049999999999999996,0.004,0.01,0.329,0.396,0.514,0.636,0.267,-1,0.0,0.0,0.0,0.0,0.0,0.329,0.396,0.514,0.636,0.267,8.868,9.515,10.571,11.678,8.2,29.04.24 - 05:01
345,0.049999999999999996,0.004,0.012,0.307,0.342,0.462,0.596,0.217,10.0,0.0,0.0,0.0,0.0,0.0,0.307,0.342,0.462,0.596,0.217,7.613,8.23,9.611,10.958,6.817,29.04.24 - 05:02
346,0.049999999999999996,0.004,0.014,0.273,0.31,0.426,0.566,0.2,29.0,0.0,0.0,0.0,0.0,0.0,0.273,0.31,0.426,0.566,0.2,7.445,7.877,9.19,10.61,7.117,29.04.24 - 05:02
347,0.049999999999999996,0.004,0.016,0.198,0.259,0.376,0.529,0.1,47.0,0.0,0.0,0.0,0.0,0.0,0.198,0.259,0.376,0.529,0.1,6.547,7.255,8.62,10.188,5.367,29.04.24 - 05:03
348,0.049999999999999996,0.004,0.018000000000000002,0.165,0.238,0.352,0.51,0.067,52.0,0.0,0.0,0.0,0.0,0.0,0.165,0.238,0.352,0.51,0.067,6.423,7.28,8.601,10.174,5.667,29.04.24 - 05:04
349,0.049999999999999996,0.004,0.02,0.097,0.2,0.332,0.492,0.033,66.0,0.0,0.0,0.0,0.0,0.0,0.097,0.2,0.332,0.492,0.033,5.495,6.764,8.193,9.838,4.25,29.04.24 - 05:05
350,0.049999999999999996,0.004,0.022000000000000002,0.087,0.183,0.306,0.473,0.05,56.0,0.0,0.0,0.0,0.0,0.0,0.087,0.183,0.306,0.473,0.05,5.439,6.523,7.86,9.594,5.033,29.04.24 - 05:06
351,0.049999999999999996,0.004,0.024,0.023,0.114,0.237,0.421,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.023,0.114,0.237,0.421,0.0,4.388,5.719,7.214,9.106,4.133,29.04.24 - 05:07
352,0.06,0.0005,0.004,0.246,0.227,0.222,0.355,0.25,4.0,0.246,0.227,0.198,0.15,0.25,0.0,0.0,0.032,0.213,0.0,4.467,4.485,5.045,7.006,4.467,29.04.24 - 05:07
353,0.06,0.0005,0.006,0.257,0.256,0.255,0.379,0.25,6.0,0.257,0.251,0.232,0.177,0.25,0.0,0.005,0.031,0.209,0.0,4.233,4.313,5.034,6.978,4.233,29.04.24 - 05:08
354,0.06,0.0005,0.008,0.183,0.196,0.227,0.36,0.167,18.0,0.183,0.194,0.192,0.149,0.167,0.0,0.004,0.045,0.22,0.0,3.871,4.13,4.978,6.94,3.983,29.04.24 - 05:09
355,0.06,0.0005,0.01,0.122,0.135,0.185,0.329,0.117,14.0,0.117,0.13,0.153,0.122,0.117,0.005,0.005,0.034,0.209,0.0,3.847,4.056,4.862,6.791,3.783,29.04.24 - 05:10
356,0.06,0.0005,0.012,0.106,0.11,0.153,0.3,0.1,15.0,0.106,0.107,0.119,0.099,0.1,0.0,0.003,0.036,0.206,0.0,4.065,4.339,5.058,6.924,3.933,29.04.24 - 05:11
357,0.06,0.0005,0.014,0.108,0.139,0.185,0.323,0.14,25.0,0.109,0.139,0.163,0.132,0.15,0.0,0.0,0.027,0.198,0.0,3.575,3.67,4.337,6.409,3.567,29.04.24 - 05:12
358,0.06,0.0005,0.016,0.104,0.113,0.156,0.302,0.1,20.0,0.104,0.113,0.137,0.118,0.1,0.0,0.001,0.022,0.189,0.0,3.5,3.56,4.195,6.256,3.5,29.04.24 - 05:13
359,0.06,0.0005,0.018000000000000002,0.214,0.189,0.208,0.333,0.254,2.0,0.218,0.187,0.19,0.159,0.267,0.008,0.008,0.03,0.186,0.017,4.173,4.147,4.581,6.493,4.167,29.04.24 - 05:14
360,0.06,0.0005,0.02,0.201,0.174,0.18,0.311,0.217,-1,0.208,0.18,0.164,0.136,0.217,0.0,0.0,0.024,0.182,0.0,3.709,3.713,4.203,6.188,3.683,29.04.24 - 05:15
361,0.06,0.0005,0.022000000000000002,0.178,0.157,0.165,0.298,0.214,-1,0.192,0.165,0.155,0.131,0.233,0.0,0.0,0.018,0.176,0.0,3.778,3.764,4.186,6.174,3.6,29.04.24 - 05:16
362,0.06,0.0005,0.024,0.194,0.164,0.148,0.285,0.214,-1,0.223,0.183,0.149,0.124,0.233,0.0,0.0,0.012,0.173,0.0,3.817,3.789,4.066,6.0,3.9,29.04.24 - 05:17
363,0.06,0.001,0.004,0.233,0.234,0.248,0.387,0.233,4.0,0.233,0.229,0.21,0.158,0.233,0.0,0.005,0.044,0.234,0.0,4.298,4.467,5.356,7.316,4.25,29.04.24 - 05:18
364,0.06,0.001,0.006,0.19,0.208,0.229,0.372,0.2,21.0,0.182,0.185,0.17,0.128,0.183,0.008,0.023,0.067,0.25,0.017,3.926,4.486,5.425,7.372,3.817,29.04.24 - 05:18
365,0.06,0.001,0.008,0.077,0.114,0.169,0.319,0.083,33.0,0.077,0.104,0.129,0.098,0.083,0.0,0.012,0.048,0.227,0.0,3.721,4.124,5.011,6.999,3.85,29.04.24 - 05:19
366,0.06,0.001,0.01,0.035,0.075,0.146,0.303,0.033,44.0,0.033,0.064,0.088,0.069,0.033,0.002,0.011,0.066,0.24,0.0,3.718,4.044,4.948,6.927,3.667,29.04.24 - 05:20
367,0.06,0.001,0.012,0.05,0.075,0.128,0.284,0.05,42.0,0.05,0.073,0.095,0.075,0.05,0.0,0.001,0.036,0.213,0.0,3.663,3.906,4.73,6.802,3.583,29.04.24 - 05:21
368,0.06,0.001,0.014,0.038,0.051,0.109,0.275,0.033,38.0,0.038,0.048,0.076,0.064,0.033,0.0,0.004,0.038,0.215,0.0,3.533,3.743,4.53,6.603,3.517,29.04.24 - 05:22
369,0.06,0.001,0.016,0.02,0.03,0.071,0.24,0.017,41.0,0.02,0.029,0.041,0.039,0.017,0.0,0.0,0.03,0.202,0.0,3.717,3.756,4.362,6.425,3.717,29.04.24 - 05:23
370,0.06,0.001,0.018000000000000002,0.025,0.021,0.063,0.232,0.057,27.0,0.027,0.022,0.043,0.039,0.067,0.0,0.0,0.024,0.198,0.0,3.583,3.665,4.283,6.343,3.583,29.04.24 - 05:24
371,0.06,0.001,0.02,0.043,0.025,0.061,0.23,0.067,24.0,0.043,0.025,0.039,0.041,0.067,0.0,0.0,0.023,0.192,0.0,3.7,3.708,4.21,6.313,3.7,29.04.24 - 05:24
372,0.06,0.001,0.022000000000000002,0.099,0.092,0.135,0.287,0.124,12.0,0.099,0.091,0.11,0.095,0.133,0.0,0.002,0.025,0.195,0.0,3.563,3.639,4.189,6.234,3.55,29.04.24 - 05:25
373,0.06,0.001,0.024,0.146,0.126,0.14,0.283,0.133,11.0,0.146,0.122,0.119,0.103,0.133,0.0,0.004,0.022,0.182,0.0,3.75,3.802,4.189,6.189,3.75,29.04.24 - 05:26
374,0.06,0.0015,0.004,0.212,0.201,0.222,0.374,0.217,14.0,0.211,0.192,0.156,0.117,0.217,0.003,0.02,0.082,0.268,0.0,4.482,4.763,5.714,7.647,4.283,29.04.24 - 05:27
375,0.06,0.0015,0.006,0.112,0.144,0.205,0.356,0.117,32.0,0.109,0.128,0.117,0.088,0.117,0.007,0.022,0.099,0.277,0.0,4.023,4.498,5.837,7.681,3.867,29.04.24 - 05:28
376,0.06,0.0015,0.008,0.032,0.077,0.16,0.318,0.017,61.0,0.032,0.055,0.074,0.056,0.017,0.0,0.023,0.091,0.267,0.0,3.695,4.157,5.312,7.295,3.583,29.04.24 - 05:29
377,0.06,0.0015,0.01,0.04,0.047,0.111,0.281,0.033,39.0,0.04,0.035,0.043,0.032,0.033,0.0,0.012,0.069,0.249,0.0,3.879,4.325,5.324,7.282,3.817,29.04.24 - 05:30
378,0.06,0.0015,0.012,0.0,0.004,0.075,0.253,0.0,46.0,0.0,0.0,0.021,0.016,0.0,0.0,0.004,0.06,0.242,0.0,3.683,3.834,4.955,7.015,3.683,29.04.24 - 05:31
379,0.06,0.0015,0.014,0.0,0.01,0.064,0.247,0.0,45.0,0.0,0.009,0.035,0.028,0.0,0.0,0.001,0.034,0.224,0.0,3.417,3.52,4.411,6.602,3.417,29.04.24 - 05:32
380,0.06,0.0015,0.016,0.003,0.025,0.087,0.259,0.0,52.0,0.003,0.012,0.031,0.025,0.0,0.0,0.013,0.062,0.24,0.0,3.45,3.738,4.613,6.748,3.45,29.04.24 - 05:33
381,0.06,0.0015,0.018000000000000002,0.033,0.043,0.09,0.265,0.033,33.0,0.033,0.034,0.047,0.038,0.033,0.0,0.009,0.045,0.229,0.0,3.813,3.978,4.788,6.874,3.733,29.04.24 - 05:33
382,0.06,0.0015,0.02,0.0,0.002,0.04,0.222,0.0,38.0,0.0,0.002,0.016,0.016,0.0,0.0,0.0,0.024,0.207,0.0,3.7,3.707,4.329,6.522,3.7,29.04.24 - 05:34
383,0.06,0.0015,0.022000000000000002,0.053,0.069,0.116,0.278,0.05,33.0,0.053,0.063,0.085,0.072,0.05,0.0,0.006,0.036,0.213,0.0,3.733,4.027,4.701,6.714,3.733,29.04.24 - 05:35
384,0.06,0.0015,0.024,0.122,0.094,0.107,0.268,0.174,6.0,0.128,0.097,0.086,0.07,0.183,0.003,0.001,0.026,0.203,0.0,3.8,3.82,4.307,6.378,3.8,29.04.24 - 05:36
385,0.06,0.002,0.004,0.242,0.253,0.309,0.445,0.224,14.0,0.217,0.2,0.156,0.117,0.217,0.035,0.068,0.168,0.339,0.017,5.119,6.063,7.367,8.894,4.567,29.04.24 - 05:37
386,0.06,0.002,0.006,0.074,0.111,0.19,0.35,0.083,45.0,0.067,0.063,0.058,0.044,0.083,0.007,0.049,0.134,0.308,0.0,4.569,5.236,6.458,8.248,4.733,29.04.24 - 05:38
387,0.06,0.002,0.008,0.093,0.145,0.219,0.372,0.05,50.0,0.087,0.11,0.094,0.07,0.05,0.006,0.041,0.132,0.306,0.0,4.498,5.007,6.213,8.035,4.467,29.04.24 - 05:38
388,0.06,0.002,0.01,0.017,0.045,0.135,0.305,0.017,48.0,0.017,0.033,0.039,0.029,0.017,0.0,0.015,0.101,0.28,0.0,4.153,4.567,5.92,7.785,4.117,29.04.24 - 05:39
389,0.06,0.002,0.012,0.0,0.018,0.106,0.284,0.0,52.0,0.0,0.013,0.036,0.027,0.0,0.0,0.005,0.075,0.261,0.0,3.633,3.993,5.179,7.246,3.567,29.04.24 - 05:40
390,0.06,0.002,0.014,0.0,0.038,0.126,0.299,0.0,58.0,0.0,0.026,0.06,0.045,0.0,0.0,0.014,0.074,0.26,0.0,3.523,3.96,5.179,7.271,3.5,29.04.24 - 05:41
391,0.06,0.002,0.016,0.0,0.012,0.082,0.268,0.0,48.0,0.0,0.0,0.012,0.009,0.0,0.0,0.012,0.073,0.262,0.0,3.667,3.949,5.064,7.142,3.667,29.04.24 - 05:42
392,0.06,0.002,0.018000000000000002,0.017,0.025,0.084,0.268,0.017,40.0,0.017,0.022,0.036,0.027,0.017,0.0,0.004,0.054,0.246,0.0,3.717,3.863,4.796,6.969,3.717,29.04.24 - 05:43
393,0.06,0.002,0.02,0.0,0.0,0.039,0.231,0.0,38.0,0.0,0.0,0.006,0.005,0.0,0.0,0.0,0.034,0.227,0.0,3.683,3.683,4.326,6.577,3.683,29.04.24 - 05:44
394,0.06,0.002,0.022000000000000002,0.079,0.086,0.131,0.294,0.067,38.0,0.063,0.069,0.083,0.065,0.05,0.017,0.018,0.049,0.23,0.017,4.117,4.177,4.903,6.943,4.117,29.04.24 - 05:45
395,0.06,0.002,0.024,0.001,0.009,0.071,0.253,0.0,44.0,0.001,0.009,0.03,0.028,0.0,0.0,0.0,0.043,0.227,0.0,3.783,3.871,4.627,6.754,3.783,29.04.24 - 05:46
396,0.06,0.0025,0.004,0.151,0.212,0.277,0.425,0.124,30.0,0.091,0.064,0.043,0.032,0.1,0.069,0.155,0.239,0.396,0.033,5.303,6.418,7.447,9.057,4.633,29.04.24 - 05:47
397,0.06,0.0025,0.006,0.092,0.159,0.261,0.412,0.067,52.0,0.067,0.063,0.043,0.032,0.067,0.029,0.109,0.227,0.387,0.0,5.447,6.433,7.714,9.195,4.917,29.04.24 - 05:47
398,0.06,0.0025,0.008,0.059,0.13,0.24,0.394,0.05,50.0,0.033,0.049,0.04,0.03,0.033,0.025,0.085,0.205,0.367,0.017,4.744,5.757,7.267,8.856,4.1,29.04.24 - 05:48
399,0.06,0.0025,0.01,0.049,0.109,0.206,0.369,0.017,63.0,0.015,0.035,0.025,0.019,0.0,0.035,0.074,0.182,0.351,0.017,4.585,5.58,6.928,8.623,4.267,29.04.24 - 05:49
400,0.06,0.0025,0.012,0.024,0.074,0.189,0.358,0.0,66.0,0.012,0.035,0.034,0.026,0.0,0.012,0.046,0.163,0.338,0.0,3.942,4.775,6.424,8.244,3.85,29.04.24 - 05:50
401,0.06,0.0025,0.014,0.039,0.067,0.154,0.33,0.033,41.0,0.035,0.048,0.043,0.032,0.033,0.005,0.022,0.114,0.301,0.0,4.155,4.66,6.085,8.018,4.15,29.04.24 - 05:51
402,0.06,0.0025,0.016,0.011,0.051,0.138,0.317,0.0,63.0,0.0,0.007,0.027,0.02,0.0,0.011,0.045,0.114,0.299,0.0,3.955,4.536,5.744,7.75,3.767,29.04.24 - 05:52
403,0.06,0.0025,0.018000000000000002,0.0,0.004,0.068,0.262,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.068,0.261,0.0,3.483,3.646,4.678,6.926,3.483,29.04.24 - 05:53
404,0.06,0.0025,0.02,0.0,0.007,0.073,0.264,0.0,45.0,0.0,0.004,0.015,0.011,0.0,0.0,0.003,0.062,0.256,0.0,3.433,3.545,4.66,6.853,3.433,29.04.24 - 05:54
405,0.06,0.0025,0.022000000000000002,0.013,0.044,0.121,0.302,0.0,54.0,0.012,0.025,0.045,0.034,0.0,0.001,0.019,0.078,0.27,0.0,3.964,4.241,5.271,7.383,3.9,29.04.24 - 05:54
406,0.06,0.0025,0.024,0.0,0.002,0.046,0.239,0.0,39.0,0.0,0.002,0.017,0.013,0.0,0.0,0.0,0.032,0.228,0.0,3.683,3.743,4.528,6.746,3.683,29.04.24 - 05:55
407,0.06,0.003,0.004,0.211,0.271,0.33,0.471,0.174,26.0,0.005,0.003,0.002,0.001,0.05,0.207,0.269,0.329,0.47,0.133,7.224,7.864,8.692,10.018,6.7,29.04.24 - 05:56
