instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,-1,0.74,0.823,0.882,0.912,0.667,0.0,0.0,0.0,0.0,0.0,0.74,0.823,0.882,0.912,0.667,13.16,13.713,14.142,14.357,11.333,19.04.24 - 05:23
1,-1,0.787,0.853,0.902,0.927,0.667,0.0,0.0,0.0,0.0,0.0,0.787,0.853,0.902,0.927,0.667,12.833,13.673,14.116,14.337,11.167,19.04.24 - 05:23
2,-1,0.767,0.843,0.896,0.922,0.667,0.0,0.0,0.0,0.0,0.0,0.767,0.843,0.896,0.922,0.667,12.987,13.73,14.153,14.365,11.167,19.04.24 - 05:23
3,-1,0.787,0.85,0.9,0.925,0.667,0.0,0.0,0.0,0.0,0.0,0.787,0.85,0.9,0.925,0.667,12.44,13.267,13.844,14.133,11.0,19.04.24 - 05:23
4,-1,0.8,0.867,0.911,0.933,0.667,0.0,0.0,0.0,0.0,0.0,0.8,0.867,0.911,0.933,0.667,12.933,13.703,14.136,14.352,11.0,19.04.24 - 05:23
5,-1,0.767,0.843,0.896,0.922,0.667,0.0,0.0,0.0,0.0,0.0,0.767,0.843,0.896,0.922,0.667,13.2,13.87,14.247,14.435,11.5,19.04.24 - 05:23
6,-1,0.787,0.853,0.902,0.927,0.667,0.0,0.0,0.0,0.0,0.0,0.787,0.853,0.902,0.927,0.667,13.427,14.03,14.353,14.515,13.0,19.04.24 - 05:23
7,-1,0.787,0.853,0.902,0.927,0.667,0.0,0.0,0.0,0.0,0.0,0.787,0.853,0.902,0.927,0.667,12.88,13.69,14.127,14.345,11.333,19.04.24 - 05:23
8,-1,0.807,0.87,0.913,0.935,0.667,0.0,0.0,0.0,0.0,0.0,0.807,0.87,0.913,0.935,0.667,14.087,14.543,14.696,14.772,11.167,19.04.24 - 05:23
9,-1,0.773,0.847,0.898,0.923,0.667,0.0,0.0,0.0,0.0,0.0,0.773,0.847,0.898,0.923,0.667,14.467,14.667,14.778,14.833,11.167,19.04.24 - 05:23
