instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,-1,0.267,0.3,0.362,0.508,0.167,0.0,0.0,0.0,0.0,0.0,0.267,0.3,0.362,0.508,0.167,6.867,8.017,9.273,10.585,5.667,29.04.24 - 06:17
1,-1,0.253,0.34,0.413,0.547,0.167,0.0,0.0,0.0,0.0,0.0,0.253,0.34,0.413,0.547,0.167,7.833,8.823,9.742,10.897,7.833,29.04.24 - 06:17
2,81,0.04,0.18,0.273,0.442,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.18,0.273,0.442,0.0,6.387,7.027,8.049,9.787,5.667,29.04.24 - 06:17
3,-1,0.167,0.21,0.322,0.478,0.167,0.0,0.0,0.0,0.0,0.0,0.167,0.21,0.322,0.478,0.167,5.5,6.687,7.871,9.56,5.5,29.04.24 - 06:17
4,-1,0.167,0.24,0.338,0.49,0.167,0.0,0.0,0.0,0.0,0.0,0.167,0.24,0.338,0.49,0.167,6.84,7.93,8.953,10.345,5.667,29.04.24 - 06:17
5,82,0.08,0.22,0.338,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.22,0.338,0.49,0.0,6.22,7.14,8.653,10.093,3.5,29.04.24 - 06:17
6,-1,0.287,0.357,0.424,0.555,0.167,0.0,0.0,0.0,0.0,0.0,0.287,0.357,0.424,0.555,0.167,7.5,8.06,8.911,10.313,7.5,29.04.24 - 06:17
7,-1,0.207,0.29,0.369,0.513,0.167,0.0,0.0,0.0,0.0,0.0,0.207,0.29,0.369,0.513,0.167,6.62,7.737,8.887,10.295,5.5,29.04.24 - 06:17
8,-1,0.367,0.413,0.451,0.575,0.167,0.0,0.0,0.0,0.0,0.0,0.367,0.413,0.451,0.575,0.167,8.7,9.877,10.696,11.612,7.833,29.04.24 - 06:17
9,-1,0.173,0.26,0.356,0.503,0.167,0.0,0.0,0.0,0.0,0.0,0.173,0.26,0.356,0.503,0.167,7.26,7.58,8.6,10.067,5.5,29.04.24 - 06:17
