instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,duplicate_dendrites_running-avg-0.25,duplicate_dendrites_running-avg-0.5,duplicate_dendrites_running-avg-0.75,duplicate_dendrites_running-avg-1.0,duplicate_dendrites_last,time_finished
0,-1,0.26,0.28,0.303,0.3,0.25,0.26,0.28,0.303,0.28,0.25,0.0,0.0,0.0,0.02,0.0,9.29,9.145,9.05,9.325,8.5,21.92,21.96,21.92,21.83,23.0,28.05.24 - 09:28
1,8,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.025,0.0,6.91,7.135,7.327,7.55,6.75,11.08,11.52,11.987,11.44,9.0,28.05.24 - 09:35
2,98,0.2,0.2,0.187,0.205,0.0,0.0,0.0,0.0,0.01,0.0,0.2,0.2,0.187,0.195,0.0,4.65,4.69,4.723,5.1,4.25,3.24,3.46,3.6,3.69,4.0,28.05.24 - 09:43
3,99,0.1,0.085,0.077,0.102,0.0,0.02,0.035,0.037,0.04,0.0,0.08,0.05,0.04,0.062,0.0,5.03,5.225,5.4,5.952,4.5,4.16,4.84,5.16,5.7,6.0,28.05.24 - 09:50
4,86,0.02,0.015,0.023,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.015,0.023,0.048,0.0,5.43,5.42,5.443,5.99,5.25,6.76,6.76,6.707,7.09,6.0,28.05.24 - 09:57
