instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,44,0.0,0.078,0.196,0.358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.196,0.358,0.0,4.156,5.667,6.893,8.569,3.667,22.05.24 - 11:02
1,34,0.0,0.022,0.122,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.122,0.303,0.0,5.522,5.383,6.415,8.25,5.833,22.05.24 - 11:02
2,55,0.1,0.172,0.226,0.381,0.0,0.011,0.006,0.004,0.003,0.0,0.089,0.167,0.222,0.378,0.0,6.1,6.5,7.167,8.697,5.833,22.05.24 - 11:02
3,59,0.078,0.141,0.253,0.401,0.0,0.011,0.017,0.011,0.008,0.0,0.067,0.128,0.244,0.394,0.0,5.522,6.35,8.189,9.425,5.5,22.05.24 - 11:03
4,-1,0.5,0.344,0.341,0.467,0.5,0.333,0.244,0.163,0.122,0.333,0.167,0.1,0.178,0.344,0.167,5.5,4.861,5.83,7.811,5.5,22.05.24 - 11:03
5,29,0.0,0.0,0.104,0.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104,0.289,0.0,3.833,4.589,6.015,7.989,3.833,22.05.24 - 11:03
6,-1,0.167,0.186,0.29,0.429,0.167,0.122,0.067,0.044,0.033,0.167,0.044,0.122,0.248,0.397,0.0,3.533,5.356,6.793,8.378,3.0,22.05.24 - 11:03
7,-1,0.5,0.363,0.353,0.476,0.5,0.333,0.239,0.159,0.119,0.333,0.167,0.128,0.196,0.358,0.167,8.1,8.156,8.104,9.478,7.167,22.05.24 - 11:03
8,-1,0.24,0.253,0.295,0.432,0.236,0.189,0.106,0.07,0.053,0.167,0.122,0.183,0.248,0.397,0.167,7.767,8.056,8.722,9.825,7.5,22.05.24 - 11:03
9,-1,0.167,0.106,0.159,0.331,0.167,0.167,0.089,0.059,0.044,0.167,0.0,0.017,0.1,0.286,0.0,7.133,6.883,7.256,8.919,5.667,22.05.24 - 11:03
