instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,-1,0.333,0.293,0.26,0.357,0.333,0.333,0.293,0.251,0.2,0.333,0.0,0.0,0.022,0.173,0.0,3.667,3.707,4.52,6.293,3.667,29.04.24 - 09:21
1,-1,0.167,0.167,0.181,0.311,0.167,0.167,0.167,0.169,0.128,0.167,0.0,0.0,0.02,0.19,0.0,3.833,3.833,4.144,6.142,3.833,29.04.24 - 09:21
2,-1,0.333,0.333,0.307,0.389,0.333,0.333,0.333,0.289,0.237,0.333,0.0,0.0,0.044,0.173,0.0,3.833,3.833,4.636,6.527,3.833,29.04.24 - 09:21
3,-1,0.333,0.333,0.333,0.408,0.333,0.333,0.333,0.333,0.253,0.333,0.0,0.0,0.0,0.155,0.0,4.667,4.667,4.667,6.413,4.667,29.04.24 - 09:21
4,-1,0.167,0.167,0.167,0.283,0.167,0.167,0.167,0.153,0.115,0.167,0.0,0.0,0.013,0.168,0.0,4.5,4.5,5.06,6.848,4.5,29.04.24 - 09:21
5,-1,0.333,0.333,0.336,0.42,0.333,0.333,0.333,0.329,0.26,0.333,0.0,0.0,0.018,0.173,0.0,3.5,3.5,3.842,6.048,3.5,29.04.24 - 09:21
6,-1,0.333,0.333,0.326,0.397,0.333,0.333,0.333,0.32,0.252,0.333,0.0,0.0,0.013,0.158,0.0,5.0,5.0,5.213,6.745,5.0,29.04.24 - 09:21
7,-1,0.167,0.167,0.168,0.292,0.167,0.167,0.167,0.153,0.122,0.167,0.0,0.0,0.016,0.175,0.0,4.0,4.0,4.427,6.303,4.0,29.04.24 - 09:21
8,-1,0.333,0.333,0.34,0.418,0.333,0.333,0.333,0.333,0.273,0.333,0.0,0.0,0.016,0.152,0.0,4.0,4.0,4.347,6.297,4.0,29.04.24 - 09:21
9,-1,0.333,0.333,0.32,0.407,0.333,0.333,0.333,0.311,0.245,0.333,0.0,0.0,0.022,0.178,0.0,4.167,4.167,4.582,6.237,4.167,29.04.24 - 09:21
