instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,27,0.0,0.0,0.059,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.247,0.0,3.667,3.728,4.863,6.928,3.667,22.05.24 - 17:01
1,25,0.0,0.0,0.056,0.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.236,0.0,3.833,3.833,4.522,6.639,3.833,22.05.24 - 17:01
2,-1,0.167,0.193,0.221,0.36,0.167,0.167,0.183,0.141,0.106,0.167,0.0,0.022,0.1,0.269,0.0,3.833,5.106,6.285,8.067,3.833,22.05.24 - 17:01
3,28,0.0,0.0,0.071,0.256,0.0,0.0,0.0,0.044,0.033,0.0,0.0,0.0,0.033,0.228,0.0,3.667,4.133,5.778,7.644,3.667,22.05.24 - 17:01
4,54,0.1,0.194,0.231,0.376,0.0,0.1,0.133,0.148,0.111,0.0,0.0,0.061,0.096,0.275,0.0,3.667,4.667,5.622,7.578,3.667,22.05.24 - 17:01
5,21,0.0,0.0,0.041,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.225,0.0,3.833,3.833,4.463,6.622,3.833,22.05.24 - 17:01
6,-1,0.167,0.233,0.3,0.431,0.167,0.167,0.2,0.211,0.158,0.167,0.0,0.033,0.1,0.281,0.0,3.5,4.667,6.407,8.089,3.5,22.05.24 - 17:01
7,35,0.0,0.028,0.122,0.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.122,0.289,0.0,3.333,3.933,5.107,7.2,3.333,22.05.24 - 17:01
8,-1,0.303,0.359,0.397,0.495,0.167,0.289,0.289,0.226,0.169,0.167,0.033,0.083,0.181,0.333,0.0,6.422,6.378,7.504,8.939,6.333,22.05.24 - 17:01
9,20,0.0,0.0,0.022,0.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.211,0.0,3.667,4.217,5.178,7.208,3.667,22.05.24 - 17:01
