instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,15,0.0,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.0,3.833,3.833,3.833,4.967,3.833,22.05.24 - 17:44
1,12,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073,0.0,3.833,3.833,3.833,4.705,3.833,22.05.24 - 17:44
2,15,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.088,0.0,4.0,4.0,4.0,5.097,4.0,22.05.24 - 17:44
3,16,0.0,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.073,0.0,3.5,3.5,3.5,4.77,3.5,22.05.24 - 17:44
4,25,0.0,0.0,0.0,0.102,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.088,0.0,3.333,3.333,3.38,4.702,3.333,22.05.24 - 17:44
5,19,0.0,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.068,0.0,3.833,3.833,3.833,4.767,3.833,22.05.24 - 17:44
6,21,0.0,0.0,0.0,0.108,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.088,0.0,4.5,4.5,4.5,5.748,4.5,22.05.24 - 17:44
7,18,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.085,0.0,3.333,3.333,3.333,4.592,3.333,22.05.24 - 17:44
8,27,0.0,0.0,0.004,0.124,0.0,0.0,0.0,0.004,0.023,0.0,0.0,0.0,0.0,0.103,0.0,4.333,4.333,4.407,5.717,4.333,22.05.24 - 17:44
9,13,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.067,0.0,3.667,3.667,3.667,4.785,3.667,22.05.24 - 17:44
