instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,-1,0.333,0.333,0.326,0.391,0.333,0.333,0.333,0.32,0.255,0.333,0.0,0.0,0.013,0.143,0.0,4.04,3.953,4.107,5.892,3.333,29.04.24 - 09:12
1,99,0.027,0.02,0.024,0.167,0.0,0.027,0.02,0.013,0.018,0.0,0.0,0.0,0.011,0.153,0.0,4.54,4.447,4.747,6.568,4.167,29.04.24 - 09:12
2,-1,0.167,0.193,0.227,0.308,0.167,0.167,0.193,0.227,0.187,0.167,0.0,0.0,0.0,0.125,0.0,4.5,4.727,4.7,6.22,4.5,29.04.24 - 09:12
3,73,0.0,0.077,0.111,0.25,0.0,0.0,0.077,0.107,0.105,0.0,0.0,0.0,0.004,0.145,0.0,3.667,3.667,3.72,5.505,3.667,29.04.24 - 09:12
4,98,0.02,0.023,0.089,0.23,0.0,0.02,0.023,0.058,0.068,0.0,0.0,0.0,0.031,0.167,0.0,3.28,3.327,4.24,6.065,3.0,29.04.24 - 09:13
5,-1,0.333,0.333,0.334,0.411,0.333,0.333,0.333,0.333,0.258,0.333,0.0,0.0,0.002,0.158,0.0,3.56,3.49,4.093,6.052,7.667,29.04.24 - 09:13
6,70,0.0,0.067,0.1,0.234,0.0,0.0,0.067,0.1,0.09,0.0,0.0,0.0,0.0,0.145,0.0,3.667,3.667,3.773,5.758,3.667,29.04.24 - 09:13
7,62,0.0,0.04,0.083,0.221,0.0,0.0,0.04,0.082,0.078,0.0,0.0,0.0,0.002,0.153,0.0,3.667,3.667,3.8,5.683,3.667,29.04.24 - 09:13
8,73,0.0,0.077,0.149,0.262,0.0,0.0,0.077,0.107,0.097,0.0,0.0,0.0,0.042,0.17,0.0,3.667,3.667,4.173,5.85,3.667,29.04.24 - 09:13
9,29,0.0,0.0,0.009,0.17,0.0,0.0,0.0,0.009,0.008,0.0,0.0,0.0,0.0,0.162,0.0,4.333,4.333,4.396,6.267,4.333,29.04.24 - 09:13
