instance_id,plasticity.lambda_plus,plasticity.lambda_h,plasticity.target_rate_h,plasticity.permanence_threshold,plasticity.correlation_threshold,experiment.id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,duplicate_dendrites_running-avg-0.25,duplicate_dendrites_running-avg-0.5,duplicate_dendrites_running-avg-0.75,duplicate_dendrites_running-avg-1.0,duplicate_dendrites_last,time_finished
205,18,14,60,40,70,no-calib_on-chip_no-dyn-inh,-1,0.5,0.49,0.526,0.57,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.49,0.526,0.57,0.5,3.846,3.98,4.046,4.5,3.5,1.308,1.28,1.079,0.92,2.0,27.05.24 - 21:49
206,14,16,100,60,70,no-calib_on-chip_no-dyn-inh,-1,0.481,0.46,0.48,0.52,0.25,0.0,0.0,0.0,0.0,0.0,0.481,0.46,0.48,0.52,0.25,3.788,3.9,4.072,4.585,3.75,0.615,0.44,0.368,0.28,0.0,27.05.24 - 21:53
207,14,16,80,60,70,no-calib_on-chip_no-dyn-inh,-1,0.423,0.42,0.48,0.55,0.5,0.0,0.0,0.0,0.0,0.0,0.423,0.42,0.48,0.55,0.5,4.423,4.15,4.303,4.88,3.75,0.154,0.2,0.237,0.22,1.0,27.05.24 - 21:57
208,16,10,80,40,70,no-calib_on-chip_no-dyn-inh,-1,0.385,0.42,0.441,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.385,0.42,0.441,0.5,0.25,4.346,4.45,4.349,4.84,4.0,0.077,0.04,0.132,0.12,0.0,27.05.24 - 22:00
209,14,12,60,40,80,no-calib_on-chip_no-dyn-inh,-1,0.538,0.56,0.566,0.575,0.5,0.0,0.0,0.0,0.0,0.0,0.538,0.56,0.566,0.575,0.5,4.731,4.78,4.875,5.275,3.0,0.231,0.2,0.211,0.32,0.0,27.05.24 - 22:04
210,14,14,60,60,80,no-calib_on-chip_no-dyn-inh,-1,0.731,0.75,0.737,0.76,0.5,0.0,0.0,0.0,0.0,0.0,0.731,0.75,0.737,0.76,0.5,4.788,4.87,4.908,5.63,4.75,0.0,0.0,0.0,0.0,0.0,27.05.24 - 22:08
211,18,14,60,80,90,no-calib_on-chip_no-dyn-inh,-1,0.635,0.61,0.638,0.68,0.5,0.0,0.0,0.0,0.0,0.0,0.635,0.61,0.638,0.68,0.5,5.231,5.26,5.375,6.06,5.0,0.231,0.24,0.184,0.16,0.0,27.05.24 - 22:12
212,14,14,100,40,70,no-calib_on-chip_no-dyn-inh,-1,0.346,0.34,0.322,0.355,0.75,0.0,0.0,0.0,0.0,0.0,0.346,0.34,0.322,0.355,0.75,4.288,4.07,4.151,4.525,4.25,0.462,0.52,0.395,0.36,0.0,27.05.24 - 22:15
213,16,10,80,60,90,no-calib_on-chip_no-dyn-inh,-1,0.673,0.68,0.651,0.69,0.75,0.0,0.0,0.0,0.0,0.0,0.673,0.68,0.651,0.69,0.75,4.462,4.32,4.73,5.305,4.25,0.077,0.08,0.184,0.22,0.0,27.05.24 - 22:19
214,18,16,100,80,80,no-calib_on-chip_no-dyn-inh,-1,0.481,0.48,0.493,0.545,0.5,0.0,0.0,0.0,0.0,0.0,0.481,0.48,0.493,0.545,0.5,4.596,4.3,4.342,4.93,4.0,0.385,0.4,0.447,0.4,0.0,27.05.24 - 22:23
215,18,10,60,80,70,no-calib_on-chip_no-dyn-inh,-1,0.808,0.8,0.772,0.782,1.0,0.115,0.11,0.086,0.065,0.0,0.692,0.69,0.691,0.72,1.0,4.192,4.33,4.454,5.255,3.75,0.231,0.16,0.132,0.14,0.0,27.05.24 - 22:26
216,14,8,80,40,90,no-calib_on-chip_no-dyn-inh,-1,0.712,0.67,0.691,0.685,0.75,0.0,0.0,0.0,0.0,0.0,0.712,0.67,0.691,0.685,0.75,4.769,4.78,4.671,5.215,4.75,0.077,0.08,0.105,0.18,0.0,27.05.24 - 22:30
217,14,14,100,40,90,no-calib_on-chip_no-dyn-inh,-1,0.788,0.77,0.763,0.76,1.0,0.0,0.0,0.0,0.0,0.0,0.788,0.77,0.763,0.76,1.0,4.077,4.53,4.77,5.135,3.5,0.0,0.04,0.026,0.02,0.0,27.05.24 - 22:34
218,14,16,80,60,90,no-calib_on-chip_no-dyn-inh,-1,0.731,0.74,0.743,0.765,0.5,0.0,0.0,0.0,0.0,0.0,0.731,0.74,0.743,0.765,0.5,4.654,4.81,4.842,5.5,4.5,0.0,0.0,0.0,0.06,0.0,27.05.24 - 22:38
219,16,10,60,80,70,no-calib_on-chip_no-dyn-inh,-1,0.596,0.6,0.645,0.71,0.5,0.0,0.0,0.0,0.0,0.0,0.596,0.6,0.645,0.71,0.5,3.865,3.85,3.836,4.895,5.0,0.615,0.56,0.395,0.3,1.0,27.05.24 - 22:41
220,18,14,60,40,90,no-calib_on-chip_no-dyn-inh,-1,0.731,0.73,0.704,0.715,0.75,0.0,0.0,0.0,0.0,0.0,0.731,0.73,0.704,0.715,0.75,4.75,5.38,5.513,5.935,4.75,0.077,0.16,0.158,0.16,0.0,27.05.24 - 22:45
221,18,14,100,80,80,no-calib_on-chip_no-dyn-inh,-1,0.5,0.54,0.526,0.575,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.54,0.526,0.575,0.5,4.288,4.28,4.408,5.11,3.25,0.231,0.16,0.263,0.22,0.0,27.05.24 - 22:49
222,14,16,60,80,80,no-calib_on-chip_no-dyn-inh,-1,0.673,0.69,0.684,0.73,0.5,0.0,0.0,0.0,0.0,0.0,0.673,0.69,0.684,0.73,0.5,4.519,4.78,4.862,5.72,4.25,0.077,0.12,0.132,0.1,0.0,27.05.24 - 22:52
223,14,12,100,60,90,no-calib_on-chip_no-dyn-inh,-1,0.712,0.67,0.651,0.685,0.75,0.0,0.0,0.0,0.0,0.0,0.712,0.67,0.651,0.685,0.75,5.019,4.86,4.829,5.435,4.5,0.077,0.08,0.132,0.1,0.0,27.05.24 - 22:56
224,16,10,100,80,80,no-calib_on-chip_no-dyn-inh,-1,0.615,0.65,0.691,0.72,0.75,0.0,0.0,0.0,0.0,0.0,0.615,0.65,0.691,0.72,0.75,4.635,4.64,4.711,5.435,3.5,0.154,0.12,0.132,0.12,0.0,27.05.24 - 23:00
225,14,14,60,80,70,no-calib_on-chip_no-dyn-inh,-1,0.538,0.56,0.586,0.66,0.5,0.0,0.0,0.0,0.0,0.0,0.538,0.56,0.586,0.66,0.5,4.308,4.26,4.289,5.35,4.25,0.308,0.2,0.158,0.14,1.0,27.05.24 - 23:04
226,16,8,100,60,90,no-calib_on-chip_no-dyn-inh,-1,0.788,0.77,0.763,0.78,0.75,0.0,0.0,0.0,0.0,0.0,0.788,0.77,0.763,0.78,0.75,4.442,4.67,4.632,5.145,5.0,0.0,0.04,0.026,0.06,0.0,27.05.24 - 23:07
227,14,12,80,40,70,no-calib_on-chip_no-dyn-inh,-1,0.462,0.49,0.461,0.49,0.5,0.0,0.0,0.0,0.0,0.0,0.462,0.49,0.461,0.49,0.5,4.827,4.81,4.73,5.07,4.75,0.615,0.64,0.658,0.68,1.0,27.05.24 - 23:11
228,18,8,80,60,70,no-calib_on-chip_no-dyn-inh,-1,0.346,0.43,0.48,0.525,0.25,0.0,0.0,0.0,0.0,0.0,0.346,0.43,0.48,0.525,0.25,4.692,4.71,4.638,5.155,5.25,0.923,0.76,0.605,0.54,0.0,27.05.24 - 23:15
229,14,10,60,60,90,no-calib_on-chip_no-dyn-inh,-1,0.577,0.56,0.572,0.625,0.5,0.0,0.0,0.0,0.0,0.0,0.577,0.56,0.572,0.625,0.5,5.019,4.97,5.079,5.805,3.75,0.615,0.56,0.526,0.42,1.0,27.05.24 - 23:19
230,14,12,60,40,90,no-calib_on-chip_no-dyn-inh,-1,0.769,0.77,0.77,0.795,0.75,0.0,0.0,0.0,0.0,0.0,0.769,0.77,0.77,0.795,0.75,5.615,5.56,5.474,6.03,6.0,0.0,0.0,0.0,0.0,0.0,27.05.24 - 23:22
231,18,14,100,40,70,no-calib_on-chip_no-dyn-inh,-1,0.442,0.45,0.441,0.48,0.25,0.0,0.0,0.0,0.0,0.0,0.442,0.45,0.441,0.48,0.25,5.173,5.03,5.02,5.21,4.5,0.385,0.48,0.421,0.38,1.0,27.05.24 - 23:26
232,16,8,100,40,70,no-calib_on-chip_no-dyn-inh,-1,0.538,0.51,0.52,0.53,0.5,0.038,0.05,0.046,0.035,0.0,0.5,0.46,0.474,0.495,0.5,4.558,4.66,4.711,5.19,5.0,0.077,0.16,0.132,0.14,0.0,27.05.24 - 23:30
233,14,10,80,60,90,no-calib_on-chip_no-dyn-inh,-1,0.654,0.69,0.717,0.77,0.5,0.0,0.0,0.0,0.0,0.0,0.654,0.69,0.717,0.77,0.5,5.385,5.43,5.349,5.955,6.0,0.0,0.0,0.026,0.02,0.0,27.05.24 - 23:33
234,14,16,60,40,70,no-calib_on-chip_no-dyn-inh,-1,0.635,0.64,0.625,0.655,0.75,0.0,0.0,0.0,0.0,0.0,0.635,0.64,0.625,0.655,0.75,4.615,4.85,4.75,5.17,5.0,0.154,0.16,0.211,0.22,0.0,27.05.24 - 23:37
235,16,16,80,40,90,no-calib_on-chip_no-dyn-inh,-1,0.673,0.69,0.711,0.71,0.75,0.0,0.0,0.0,0.0,0.0,0.673,0.69,0.711,0.71,0.75,4.981,4.71,4.888,5.17,4.75,0.077,0.08,0.079,0.14,0.0,27.05.24 - 23:41
236,14,12,100,60,80,no-calib_on-chip_no-dyn-inh,-1,0.654,0.66,0.638,0.68,0.5,0.0,0.0,0.0,0.0,0.0,0.654,0.66,0.638,0.68,0.5,4.808,4.56,4.671,5.23,4.75,0.308,0.2,0.237,0.2,0.0,27.05.24 - 23:45
237,18,8,80,80,70,no-calib_on-chip_no-dyn-inh,-1,0.519,0.53,0.526,0.595,0.5,0.0,0.0,0.0,0.0,0.0,0.519,0.53,0.526,0.595,0.5,4.288,4.31,4.368,5.075,5.0,0.846,1.0,0.947,0.76,1.0,27.05.24 - 23:48
238,16,16,60,40,70,no-calib_on-chip_no-dyn-inh,-1,0.346,0.35,0.414,0.46,0.25,0.0,0.0,0.0,0.0,0.0,0.346,0.35,0.414,0.46,0.25,4.75,4.9,4.809,5.11,5.5,1.154,0.84,0.711,0.7,1.0,27.05.24 - 23:52
239,14,14,60,40,70,no-calib_on-chip_no-dyn-inh,-1,0.327,0.33,0.336,0.39,0.25,0.0,0.0,0.0,0.0,0.0,0.327,0.33,0.336,0.39,0.25,3.808,3.7,3.763,4.425,4.0,1.846,1.76,1.711,1.38,2.0,27.05.24 - 23:56
240,14,16,60,40,90,no-calib_on-chip_no-dyn-inh,-1,0.75,0.76,0.757,0.795,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.76,0.757,0.795,0.75,4.75,4.82,4.895,5.455,4.25,0.0,0.0,0.0,0.0,0.0,28.05.24 - 00:00
241,18,16,100,60,90,no-calib_on-chip_no-dyn-inh,-1,0.75,0.74,0.737,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.74,0.737,0.75,0.75,4.692,4.66,4.77,5.33,5.5,0.154,0.12,0.132,0.14,0.0,28.05.24 - 00:03
242,14,8,100,60,90,no-calib_on-chip_no-dyn-inh,-1,0.692,0.7,0.724,0.74,0.5,0.0,0.0,0.0,0.0,0.0,0.692,0.7,0.724,0.74,0.5,5.115,5.22,5.336,5.81,5.75,0.0,0.0,0.0,0.06,0.0,28.05.24 - 00:07
243,16,14,100,60,80,no-calib_on-chip_no-dyn-inh,-1,0.712,0.69,0.651,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.712,0.69,0.651,0.7,1.0,4.346,4.29,4.355,4.905,5.0,0.0,0.08,0.184,0.18,0.0,28.05.24 - 00:11
244,14,14,80,40,70,no-calib_on-chip_no-dyn-inh,-1,0.519,0.48,0.493,0.545,0.75,0.0,0.0,0.0,0.0,0.0,0.519,0.48,0.493,0.545,0.75,4.442,4.38,4.316,4.73,5.0,0.769,0.76,0.632,0.52,1.0,28.05.24 - 00:15
245,14,10,100,60,90,no-calib_on-chip_no-dyn-inh,-1,0.712,0.7,0.711,0.745,0.75,0.0,0.0,0.0,0.0,0.0,0.712,0.7,0.711,0.745,0.75,4.269,4.13,4.559,5.14,4.0,0.385,0.28,0.316,0.28,0.0,28.05.24 - 00:18
246,18,8,60,60,80,no-calib_on-chip_no-dyn-inh,-1,0.692,0.7,0.724,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.692,0.7,0.724,0.75,0.5,4.327,4.18,4.237,4.86,5.75,0.0,0.0,0.0,0.02,0.0,28.05.24 - 00:22
247,16,8,100,80,90,no-calib_on-chip_no-dyn-inh,-1,0.75,0.78,0.789,0.82,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.78,0.789,0.82,0.75,4.673,4.57,4.711,5.55,5.5,0.308,0.28,0.263,0.2,0.0,28.05.24 - 00:26
248,18,12,60,60,90,no-calib_on-chip_no-dyn-inh,-1,0.769,0.77,0.77,0.78,0.75,0.0,0.0,0.0,0.0,0.0,0.769,0.77,0.77,0.78,0.75,5.346,4.98,5.053,5.56,5.5,0.0,0.0,0.0,0.02,0.0,28.05.24 - 00:30
249,16,12,100,80,90,no-calib_on-chip_no-dyn-inh,-1,0.788,0.79,0.796,0.815,0.75,0.0,0.0,0.0,0.0,0.0,0.788,0.79,0.796,0.815,0.75,4.731,4.48,4.513,5.225,3.5,0.462,0.48,0.553,0.56,1.0,28.05.24 - 00:33
