instance_id,plasticity.lambda_plus,plasticity.lambda_h,plasticity.target_rate_h,plasticity.permanence_threshold,plasticity.correlation_threshold,experiment.id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,duplicate_dendrites_running-avg-0.25,duplicate_dendrites_running-avg-0.5,duplicate_dendrites_running-avg-0.75,duplicate_dendrites_running-avg-1.0,duplicate_dendrites_last,time_finished
0,16,14,80,80,90,no-calib_on-chip_no-dyn-inh,-1,0.731,0.72,0.737,0.78,1.0,0.0,0.0,0.0,0.0,0.0,0.731,0.72,0.737,0.78,1.0,4.692,4.75,4.914,5.67,5.0,0.077,0.2,0.158,0.12,0.0,27.05.24 - 04:29
1,18,10,80,60,70,no-calib_on-chip_no-dyn-inh,-1,0.288,0.32,0.355,0.395,0.25,0.0,0.0,0.0,0.0,0.0,0.288,0.32,0.355,0.395,0.25,4.865,4.69,4.691,5.27,5.25,1.154,1.32,1.368,1.16,1.0,27.05.24 - 04:33
2,18,14,100,80,80,no-calib_on-chip_no-dyn-inh,-1,0.481,0.48,0.467,0.535,0.5,0.0,0.0,0.0,0.0,0.0,0.481,0.48,0.467,0.535,0.5,5.212,5.26,5.164,5.745,5.75,0.923,0.96,0.974,0.84,1.0,27.05.24 - 04:37
3,18,10,100,60,80,no-calib_on-chip_no-dyn-inh,-1,0.654,0.63,0.658,0.675,0.5,0.0,0.0,0.0,0.0,0.0,0.654,0.63,0.658,0.675,0.5,4.115,4.16,4.23,4.84,4.5,1.308,1.32,1.263,1.1,1.0,27.05.24 - 04:41
4,16,8,100,80,90,no-calib_on-chip_no-dyn-inh,-1,0.615,0.69,0.704,0.73,0.25,0.0,0.0,0.0,0.0,0.0,0.615,0.69,0.704,0.73,0.25,4.788,4.95,5.105,5.86,4.75,0.846,0.48,0.342,0.32,2.0,27.05.24 - 04:45
5,16,10,100,60,80,no-calib_on-chip_no-dyn-inh,-1,0.654,0.67,0.658,0.69,0.75,0.0,0.0,0.0,0.0,0.0,0.654,0.67,0.658,0.69,0.75,4.75,4.63,4.645,5.295,5.25,0.308,0.44,0.368,0.36,0.0,27.05.24 - 04:48
6,18,10,60,40,80,no-calib_on-chip_no-dyn-inh,-1,0.5,0.57,0.539,0.565,0.75,0.0,0.0,0.0,0.0,0.0,0.5,0.57,0.539,0.565,0.75,4.673,4.55,4.572,5.05,2.75,1.462,1.36,1.263,1.08,1.0,27.05.24 - 04:52
7,14,8,100,60,90,no-calib_on-chip_no-dyn-inh,-1,0.827,0.79,0.776,0.785,0.75,0.0,0.0,0.0,0.0,0.0,0.827,0.79,0.776,0.785,0.75,4.865,4.88,4.993,5.63,4.5,0.077,0.04,0.079,0.08,0.0,27.05.24 - 04:56
8,16,14,100,40,80,no-calib_on-chip_no-dyn-inh,-1,0.673,0.66,0.658,0.67,0.75,0.0,0.0,0.0,0.0,0.0,0.673,0.66,0.658,0.67,0.75,4.808,4.85,4.809,5.15,5.75,0.769,0.64,0.632,0.52,1.0,27.05.24 - 05:00
9,16,14,100,80,80,no-calib_on-chip_no-dyn-inh,-1,0.673,0.68,0.691,0.72,0.75,0.0,0.0,0.0,0.0,0.0,0.673,0.68,0.691,0.72,0.75,4.231,4.35,4.368,4.99,4.25,1.077,1.0,1.0,0.92,1.0,27.05.24 - 05:04
10,18,10,100,60,70,no-calib_on-chip_no-dyn-inh,-1,0.481,0.41,0.447,0.505,0.75,0.058,0.03,0.046,0.035,0.0,0.423,0.38,0.401,0.47,0.75,5.038,4.86,4.888,5.335,5.5,1.077,1.2,1.158,0.94,0.0,27.05.24 - 05:07
11,16,10,60,40,80,no-calib_on-chip_no-dyn-inh,-1,0.577,0.59,0.592,0.615,0.5,0.0,0.0,0.0,0.0,0.0,0.577,0.59,0.592,0.615,0.5,4.288,4.27,4.395,4.76,4.5,1.0,0.92,0.842,0.82,1.0,27.05.24 - 05:11
12,14,12,100,60,70,no-calib_on-chip_no-dyn-inh,-1,0.404,0.38,0.355,0.44,0.75,0.0,0.0,0.0,0.0,0.0,0.404,0.38,0.355,0.44,0.75,4.404,4.26,4.283,4.85,4.75,1.385,1.32,1.289,1.08,1.0,27.05.24 - 05:15
13,16,16,80,40,70,no-calib_on-chip_no-dyn-inh,-1,0.538,0.54,0.513,0.53,1.0,0.096,0.08,0.053,0.04,0.25,0.442,0.46,0.461,0.49,0.75,4.385,4.44,4.382,4.695,4.25,1.231,1.36,1.342,1.26,1.0,27.05.24 - 05:19
14,14,16,100,60,70,no-calib_on-chip_no-dyn-inh,-1,0.308,0.3,0.329,0.405,0.5,0.038,0.05,0.033,0.035,0.25,0.269,0.25,0.296,0.37,0.25,4.538,4.27,4.434,4.855,4.75,0.846,1.0,0.921,0.8,2.0,27.05.24 - 05:22
15,18,14,100,60,90,no-calib_on-chip_no-dyn-inh,-1,0.692,0.68,0.691,0.72,0.75,0.0,0.0,0.0,0.0,0.0,0.692,0.68,0.691,0.72,0.75,5.288,5.24,5.257,5.69,4.25,0.385,0.32,0.342,0.28,0.0,27.05.24 - 05:26
16,16,12,100,80,70,no-calib_on-chip_no-dyn-inh,-1,0.577,0.51,0.526,0.58,0.5,0.038,0.02,0.013,0.01,0.0,0.538,0.49,0.513,0.57,0.5,4.558,4.45,4.625,5.19,4.25,1.0,1.08,0.921,0.84,1.0,27.05.24 - 05:30
17,16,14,60,40,80,no-calib_on-chip_no-dyn-inh,-1,0.519,0.52,0.539,0.56,0.5,0.0,0.0,0.0,0.0,0.0,0.519,0.52,0.539,0.56,0.5,3.923,4.34,4.421,4.845,3.5,1.0,0.8,0.632,0.62,2.0,27.05.24 - 05:34
18,18,16,60,60,70,no-calib_on-chip_no-dyn-inh,-1,0.462,0.47,0.513,0.57,0.25,0.0,0.0,0.0,0.0,0.0,0.462,0.47,0.513,0.57,0.25,4.827,4.73,4.743,5.29,4.0,1.231,1.16,1.079,0.98,1.0,27.05.24 - 05:38
18,14,16,60,60,90,no-calib_on-chip_no-dyn-inh,-1,0.596,0.63,0.638,0.675,0.25,0.0,0.0,0.0,0.0,0.0,0.596,0.63,0.638,0.675,0.25,5.077,5.19,5.039,5.685,5.0,0.385,0.24,0.263,0.26,1.0,27.05.24 - 05:51
19,18,10,80,80,80,no-calib_on-chip_no-dyn-inh,-1,0.673,0.68,0.678,0.705,0.75,0.0,0.0,0.0,0.0,0.0,0.673,0.68,0.678,0.705,0.75,4.615,4.8,4.836,5.555,5.0,1.0,0.88,0.895,0.7,1.0,27.05.24 - 05:54
19,18,10,80,80,80,no-calib_on-chip_no-dyn-inh,-1,0.538,0.55,0.559,0.61,0.25,0.0,0.0,0.0,0.0,0.0,0.538,0.55,0.559,0.61,0.25,4.615,4.74,4.836,5.555,3.25,0.615,0.44,0.395,0.3,2.0,27.05.24 - 06:01
19,18,10,80,80,80,no-calib_on-chip_no-dyn-inh,-1,0.673,0.66,0.691,0.73,0.5,0.0,0.0,0.0,0.0,0.0,0.673,0.66,0.691,0.73,0.5,4.904,4.88,4.98,5.76,5.25,0.692,0.64,0.658,0.52,1.0,27.05.24 - 06:09
20,14,8,100,80,90,no-calib_on-chip_no-dyn-inh,-1,0.731,0.74,0.75,0.785,0.75,0.0,0.0,0.0,0.0,0.0,0.731,0.74,0.75,0.785,0.75,5.096,5.01,5.039,5.955,4.5,0.077,0.04,0.079,0.06,0.0,27.05.24 - 06:13
21,16,10,80,80,80,no-calib_on-chip_no-dyn-inh,-1,0.615,0.57,0.586,0.65,0.75,0.0,0.0,0.0,0.0,0.0,0.615,0.57,0.586,0.65,0.75,4.25,4.28,4.454,5.36,4.75,1.0,0.96,0.763,0.58,1.0,27.05.24 - 06:17
22,14,12,100,40,70,no-calib_on-chip_no-dyn-inh,-1,0.596,0.62,0.592,0.6,0.75,0.038,0.05,0.033,0.025,0.0,0.558,0.57,0.559,0.575,0.75,4.788,4.72,4.717,5.005,4.5,0.769,0.92,1.0,0.94,1.0,27.05.24 - 06:20
23,14,12,80,40,80,no-calib_on-chip_no-dyn-inh,-1,0.635,0.6,0.625,0.65,0.5,0.0,0.0,0.0,0.0,0.0,0.635,0.6,0.625,0.65,0.5,4.442,4.56,4.546,5.085,4.25,1.0,0.88,0.868,0.74,1.0,27.05.24 - 06:24
24,18,14,60,40,80,no-calib_on-chip_no-dyn-inh,-1,0.808,0.81,0.809,0.82,0.75,0.0,0.0,0.0,0.0,0.0,0.808,0.81,0.809,0.82,0.75,4.212,4.29,4.283,4.77,4.0,0.615,0.76,0.684,0.56,1.0,27.05.24 - 06:28
25,18,14,100,60,80,no-calib_on-chip_no-dyn-inh,-1,0.635,0.66,0.658,0.69,0.5,0.0,0.0,0.0,0.0,0.0,0.635,0.66,0.658,0.69,0.5,4.308,4.36,4.408,4.975,5.0,0.846,0.88,0.895,0.76,1.0,27.05.24 - 06:32
26,18,16,80,40,70,no-calib_on-chip_no-dyn-inh,-1,0.712,0.67,0.691,0.69,0.75,0.096,0.07,0.072,0.06,0.0,0.615,0.6,0.618,0.63,0.75,4.769,4.74,4.776,5.03,4.5,1.154,1.32,1.289,1.14,1.0,27.05.24 - 06:36
27,16,16,80,80,80,no-calib_on-chip_no-dyn-inh,-1,0.519,0.54,0.559,0.62,0.5,0.0,0.0,0.0,0.0,0.0,0.519,0.54,0.559,0.62,0.5,4.654,4.6,4.632,5.315,5.0,1.231,1.08,1.0,0.78,1.0,27.05.24 - 06:40
28,18,12,80,60,90,no-calib_on-chip_no-dyn-inh,-1,0.885,0.92,0.941,0.95,1.0,0.0,0.0,0.0,0.0,0.0,0.885,0.92,0.941,0.95,1.0,5.154,5.18,5.276,5.74,5.0,0.077,0.12,0.184,0.2,0.0,27.05.24 - 06:47
29,16,16,100,80,70,no-calib_on-chip_no-dyn-inh,-1,0.75,0.72,0.737,0.765,1.0,0.154,0.12,0.099,0.075,0.25,0.596,0.6,0.638,0.69,0.75,4.712,4.63,4.743,5.255,5.25,1.154,1.16,1.132,0.96,1.0,27.05.24 - 06:51
30,18,16,60,60,90,no-calib_on-chip_no-dyn-inh,-1,0.654,0.67,0.691,0.73,0.25,0.0,0.0,0.0,0.0,0.0,0.654,0.67,0.691,0.73,0.25,4.538,4.51,4.572,5.27,5.0,0.615,0.44,0.5,0.44,0.0,27.05.24 - 06:54
31,16,8,60,60,90,no-calib_on-chip_no-dyn-inh,-1,0.712,0.7,0.724,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.712,0.7,0.724,0.75,0.75,5.442,5.4,5.316,5.835,5.75,0.308,0.16,0.211,0.24,0.0,27.05.24 - 06:58
32,18,16,80,80,70,no-calib_on-chip_no-dyn-inh,-1,0.654,0.65,0.632,0.67,0.5,0.0,0.0,0.0,0.0,0.0,0.654,0.65,0.632,0.67,0.5,4.0,4.13,4.138,4.7,3.5,0.923,0.96,0.974,0.84,1.0,27.05.24 - 07:02
33,16,14,100,40,80,no-calib_on-chip_no-dyn-inh,-1,0.596,0.59,0.599,0.615,0.5,0.0,0.0,0.0,0.0,0.0,0.596,0.59,0.599,0.615,0.5,4.019,3.97,4.132,4.455,3.0,1.308,1.28,1.132,1.0,2.0,27.05.24 - 07:06
34,18,8,60,40,70,no-calib_on-chip_no-dyn-inh,-1,0.442,0.48,0.474,0.505,0.25,0.0,0.0,0.0,0.0,0.0,0.442,0.48,0.474,0.505,0.25,4.385,4.61,4.559,4.95,4.0,1.308,1.28,1.368,1.26,2.0,27.05.24 - 07:10
35,16,12,60,80,80,no-calib_on-chip_no-dyn-inh,-1,0.596,0.63,0.664,0.72,0.5,0.0,0.0,0.0,0.0,0.0,0.596,0.63,0.664,0.72,0.5,4.308,4.38,4.375,5.28,4.0,1.0,0.96,0.789,0.62,2.0,27.05.24 - 07:14
36,16,10,80,80,70,no-calib_on-chip_no-dyn-inh,-1,0.673,0.65,0.658,0.705,0.75,0.058,0.03,0.02,0.015,0.0,0.615,0.62,0.638,0.69,0.75,4.269,4.27,4.25,4.985,4.5,1.154,1.16,1.158,0.96,1.0,27.05.24 - 07:17
37,16,10,100,80,90,no-calib_on-chip_no-dyn-inh,-1,0.635,0.63,0.671,0.695,0.5,0.0,0.0,0.0,0.0,0.0,0.635,0.63,0.671,0.695,0.5,4.923,4.84,4.888,5.465,5.75,0.462,0.48,0.447,0.34,0.0,27.05.24 - 07:21
38,18,16,80,60,80,no-calib_on-chip_no-dyn-inh,-1,0.615,0.62,0.632,0.665,0.75,0.0,0.0,0.0,0.0,0.0,0.615,0.62,0.632,0.665,0.75,4.154,4.15,4.118,4.705,3.75,1.0,1.0,1.0,0.88,1.0,27.05.24 - 07:25
39,14,8,80,80,70,no-calib_on-chip_no-dyn-inh,-1,0.673,0.65,0.645,0.695,0.75,0.0,0.0,0.0,0.0,0.0,0.673,0.65,0.645,0.695,0.75,4.712,4.66,4.651,5.335,4.5,1.0,1.0,0.974,0.76,1.0,27.05.24 - 07:29
40,18,16,100,60,80,no-calib_on-chip_no-dyn-inh,-1,0.596,0.54,0.533,0.585,0.75,0.0,0.0,0.0,0.0,0.0,0.596,0.54,0.533,0.585,0.75,4.269,4.39,4.546,5.03,4.25,1.0,1.0,0.895,0.8,1.0,27.05.24 - 07:33
41,16,12,100,60,80,no-calib_on-chip_no-dyn-inh,-1,0.712,0.72,0.691,0.715,0.75,0.0,0.0,0.0,0.0,0.0,0.712,0.72,0.691,0.715,0.75,4.692,4.76,4.704,5.145,4.75,0.923,0.96,0.947,0.78,1.0,27.05.24 - 07:37
42,14,10,80,80,80,no-calib_on-chip_no-dyn-inh,-1,0.712,0.7,0.697,0.745,0.75,0.0,0.0,0.0,0.0,0.0,0.712,0.7,0.697,0.745,0.75,4.712,4.53,4.546,5.385,4.5,0.615,0.8,0.842,0.72,1.0,27.05.24 - 07:41
43,18,12,100,40,80,no-calib_on-chip_no-dyn-inh,-1,0.635,0.59,0.618,0.64,0.5,0.0,0.0,0.0,0.0,0.0,0.635,0.59,0.618,0.64,0.5,4.75,4.64,4.566,4.795,5.75,0.615,0.52,0.474,0.46,0.0,27.05.24 - 07:44
44,16,14,100,40,90,no-calib_on-chip_no-dyn-inh,-1,0.635,0.68,0.724,0.74,0.5,0.0,0.0,0.0,0.0,0.0,0.635,0.68,0.724,0.74,0.5,5.135,5.19,5.27,5.555,6.5,0.154,0.16,0.158,0.18,0.0,27.05.24 - 07:48
45,18,12,60,80,70,no-calib_on-chip_no-dyn-inh,-1,0.5,0.45,0.474,0.545,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.45,0.474,0.545,0.5,4.25,4.16,4.145,4.815,4.0,0.769,0.72,0.579,0.48,1.0,27.05.24 - 07:52
46,16,14,60,80,70,no-calib_on-chip_no-dyn-inh,-1,0.673,0.58,0.546,0.625,0.25,0.038,0.03,0.02,0.015,0.0,0.635,0.55,0.526,0.61,0.25,4.423,4.24,4.191,4.9,4.75,1.154,1.24,1.105,0.86,1.0,27.05.24 - 07:56
47,14,16,60,60,80,no-calib_on-chip_no-dyn-inh,-1,0.692,0.68,0.691,0.71,0.5,0.0,0.0,0.0,0.0,0.0,0.692,0.68,0.691,0.71,0.5,4.692,4.9,4.875,5.3,5.0,0.308,0.28,0.289,0.32,0.0,27.05.24 - 08:00
48,14,10,80,40,70,no-calib_on-chip_no-dyn-inh,-1,0.654,0.64,0.638,0.675,0.5,0.038,0.05,0.046,0.035,0.0,0.615,0.59,0.592,0.64,0.5,4.346,4.38,4.355,4.735,4.0,1.308,1.44,1.421,1.24,2.0,27.05.24 - 08:04
49,14,12,60,40,70,no-calib_on-chip_no-dyn-inh,-1,0.596,0.6,0.605,0.615,0.5,0.0,0.0,0.0,0.0,0.0,0.596,0.6,0.605,0.615,0.5,3.827,3.77,3.882,4.365,3.25,1.0,1.0,0.974,0.84,1.0,27.05.24 - 08:07
50,16,10,100,40,90,no-calib_on-chip_no-dyn-inh,-1,0.692,0.66,0.651,0.69,0.75,0.0,0.0,0.0,0.0,0.0,0.692,0.66,0.651,0.69,0.75,4.577,4.78,4.882,5.27,7.0,0.0,0.16,0.184,0.18,0.0,27.05.24 - 08:11
51,16,16,60,40,90,no-calib_on-chip_no-dyn-inh,-1,0.75,0.72,0.717,0.725,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.72,0.717,0.725,1.0,4.731,4.9,4.743,5.075,5.0,0.231,0.24,0.342,0.28,0.0,27.05.24 - 08:15
52,14,10,80,80,90,no-calib_on-chip_no-dyn-inh,-1,0.654,0.65,0.671,0.72,0.75,0.0,0.0,0.0,0.0,0.0,0.654,0.65,0.671,0.72,0.75,4.827,4.74,4.822,5.615,5.25,0.231,0.28,0.289,0.28,0.0,27.05.24 - 08:19
53,14,10,60,80,70,no-calib_on-chip_no-dyn-inh,-1,0.538,0.54,0.566,0.63,0.25,0.0,0.0,0.0,0.0,0.0,0.538,0.54,0.566,0.63,0.25,4.673,4.42,4.349,5.135,5.25,0.538,0.76,0.711,0.58,2.0,27.05.24 - 08:23
54,18,14,80,60,70,no-calib_on-chip_no-dyn-inh,-1,0.365,0.39,0.408,0.455,0.25,0.0,0.0,0.0,0.0,0.0,0.365,0.39,0.408,0.455,0.25,4.077,4.21,4.171,4.79,4.75,1.231,1.2,1.184,1.06,0.0,27.05.24 - 08:27
55,14,8,100,60,80,no-calib_on-chip_no-dyn-inh,-1,0.654,0.64,0.664,0.695,0.5,0.0,0.0,0.0,0.0,0.0,0.654,0.64,0.664,0.695,0.5,4.846,4.92,4.855,5.36,4.75,0.077,0.12,0.184,0.18,0.0,27.05.24 - 08:30
56,14,8,80,40,70,no-calib_on-chip_no-dyn-inh,-1,0.538,0.56,0.579,0.625,0.5,0.0,0.0,0.0,0.0,0.0,0.538,0.56,0.579,0.625,0.5,3.923,3.91,3.862,4.39,4.75,0.846,0.72,0.684,0.62,1.0,27.05.24 - 08:34
57,14,14,80,40,90,no-calib_on-chip_no-dyn-inh,-1,0.635,0.63,0.625,0.655,0.5,0.0,0.0,0.0,0.0,0.0,0.635,0.63,0.625,0.655,0.5,4.538,4.62,4.586,4.99,4.75,0.308,0.32,0.263,0.24,1.0,27.05.24 - 08:38
58,16,10,100,40,80,no-calib_on-chip_no-dyn-inh,-1,0.365,0.43,0.428,0.455,0.25,0.0,0.0,0.0,0.0,0.0,0.365,0.43,0.428,0.455,0.25,4.769,4.85,4.934,5.39,5.25,1.077,0.88,0.842,0.92,0.0,27.05.24 - 08:42
59,16,14,100,80,70,no-calib_on-chip_no-dyn-inh,-1,0.577,0.59,0.618,0.66,0.5,0.0,0.0,0.007,0.005,0.0,0.577,0.59,0.612,0.655,0.5,4.385,4.21,4.355,5.01,3.5,1.308,1.16,1.026,0.88,2.0,27.05.24 - 08:46
60,18,8,60,60,70,no-calib_on-chip_no-dyn-inh,-1,0.596,0.58,0.579,0.645,0.5,0.0,0.0,0.0,0.0,0.0,0.596,0.58,0.579,0.645,0.5,4.077,4.04,4.118,4.76,3.5,1.0,0.96,0.895,0.7,1.0,27.05.24 - 08:50
61,18,10,80,80,90,no-calib_on-chip_no-dyn-inh,-1,0.673,0.64,0.632,0.66,0.5,0.0,0.0,0.0,0.0,0.0,0.673,0.64,0.632,0.66,0.5,4.808,4.85,4.862,5.43,4.0,0.231,0.24,0.316,0.3,1.0,27.05.24 - 08:54
62,16,16,80,80,70,no-calib_on-chip_no-dyn-inh,-1,0.538,0.53,0.507,0.565,0.75,0.058,0.05,0.033,0.025,0.0,0.481,0.48,0.474,0.54,0.75,4.846,4.55,4.539,5.18,4.25,1.231,1.28,1.026,0.82,2.0,27.05.24 - 08:58
63,18,16,100,40,80,no-calib_on-chip_no-dyn-inh,-1,0.462,0.45,0.434,0.48,0.5,0.0,0.0,0.0,0.0,0.0,0.462,0.45,0.434,0.48,0.5,4.692,4.52,4.539,4.895,4.75,0.769,0.8,0.789,0.74,1.0,27.05.24 - 09:01
64,18,12,80,40,80,no-calib_on-chip_no-dyn-inh,-1,0.5,0.54,0.559,0.605,0.75,0.0,0.0,0.0,0.0,0.0,0.5,0.54,0.559,0.605,0.75,4.135,4.16,4.125,4.545,4.5,1.077,1.0,1.0,0.88,1.0,27.05.24 - 09:05
65,16,16,80,60,70,no-calib_on-chip_no-dyn-inh,-1,0.577,0.54,0.559,0.575,0.75,0.115,0.07,0.053,0.04,0.0,0.462,0.47,0.507,0.535,0.75,4.904,4.75,4.776,5.165,5.25,1.231,1.2,1.184,1.1,1.0,27.05.24 - 09:09
66,14,8,80,40,80,no-calib_on-chip_no-dyn-inh,-1,0.538,0.52,0.493,0.555,0.75,0.0,0.0,0.0,0.0,0.0,0.538,0.52,0.493,0.555,0.75,4.269,4.33,4.296,4.95,5.5,1.154,1.16,1.132,0.96,1.0,27.05.24 - 09:13
67,18,10,100,80,80,no-calib_on-chip_no-dyn-inh,-1,0.538,0.6,0.638,0.67,0.75,0.0,0.0,0.0,0.0,0.0,0.538,0.6,0.638,0.67,0.75,5.462,5.34,5.303,5.81,5.75,0.923,0.92,0.921,0.76,1.0,27.05.24 - 09:17
68,14,14,60,40,90,no-calib_on-chip_no-dyn-inh,-1,0.673,0.66,0.671,0.7,0.75,0.0,0.0,0.0,0.0,0.0,0.673,0.66,0.671,0.7,0.75,5.327,5.28,5.257,5.655,4.25,0.385,0.32,0.289,0.26,1.0,27.05.24 - 09:21
69,14,16,80,60,80,no-calib_on-chip_no-dyn-inh,-1,0.615,0.58,0.605,0.635,0.75,0.0,0.0,0.0,0.0,0.0,0.615,0.58,0.605,0.635,0.75,4.596,4.52,4.586,5.085,4.25,0.923,0.92,0.868,0.76,1.0,27.05.24 - 09:25
70,14,14,80,60,90,no-calib_on-chip_no-dyn-inh,-1,0.731,0.71,0.737,0.76,0.5,0.0,0.0,0.0,0.0,0.0,0.731,0.71,0.737,0.76,0.5,4.808,4.87,4.862,5.335,5.5,0.231,0.2,0.211,0.18,1.0,27.05.24 - 09:28
71,14,10,100,80,90,no-calib_on-chip_no-dyn-inh,-1,0.712,0.65,0.592,0.66,0.75,0.0,0.0,0.0,0.0,0.0,0.712,0.65,0.592,0.66,0.75,5.058,4.81,4.75,5.53,5.5,0.154,0.44,0.526,0.42,0.0,27.05.24 - 09:32
72,14,10,60,40,90,no-calib_on-chip_no-dyn-inh,-1,0.75,0.76,0.737,0.745,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.76,0.737,0.745,0.75,4.923,4.89,4.974,5.455,4.75,0.846,0.8,0.816,0.64,1.0,27.05.24 - 09:36
73,18,8,60,60,90,no-calib_on-chip_no-dyn-inh,-1,0.788,0.78,0.789,0.83,0.75,0.0,0.0,0.0,0.0,0.0,0.788,0.78,0.789,0.83,0.75,4.885,4.93,5.039,5.64,6.5,0.077,0.08,0.105,0.08,0.0,27.05.24 - 09:40
74,16,12,80,40,70,no-calib_on-chip_no-dyn-inh,49,0.231,0.24,0.25,0.3,0.0,0.0,0.01,0.007,0.005,0.0,0.231,0.23,0.243,0.295,0.0,4.596,4.84,5.007,5.515,6.0,2.385,2.16,2.026,1.68,4.0,27.05.24 - 09:44
75,16,8,100,80,80,no-calib_on-chip_no-dyn-inh,-1,0.654,0.63,0.612,0.665,1.0,0.0,0.0,0.0,0.0,0.0,0.654,0.63,0.612,0.665,1.0,5.0,4.96,4.921,5.535,6.25,0.615,0.6,0.5,0.38,0.0,27.05.24 - 09:48
76,14,8,100,60,70,no-calib_on-chip_no-dyn-inh,-1,0.442,0.48,0.454,0.515,0.5,0.0,0.0,0.0,0.0,0.0,0.442,0.48,0.454,0.515,0.5,4.442,4.44,4.474,5.13,4.0,1.0,1.0,1.026,0.9,1.0,27.05.24 - 09:52
77,18,8,60,40,90,no-calib_on-chip_no-dyn-inh,-1,0.577,0.62,0.645,0.68,0.5,0.0,0.0,0.0,0.0,0.0,0.577,0.62,0.645,0.68,0.5,4.962,5.11,5.046,5.35,4.75,0.0,0.0,0.0,0.02,0.0,27.05.24 - 09:56
78,14,16,100,40,70,no-calib_on-chip_no-dyn-inh,-1,0.5,0.41,0.401,0.44,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.41,0.401,0.44,0.5,4.885,4.64,4.836,5.105,5.25,0.846,1.08,1.053,0.98,1.0,27.05.24 - 09:59
79,18,8,60,40,80,no-calib_on-chip_no-dyn-inh,-1,0.423,0.46,0.487,0.535,0.5,0.0,0.0,0.0,0.0,0.0,0.423,0.46,0.487,0.535,0.5,4.981,4.85,4.862,5.215,5.25,0.769,0.72,0.684,0.54,1.0,27.05.24 - 10:03
80,16,12,60,60,80,no-calib_on-chip_no-dyn-inh,-1,0.692,0.71,0.711,0.735,0.75,0.0,0.0,0.0,0.0,0.0,0.692,0.71,0.711,0.735,0.75,4.923,4.97,4.882,5.46,5.25,0.154,0.12,0.132,0.12,0.0,27.05.24 - 10:07
81,16,14,80,80,90,no-calib_on-chip_no-dyn-inh,-1,0.615,0.64,0.671,0.72,0.75,0.0,0.0,0.0,0.0,0.0,0.615,0.64,0.671,0.72,0.75,5.365,5.21,5.158,5.77,5.75,0.231,0.28,0.289,0.24,0.0,27.05.24 - 10:12
82,16,16,80,40,70,no-calib_on-chip_no-dyn-inh,-1,0.346,0.41,0.408,0.44,0.75,0.019,0.04,0.033,0.035,0.0,0.327,0.37,0.375,0.405,0.75,4.346,4.37,4.48,4.875,4.0,1.308,1.08,1.105,1.02,0.0,27.05.24 - 10:16
83,16,12,60,80,70,no-calib_on-chip_no-dyn-inh,-1,0.404,0.45,0.414,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.404,0.45,0.414,0.5,0.5,4.596,4.56,4.559,5.31,5.25,1.0,1.04,1.026,0.84,1.0,27.05.24 - 10:20
84,16,16,60,60,70,no-calib_on-chip_no-dyn-inh,-1,0.519,0.58,0.559,0.605,0.25,0.0,0.0,0.007,0.005,0.0,0.519,0.58,0.553,0.6,0.25,4.692,4.75,4.743,5.26,4.5,1.077,0.88,0.895,0.78,2.0,27.05.24 - 10:25
85,14,12,80,60,90,no-calib_on-chip_no-dyn-inh,-1,0.827,0.81,0.816,0.795,1.0,0.0,0.0,0.0,0.0,0.0,0.827,0.81,0.816,0.795,1.0,5.538,5.44,5.375,5.805,6.5,0.0,0.12,0.079,0.12,0.0,27.05.24 - 10:29
86,18,10,80,40,70,no-calib_on-chip_no-dyn-inh,-1,0.346,0.36,0.375,0.42,0.5,0.0,0.0,0.0,0.0,0.0,0.346,0.36,0.375,0.42,0.5,4.154,4.35,4.434,4.855,4.25,2.0,1.84,1.763,1.7,1.0,27.05.24 - 10:33
87,18,10,100,60,70,no-calib_on-chip_no-dyn-inh,-1,0.558,0.59,0.586,0.63,0.5,0.0,0.0,0.0,0.0,0.0,0.558,0.59,0.586,0.63,0.5,3.942,3.75,3.875,4.36,5.0,0.923,0.8,0.842,0.7,1.0,27.05.24 - 10:36
88,18,14,80,60,90,no-calib_on-chip_no-dyn-inh,-1,0.673,0.72,0.711,0.725,0.75,0.0,0.0,0.0,0.0,0.0,0.673,0.72,0.711,0.725,0.75,4.615,4.64,4.625,5.075,4.5,0.154,0.12,0.211,0.18,0.0,27.05.24 - 10:40
89,14,12,100,80,80,no-calib_on-chip_no-dyn-inh,-1,0.75,0.75,0.75,0.775,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.775,0.75,4.212,4.09,4.217,4.845,4.0,0.846,0.92,0.868,0.74,1.0,27.05.24 - 10:44
