instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,-1,0.333,0.333,0.33,0.364,0.333,0.333,0.333,0.33,0.25,0.333,0.0,0.0,0.0,0.114,0.0,4.833,4.833,4.819,6.161,4.833,22.05.24 - 12:44
1,-1,0.333,0.333,0.333,0.381,0.333,0.333,0.333,0.333,0.275,0.333,0.0,0.0,0.0,0.114,0.0,5.0,5.0,5.0,6.192,5.0,22.05.24 - 12:44
2,-1,0.167,0.167,0.167,0.256,0.167,0.167,0.167,0.167,0.139,0.167,0.0,0.0,0.0,0.125,0.0,3.833,3.833,3.967,5.411,3.833,22.05.24 - 12:44
3,-1,0.167,0.106,0.07,0.162,0.167,0.167,0.106,0.07,0.058,0.167,0.0,0.0,0.0,0.106,0.0,4.667,4.583,4.544,6.069,4.667,22.05.24 - 12:45
4,-1,0.333,0.333,0.3,0.344,0.333,0.333,0.333,0.3,0.244,0.333,0.0,0.0,0.0,0.1,0.0,4.0,4.0,4.0,5.156,4.0,22.05.24 - 12:45
5,-1,0.333,0.333,0.333,0.375,0.333,0.333,0.333,0.333,0.272,0.333,0.0,0.0,0.0,0.103,0.0,5.667,5.617,5.578,6.633,5.667,22.05.24 - 12:45
6,-1,0.167,0.167,0.167,0.262,0.167,0.167,0.167,0.167,0.142,0.167,0.0,0.0,0.0,0.125,0.0,3.833,3.833,4.119,5.631,3.833,22.05.24 - 12:45
7,-1,0.333,0.333,0.333,0.383,0.333,0.333,0.333,0.333,0.283,0.333,0.0,0.0,0.0,0.1,0.0,4.333,4.333,4.419,5.772,4.333,22.05.24 - 12:45
8,-1,0.333,0.333,0.327,0.371,0.333,0.333,0.333,0.322,0.256,0.333,0.0,0.0,0.011,0.122,0.0,4.0,4.0,4.267,5.903,4.0,22.05.24 - 12:45
9,-1,0.333,0.322,0.27,0.314,0.333,0.333,0.322,0.27,0.217,0.333,0.0,0.0,0.0,0.097,0.0,4.0,4.0,4.0,5.289,4.0,22.05.24 - 12:45
