instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,-1,0.227,0.277,0.351,0.48,0.167,0.0,0.0,0.0,0.0,0.0,0.227,0.277,0.351,0.48,0.167,7.167,7.527,8.573,9.88,7.167,29.04.24 - 07:33
1,-1,0.187,0.283,0.369,0.493,0.167,0.0,0.0,0.0,0.0,0.0,0.187,0.283,0.369,0.493,0.167,7.333,8.06,9.162,10.288,7.333,29.04.24 - 07:33
2,82,0.047,0.107,0.187,0.357,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.107,0.187,0.357,0.0,4.527,5.167,6.131,8.082,3.167,29.04.24 - 07:33
3,-1,0.18,0.26,0.344,0.475,0.167,0.0,0.0,0.0,0.0,0.0,0.18,0.26,0.344,0.475,0.167,7.213,7.997,9.193,10.495,5.833,29.04.24 - 07:33
4,-1,0.275,0.295,0.333,0.466,0.333,0.107,0.08,0.053,0.04,0.333,0.2,0.247,0.3,0.442,0.0,7.487,8.207,8.789,10.042,7.167,29.04.24 - 07:33
5,88,0.127,0.18,0.269,0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.127,0.18,0.269,0.418,0.0,7.1,7.45,8.111,9.5,5.5,29.04.24 - 07:33
6,84,0.113,0.233,0.358,0.485,0.0,0.0,0.0,0.0,0.0,0.0,0.113,0.233,0.358,0.485,0.0,7.053,8.563,9.618,10.563,6.167,29.04.24 - 07:33
7,-1,0.313,0.327,0.382,0.503,0.333,0.0,0.0,0.0,0.0,0.0,0.313,0.327,0.382,0.503,0.333,8.82,9.01,9.811,10.708,8.0,29.04.24 - 07:33
8,77,0.013,0.09,0.173,0.347,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.09,0.173,0.347,0.0,5.907,7.067,7.896,9.372,5.667,29.04.24 - 07:33
9,85,0.067,0.18,0.342,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.18,0.342,0.473,0.0,5.093,6.773,8.293,9.603,3.333,29.04.24 - 07:34
