instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,-1,0.167,0.167,0.196,0.327,0.167,0.167,0.167,0.138,0.103,0.167,0.0,0.0,0.058,0.223,0.0,4.0,4.553,5.647,7.255,4.0,29.04.24 - 10:00
1,-1,0.167,0.167,0.176,0.312,0.167,0.167,0.163,0.109,0.082,0.167,0.0,0.003,0.067,0.23,0.0,5.5,6.05,6.771,8.278,5.5,29.04.24 - 10:00
2,36,0.0,0.0,0.049,0.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.217,0.0,5.0,5.0,5.693,7.48,5.0,29.04.24 - 10:00
3,53,0.0,0.01,0.116,0.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.116,0.287,0.0,3.333,3.453,5.12,7.01,3.333,29.04.24 - 10:00
4,49,0.0,0.0,0.078,0.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.238,0.0,3.333,3.333,4.507,6.49,3.333,29.04.24 - 10:00
5,-1,0.333,0.333,0.333,0.43,0.333,0.333,0.327,0.218,0.163,0.333,0.0,0.007,0.116,0.267,0.0,3.667,3.743,4.996,6.747,3.667,29.04.24 - 10:00
6,-1,0.167,0.168,0.208,0.346,0.167,0.167,0.167,0.138,0.103,0.167,0.0,0.003,0.087,0.255,0.0,3.46,4.79,5.927,7.655,3.167,29.04.24 - 10:00
7,-1,0.167,0.117,0.131,0.278,0.167,0.167,0.117,0.078,0.058,0.167,0.0,0.0,0.053,0.22,0.0,4.313,4.19,5.007,6.825,4.333,29.04.24 - 10:00
8,-1,0.087,0.043,0.08,0.24,0.167,0.087,0.043,0.029,0.022,0.167,0.0,0.0,0.051,0.218,0.0,4.5,4.5,5.562,7.352,4.5,29.04.24 - 10:00
9,-1,0.22,0.157,0.178,0.313,0.333,0.22,0.15,0.1,0.075,0.333,0.0,0.007,0.078,0.238,0.0,5.373,5.853,6.489,8.117,4.333,29.04.24 - 10:00
