instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,-1,0.333,0.333,0.333,0.42,0.333,0.333,0.333,0.293,0.22,0.333,0.0,0.0,0.04,0.2,0.0,4.333,4.373,5.227,6.817,4.333,29.04.24 - 09:40
1,-1,0.333,0.333,0.322,0.412,0.333,0.333,0.333,0.293,0.22,0.333,0.0,0.0,0.029,0.192,0.0,5.167,5.167,5.547,7.137,5.167,29.04.24 - 09:40
2,-1,0.167,0.167,0.175,0.311,0.167,0.167,0.167,0.136,0.103,0.167,0.0,0.0,0.049,0.215,0.0,4.333,4.333,5.196,7.087,4.333,29.04.24 - 09:40
3,-1,0.167,0.167,0.18,0.305,0.167,0.167,0.167,0.147,0.11,0.167,0.0,0.0,0.036,0.197,0.0,4.167,4.167,5.027,6.878,4.167,29.04.24 - 09:40
4,59,0.0,0.03,0.102,0.259,0.0,0.0,0.03,0.076,0.058,0.0,0.0,0.0,0.038,0.21,0.0,4.0,4.0,4.738,6.563,4.0,29.04.24 - 09:40
5,-1,0.333,0.333,0.333,0.42,0.333,0.333,0.333,0.333,0.25,0.333,0.0,0.0,0.0,0.17,0.0,5.333,5.333,5.52,7.215,5.333,29.04.24 - 09:40
6,-1,0.333,0.333,0.324,0.413,0.333,0.333,0.333,0.318,0.238,0.333,0.0,0.0,0.016,0.182,0.0,5.333,5.333,5.522,7.137,5.333,29.04.24 - 09:40
7,-1,0.333,0.333,0.333,0.42,0.333,0.333,0.333,0.333,0.25,0.333,0.0,0.0,0.0,0.17,0.0,4.167,4.167,4.167,6.075,4.167,29.04.24 - 09:40
8,-1,0.167,0.167,0.173,0.308,0.167,0.167,0.167,0.167,0.125,0.167,0.0,0.0,0.007,0.183,0.0,4.333,4.333,4.969,6.823,4.333,29.04.24 - 09:40
9,-1,0.333,0.323,0.258,0.36,0.333,0.333,0.323,0.258,0.193,0.333,0.0,0.0,0.0,0.167,0.0,4.667,4.667,5.0,6.74,4.667,29.04.24 - 09:40
