instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,15,0.0,0.0,0.0,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144,0.0,3.667,3.667,3.789,5.656,3.667,22.05.24 - 14:18
1,15,0.0,0.0,0.0,0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147,0.0,3.833,3.833,3.833,5.567,3.833,22.05.24 - 14:18
2,-1,0.167,0.167,0.184,0.291,0.167,0.167,0.167,0.174,0.139,0.167,0.0,0.0,0.019,0.164,0.0,4.0,4.0,4.807,6.486,4.0,22.05.24 - 14:18
3,19,0.0,0.0,0.015,0.163,0.0,0.0,0.0,0.015,0.028,0.0,0.0,0.0,0.0,0.139,0.0,3.5,3.5,3.856,5.856,3.5,22.05.24 - 14:18
4,46,0.011,0.089,0.156,0.266,0.0,0.011,0.089,0.119,0.111,0.0,0.0,0.0,0.037,0.161,0.0,3.833,3.833,4.448,6.158,3.833,22.05.24 - 14:18
5,12,0.0,0.0,0.0,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136,0.0,3.833,3.833,3.833,5.628,3.833,22.05.24 - 14:18
6,-1,0.167,0.167,0.207,0.321,0.167,0.167,0.167,0.189,0.167,0.167,0.0,0.0,0.019,0.161,0.0,3.5,3.5,4.211,6.142,3.5,22.05.24 - 14:18
7,23,0.0,0.0,0.03,0.184,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.03,0.172,0.0,3.333,3.333,3.985,5.836,3.333,22.05.24 - 14:18
8,-1,0.167,0.167,0.239,0.349,0.167,0.167,0.167,0.207,0.167,0.167,0.0,0.0,0.033,0.189,0.0,4.167,4.433,5.074,6.822,4.167,22.05.24 - 14:19
9,16,0.0,0.0,0.004,0.142,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.004,0.133,0.0,3.667,3.667,4.081,5.869,3.667,22.05.24 - 14:19
