instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,-1,0.333,0.333,0.304,0.381,0.333,0.333,0.333,0.3,0.225,0.333,0.0,0.0,0.004,0.156,0.0,4.833,4.833,5.07,6.703,4.833,22.05.24 - 19:04
1,-1,0.333,0.333,0.329,0.394,0.333,0.333,0.333,0.326,0.258,0.333,0.0,0.0,0.007,0.147,0.0,5.0,5.0,5.081,6.542,5.0,22.05.24 - 19:04
2,-1,0.167,0.167,0.174,0.285,0.167,0.167,0.167,0.167,0.128,0.167,0.0,0.0,0.019,0.167,0.0,4.0,4.0,4.4,6.083,4.0,22.05.24 - 19:05
3,-1,0.167,0.167,0.148,0.262,0.167,0.167,0.167,0.148,0.125,0.167,0.0,0.0,0.0,0.142,0.0,4.333,4.333,4.556,6.417,4.333,22.05.24 - 19:05
4,-1,0.333,0.333,0.326,0.386,0.333,0.333,0.333,0.326,0.258,0.333,0.0,0.0,0.0,0.128,0.0,4.0,4.0,4.0,5.533,4.0,22.05.24 - 19:05
5,-1,0.333,0.333,0.333,0.392,0.333,0.333,0.333,0.333,0.256,0.333,0.0,0.0,0.0,0.136,0.0,5.667,5.667,5.659,7.089,5.667,22.05.24 - 19:05
6,-1,0.333,0.283,0.244,0.344,0.333,0.333,0.283,0.241,0.186,0.333,0.0,0.0,0.004,0.161,0.0,3.667,3.667,3.859,5.733,3.667,22.05.24 - 19:05
7,-1,0.333,0.333,0.333,0.403,0.333,0.333,0.333,0.333,0.275,0.333,0.0,0.0,0.0,0.128,0.0,4.333,4.333,4.733,6.331,4.333,22.05.24 - 19:05
8,-1,0.333,0.333,0.333,0.404,0.333,0.333,0.333,0.333,0.253,0.333,0.0,0.0,0.0,0.153,0.0,4.5,4.5,4.804,6.553,4.5,22.05.24 - 19:05
9,-1,0.333,0.333,0.326,0.375,0.333,0.333,0.333,0.326,0.247,0.333,0.0,0.0,0.0,0.128,0.0,4.0,4.0,4.0,5.75,4.0,22.05.24 - 19:05
