instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,75,0.0,0.147,0.324,0.483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147,0.324,0.483,0.0,3.907,5.747,7.727,9.545,3.833,19.04.24 - 06:39
1,77,0.013,0.103,0.24,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.103,0.24,0.42,0.0,5.167,5.327,6.956,8.967,5.167,19.04.24 - 06:39
2,87,0.08,0.17,0.302,0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.17,0.302,0.467,0.0,5.427,6.527,8.156,9.777,3.667,19.04.24 - 06:39
3,87,0.08,0.153,0.276,0.447,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.153,0.276,0.447,0.0,5.167,5.82,7.758,9.478,5.167,19.04.24 - 06:39
4,-1,0.167,0.23,0.322,0.482,0.167,0.0,0.0,0.0,0.0,0.0,0.167,0.23,0.322,0.482,0.167,5.5,6.197,7.671,9.443,5.5,19.04.24 - 06:39
5,59,0.0,0.053,0.229,0.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.229,0.412,0.0,4.227,5.707,7.529,9.287,3.667,19.04.24 - 06:39
6,-1,0.273,0.337,0.429,0.562,0.167,0.0,0.0,0.0,0.0,0.0,0.273,0.337,0.429,0.562,0.167,6.6,7.28,8.333,9.89,5.0,19.04.24 - 06:39
7,93,0.12,0.21,0.344,0.498,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.21,0.344,0.498,0.0,6.94,7.353,8.4,9.93,5.5,19.04.24 - 06:39
8,-1,0.173,0.247,0.373,0.52,0.167,0.0,0.0,0.0,0.0,0.0,0.173,0.247,0.373,0.52,0.167,7.267,7.653,8.687,10.175,7.0,19.04.24 - 06:39
9,87,0.107,0.296,0.413,0.549,0.0,0.0,0.013,0.009,0.007,0.0,0.107,0.29,0.409,0.547,0.0,5.293,7.84,9.14,10.485,4.0,19.04.24 - 06:39
