instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,-1,0.333,0.333,0.333,0.381,0.333,0.333,0.333,0.333,0.278,0.333,0.0,0.0,0.0,0.11,0.0,4.167,4.167,4.167,5.483,4.167,29.04.24 - 13:32
1,-1,0.333,0.333,0.333,0.392,0.333,0.333,0.333,0.333,0.285,0.333,0.0,0.0,0.0,0.11,0.0,3.667,3.667,3.667,5.01,3.667,29.04.24 - 13:32
2,-1,0.333,0.333,0.333,0.391,0.333,0.333,0.333,0.333,0.287,0.333,0.0,0.0,0.0,0.108,0.0,4.5,4.5,4.493,5.707,4.5,29.04.24 - 13:32
3,-1,0.333,0.33,0.276,0.346,0.333,0.333,0.33,0.276,0.222,0.333,0.0,0.0,0.0,0.128,0.0,4.333,4.333,4.333,5.837,4.333,29.04.24 - 13:32
4,-1,0.333,0.333,0.333,0.381,0.333,0.333,0.333,0.333,0.278,0.333,0.0,0.0,0.0,0.11,0.0,5.667,5.667,5.667,6.812,5.667,29.04.24 - 13:32
5,49,0.0,0.0,0.055,0.186,0.0,0.0,0.0,0.053,0.055,0.0,0.0,0.0,0.004,0.142,0.0,3.5,3.5,3.58,5.353,3.5,29.04.24 - 13:32
6,-1,0.167,0.167,0.182,0.283,0.167,0.167,0.167,0.182,0.18,0.167,0.0,0.0,0.0,0.112,0.0,4.5,4.5,4.6,5.893,4.5,29.04.24 - 13:32
7,-1,0.333,0.333,0.333,0.393,0.333,0.333,0.333,0.333,0.293,0.333,0.0,0.0,0.0,0.103,0.0,5.333,5.333,5.333,6.397,5.333,29.04.24 - 13:32
8,-1,0.333,0.333,0.333,0.389,0.333,0.333,0.333,0.333,0.282,0.333,0.0,0.0,0.0,0.112,0.0,4.0,4.0,4.0,5.592,4.0,29.04.24 - 13:32
9,-1,0.167,0.167,0.167,0.256,0.167,0.167,0.167,0.167,0.145,0.167,0.0,0.0,0.0,0.118,0.0,4.667,4.667,4.667,6.218,4.667,29.04.24 - 13:32
