instance_id,plasticity.lambda_plus,plasticity.lambda_h,plasticity.target_rate_h,plasticity.permanence_threshold,plasticity.correlation_threshold,synapses.p_exc_exc,experiment.id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,duplicate_dendrites_running-avg-0.25,duplicate_dendrites_running-avg-0.5,duplicate_dendrites_running-avg-0.75,duplicate_dendrites_running-avg-1.0,duplicate_dendrites_last,time_finished
275,18,12,100,60,90,0.3,no-calib_on-chip,-1,0.404,0.38,0.349,0.36,0.5,0.0,0.0,0.0,0.0,0.0,0.404,0.38,0.349,0.36,0.5,5.385,5.14,5.349,6.18,5.0,0.923,1.08,1.237,1.3,1.0,26.05.24 - 07:55
276,14,8,100,80,70,0.3,no-calib_on-chip,-1,0.269,0.25,0.23,0.32,0.5,0.0,0.0,0.0,0.0,0.0,0.269,0.25,0.23,0.32,0.5,4.25,4.38,4.638,6.135,3.0,1.923,1.88,1.842,1.72,0.0,26.05.24 - 07:59
277,14,12,60,80,80,0.3,no-calib_on-chip,-1,0.442,0.42,0.434,0.51,0.5,0.135,0.12,0.118,0.105,0.25,0.308,0.3,0.316,0.405,0.25,4.481,4.63,5.072,6.725,4.25,0.077,0.16,0.158,0.12,1.0,26.05.24 - 08:03
278,18,10,80,80,90,0.3,no-calib_on-chip,-1,0.404,0.39,0.336,0.37,0.5,0.0,0.0,0.0,0.0,0.0,0.404,0.39,0.336,0.37,0.5,7.058,6.37,6.428,7.25,5.75,0.538,0.6,0.789,1.02,0.0,26.05.24 - 08:07
279,18,12,80,80,90,0.35,no-calib_on-chip,49,0.25,0.26,0.257,0.315,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.26,0.257,0.315,0.0,5.269,5.61,5.664,6.5,3.0,2.077,2.04,2.0,1.8,3.0,26.05.24 - 08:10
280,16,12,80,80,70,0.3,no-calib_on-chip,-1,0.25,0.25,0.257,0.31,0.5,0.0,0.0,0.0,0.01,0.0,0.25,0.25,0.257,0.3,0.5,4.154,4.41,4.217,5.62,4.0,1.846,1.76,1.895,1.96,3.0,26.05.24 - 08:14
281,18,8,60,80,80,0.35,no-calib_on-chip,-1,0.25,0.21,0.204,0.285,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.21,0.204,0.285,0.5,4.404,4.24,4.27,5.635,3.0,1.231,1.4,1.579,1.52,0.0,26.05.24 - 08:18
282,16,12,60,60,90,0.44999999999999996,no-calib_on-chip,-1,0.135,0.19,0.138,0.195,0.25,0.0,0.0,0.0,0.0,0.0,0.135,0.19,0.138,0.195,0.25,3.942,4.18,4.375,5.73,3.25,2.692,2.44,3.184,3.4,2.0,26.05.24 - 08:22
283,18,8,100,60,80,0.3,no-calib_on-chip,-1,0.25,0.25,0.23,0.255,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.23,0.255,0.25,4.5,4.35,4.421,5.47,3.75,2.462,2.32,2.553,2.64,2.0,26.05.24 - 08:26
284,14,10,100,60,90,0.3,no-calib_on-chip,-1,0.365,0.38,0.375,0.395,0.25,0.0,0.0,0.0,0.0,0.0,0.365,0.38,0.375,0.395,0.25,5.769,6.49,6.572,7.245,10.0,1.385,1.36,1.316,1.3,2.0,26.05.24 - 08:30
285,14,12,60,80,80,0.44999999999999996,no-calib_on-chip,48,0.135,0.14,0.145,0.255,0.0,0.135,0.09,0.092,0.07,0.0,0.0,0.05,0.053,0.185,0.0,4.654,4.48,4.434,6.19,5.0,5.077,4.16,4.132,3.6,6.0,26.05.24 - 08:34
285,14,12,60,80,80,0.44999999999999996,no-calib_on-chip,-1,0.077,0.06,0.066,0.2,0.25,0.0,0.0,0.0,0.015,0.0,0.077,0.06,0.066,0.185,0.25,4.635,4.92,5.039,6.595,3.5,5.462,5.72,5.974,5.2,3.0,26.05.24 - 11:41
286,18,16,80,60,70,0.39999999999999997,no-calib_on-chip,25,0.0,0.0,0.02,0.075,0.0,0.0,0.0,0.02,0.015,0.0,0.0,0.0,0.0,0.06,0.0,4.942,4.89,4.822,5.69,6.0,5.846,5.92,6.132,6.08,6.0,26.05.24 - 11:45
287,16,12,80,60,80,0.3,no-calib_on-chip,-1,0.288,0.23,0.211,0.275,0.25,0.0,0.0,0.0,0.0,0.0,0.288,0.23,0.211,0.275,0.25,3.827,3.66,3.757,4.965,2.5,1.154,1.44,1.316,1.34,2.0,26.05.24 - 11:49
288,18,8,60,40,70,0.44999999999999996,no-calib_on-chip,-1,0.25,0.24,0.243,0.29,0.25,0.25,0.24,0.243,0.23,0.25,0.0,0.0,0.0,0.06,0.0,6.308,6.19,6.428,7.185,6.0,11.615,11.32,12.368,12.4,10.0,26.05.24 - 11:53
289,16,14,60,80,80,0.35,no-calib_on-chip,49,0.154,0.16,0.138,0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.16,0.138,0.235,0.0,3.846,4.15,4.382,5.735,4.25,2.308,2.28,2.526,2.36,4.0,26.05.24 - 11:57
290,18,8,80,60,80,0.35,no-calib_on-chip,-1,0.115,0.11,0.079,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0.115,0.11,0.079,0.15,0.5,4.154,4.11,4.217,5.36,2.75,2.462,2.52,3.184,3.48,1.0,26.05.24 - 12:01
291,14,8,80,40,80,0.44999999999999996,no-calib_on-chip,37,0.0,0.05,0.053,0.13,0.0,0.0,0.04,0.039,0.06,0.0,0.0,0.01,0.013,0.07,0.0,4.269,4.51,4.711,5.865,3.75,4.462,5.04,5.421,6.0,4.0,26.05.24 - 12:05
292,18,14,80,80,80,0.39999999999999997,no-calib_on-chip,49,0.154,0.12,0.092,0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.12,0.092,0.165,0.0,4.712,4.7,4.697,5.875,4.75,3.077,3.48,3.789,3.88,5.0,26.05.24 - 12:08
293,14,16,100,60,90,0.39999999999999997,no-calib_on-chip,-1,0.269,0.26,0.243,0.26,0.25,0.0,0.0,0.0,0.0,0.0,0.269,0.26,0.243,0.26,0.25,3.558,4.55,4.934,5.795,5.0,1.923,2.12,2.342,2.6,1.0,26.05.24 - 12:12
294,16,8,60,60,70,0.3,no-calib_on-chip,-1,0.269,0.24,0.23,0.315,0.25,0.0,0.0,0.0,0.005,0.0,0.269,0.24,0.23,0.31,0.25,4.365,4.64,4.467,5.61,3.0,1.615,1.72,1.974,1.86,0.0,26.05.24 - 12:16
295,14,14,100,80,70,0.3,no-calib_on-chip,49,0.192,0.16,0.158,0.23,0.0,0.0,0.0,0.007,0.005,0.0,0.192,0.16,0.151,0.225,0.0,4.712,4.69,4.52,5.84,4.25,2.538,3.04,3.289,2.98,5.0,26.05.24 - 12:20
296,16,14,60,80,90,0.3,no-calib_on-chip,-1,0.385,0.43,0.441,0.52,0.5,0.0,0.0,0.0,0.0,0.0,0.385,0.43,0.441,0.52,0.5,5.462,5.54,6.013,7.1,4.25,0.0,0.04,0.026,0.02,0.0,26.05.24 - 12:24
297,16,12,60,60,70,0.39999999999999997,no-calib_on-chip,49,0.077,0.04,0.026,0.115,0.0,0.038,0.02,0.013,0.015,0.0,0.038,0.02,0.013,0.1,0.0,3.923,4.11,4.296,5.675,4.25,5.0,5.64,5.816,5.92,7.0,26.05.24 - 12:28
298,18,10,80,80,70,0.35,no-calib_on-chip,49,0.154,0.15,0.118,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.15,0.118,0.195,0.0,4.481,4.16,4.164,5.44,7.25,2.308,2.48,2.763,2.84,4.0,26.05.24 - 12:31
299,18,14,60,40,70,0.39999999999999997,no-calib_on-chip,37,0.0,0.02,0.033,0.09,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.02,0.013,0.07,0.0,5.0,5.0,4.967,5.81,5.75,5.923,5.8,6.158,6.5,6.0,26.05.24 - 12:35
300,14,12,100,60,70,0.35,no-calib_on-chip,-1,0.058,0.07,0.079,0.155,0.25,0.0,0.0,0.0,0.005,0.0,0.058,0.07,0.079,0.15,0.25,4.25,4.25,4.382,5.58,3.25,3.769,4.04,4.132,4.4,2.0,26.05.24 - 12:39
301,16,16,80,80,90,0.35,no-calib_on-chip,-1,0.288,0.25,0.243,0.29,0.25,0.0,0.0,0.0,0.0,0.0,0.288,0.25,0.243,0.29,0.25,5.385,5.3,5.151,6.19,2.75,2.231,2.36,2.342,2.38,2.0,26.05.24 - 12:43
302,14,12,60,80,90,0.35,no-calib_on-chip,49,0.173,0.19,0.184,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.19,0.184,0.28,0.0,4.538,4.27,4.237,5.95,4.0,2.385,1.88,2.263,2.02,2.0,26.05.24 - 12:46
303,14,8,80,40,90,0.35,no-calib_on-chip,-1,0.308,0.31,0.257,0.285,0.25,0.0,0.0,0.0,0.0,0.0,0.308,0.31,0.257,0.285,0.25,6.75,6.31,5.553,6.225,9.75,1.385,1.32,1.737,1.96,2.0,26.05.24 - 12:50
304,18,14,100,60,80,0.44999999999999996,no-calib_on-chip,48,0.058,0.04,0.039,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.04,0.039,0.095,0.0,5.442,5.28,5.296,6.0,4.25,7.769,7.4,7.263,6.76,8.0,26.05.24 - 12:54
305,16,10,80,80,80,0.35,no-calib_on-chip,-1,0.154,0.16,0.151,0.265,0.25,0.0,0.0,0.0,0.0,0.0,0.154,0.16,0.151,0.265,0.25,3.769,3.69,3.842,5.4,4.0,1.692,1.84,2.079,1.86,1.0,26.05.24 - 12:58
306,16,14,100,80,90,0.35,no-calib_on-chip,49,0.327,0.3,0.296,0.355,0.0,0.0,0.0,0.0,0.0,0.0,0.327,0.3,0.296,0.355,0.0,4.462,4.79,4.664,5.785,3.5,1.154,1.24,1.289,1.18,3.0,26.05.24 - 13:02
307,18,16,100,80,90,0.39999999999999997,no-calib_on-chip,49,0.173,0.14,0.112,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.14,0.112,0.18,0.0,4.019,4.28,4.375,5.645,4.25,3.0,3.04,3.421,3.56,5.0,26.05.24 - 13:06
308,18,8,80,40,90,0.35,no-calib_on-chip,-1,0.231,0.27,0.237,0.27,0.5,0.0,0.0,0.0,0.0,0.0,0.231,0.27,0.237,0.27,0.5,5.077,5.33,4.954,5.605,8.5,2.0,1.68,1.816,1.96,3.0,26.05.24 - 13:09
309,14,8,80,80,80,0.3,no-calib_on-chip,-1,0.365,0.33,0.349,0.43,0.25,0.0,0.0,0.0,0.0,0.0,0.365,0.33,0.349,0.43,0.25,5.0,5.06,5.079,6.61,5.0,1.385,1.68,1.789,1.56,1.0,26.05.24 - 13:13
310,18,10,80,80,80,0.39999999999999997,no-calib_on-chip,-1,0.077,0.11,0.125,0.19,0.25,0.0,0.0,0.0,0.0,0.0,0.077,0.11,0.125,0.19,0.25,4.096,3.81,4.151,5.505,3.5,2.462,2.44,2.526,2.86,2.0,26.05.24 - 13:17
311,16,8,60,80,80,0.44999999999999996,no-calib_on-chip,44,0.038,0.07,0.092,0.215,0.0,0.0,0.04,0.059,0.06,0.0,0.038,0.03,0.033,0.155,0.0,3.788,4.08,4.217,5.925,4.25,3.538,4.2,4.105,3.88,3.0,26.05.24 - 13:21
312,18,14,60,60,90,0.3,no-calib_on-chip,-1,0.269,0.29,0.25,0.31,0.25,0.0,0.0,0.0,0.0,0.0,0.269,0.29,0.25,0.31,0.25,4.365,4.68,4.566,5.835,3.75,1.154,1.16,1.421,1.46,1.0,26.05.24 - 13:25
313,18,8,100,80,80,0.3,no-calib_on-chip,-1,0.308,0.27,0.276,0.33,0.25,0.038,0.07,0.066,0.05,0.0,0.269,0.2,0.211,0.28,0.25,3.769,3.91,4.289,5.635,4.75,1.538,1.72,1.658,1.58,1.0,26.05.24 - 13:28
314,16,14,100,40,70,0.44999999999999996,no-calib_on-chip,-1,0.25,0.29,0.276,0.295,0.5,0.231,0.24,0.237,0.225,0.25,0.019,0.05,0.039,0.07,0.25,5.077,5.12,5.25,6.06,4.25,9.308,9.48,9.868,9.96,8.0,26.05.24 - 13:32
315,18,12,60,40,70,0.44999999999999996,no-calib_on-chip,-1,0.269,0.25,0.257,0.3,0.25,0.25,0.23,0.23,0.205,0.25,0.019,0.02,0.026,0.095,0.0,5.538,5.41,5.414,6.145,6.0,8.846,8.64,8.5,8.14,9.0,26.05.24 - 13:36
315,18,12,60,40,70,0.44999999999999996,no-calib_on-chip,-1,0.25,0.25,0.237,0.275,0.25,0.25,0.24,0.23,0.215,0.25,0.0,0.01,0.007,0.06,0.0,5.846,5.84,5.776,6.56,7.0,9.769,9.6,9.763,9.82,12.0,26.05.24 - 15:48
316,16,10,100,60,70,0.3,no-calib_on-chip,-1,0.404,0.35,0.362,0.42,0.25,0.019,0.05,0.072,0.07,0.0,0.385,0.3,0.289,0.35,0.25,3.615,3.81,3.77,4.955,3.0,1.769,1.96,2.026,2.2,2.0,26.05.24 - 15:52
317,16,10,60,60,90,0.39999999999999997,no-calib_on-chip,-1,0.154,0.21,0.164,0.225,0.25,0.0,0.0,0.0,0.0,0.0,0.154,0.21,0.164,0.225,0.25,4.212,4.51,4.461,5.68,4.5,1.769,1.68,2.026,2.14,1.0,26.05.24 - 15:56
318,14,14,80,40,90,0.44999999999999996,no-calib_on-chip,49,0.077,0.12,0.105,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.12,0.105,0.14,0.0,4.615,4.82,4.921,5.905,4.75,4.692,4.28,4.316,4.8,7.0,26.05.24 - 15:59
319,14,14,80,40,90,0.3,no-calib_on-chip,-1,0.365,0.32,0.329,0.355,0.5,0.0,0.0,0.0,0.0,0.0,0.365,0.32,0.329,0.355,0.5,6.308,6.28,6.289,6.845,2.75,2.077,2.48,2.289,2.34,2.0,26.05.24 - 16:03
320,14,8,100,60,80,0.3,no-calib_on-chip,-1,0.346,0.3,0.289,0.345,0.25,0.0,0.0,0.013,0.01,0.0,0.346,0.3,0.276,0.335,0.25,4.788,4.87,5.158,6.345,3.5,1.846,1.88,2.053,1.94,1.0,26.05.24 - 16:07
321,18,14,100,60,70,0.35,no-calib_on-chip,-1,0.173,0.12,0.105,0.15,0.25,0.0,0.0,0.0,0.005,0.0,0.173,0.12,0.105,0.145,0.25,4.442,4.46,4.5,5.465,4.25,5.308,5.6,5.447,5.54,5.0,26.05.24 - 16:11
322,18,10,100,80,70,0.3,no-calib_on-chip,-1,0.115,0.13,0.151,0.255,0.5,0.0,0.0,0.02,0.04,0.0,0.115,0.13,0.132,0.215,0.5,3.538,3.64,3.855,5.125,2.75,1.385,2.0,2.342,2.12,0.0,26.05.24 - 16:15
323,16,12,100,80,90,0.3,no-calib_on-chip,-1,0.346,0.31,0.25,0.29,0.25,0.0,0.0,0.0,0.0,0.0,0.346,0.31,0.25,0.29,0.25,5.115,4.9,4.836,5.855,4.75,0.615,0.88,1.079,1.08,0.0,26.05.24 - 16:18
324,18,12,60,40,90,0.3,no-calib_on-chip,-1,0.423,0.42,0.408,0.435,0.25,0.0,0.0,0.0,0.0,0.0,0.423,0.42,0.408,0.435,0.25,6.519,6.03,5.961,6.565,9.5,0.615,0.8,0.921,0.86,1.0,26.05.24 - 16:22
325,18,8,100,60,80,0.44999999999999996,no-calib_on-chip,38,0.019,0.05,0.092,0.165,0.0,0.019,0.04,0.079,0.085,0.0,0.0,0.01,0.013,0.08,0.0,5.25,5.27,5.336,6.365,4.25,7.0,7.12,7.447,7.4,4.0,26.05.24 - 16:26
326,14,10,100,80,70,0.35,no-calib_on-chip,-1,0.192,0.18,0.178,0.26,0.25,0.0,0.0,0.0,0.0,0.0,0.192,0.18,0.178,0.26,0.25,3.519,3.62,3.803,5.295,3.25,1.692,1.72,1.842,1.82,2.0,26.05.24 - 16:30
327,14,14,80,80,80,0.39999999999999997,no-calib_on-chip,-1,0.115,0.08,0.059,0.17,0.25,0.0,0.0,0.0,0.0,0.0,0.115,0.08,0.059,0.17,0.25,4.558,4.42,4.493,5.93,6.0,3.385,4.4,4.684,4.26,2.0,26.05.24 - 16:34
328,18,16,60,60,80,0.35,no-calib_on-chip,-1,0.192,0.22,0.217,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.192,0.22,0.217,0.25,0.25,4.673,4.54,4.375,5.335,10.5,1.846,1.6,1.658,1.8,3.0,26.05.24 - 16:37
329,16,14,100,60,90,0.39999999999999997,no-calib_on-chip,46,0.096,0.11,0.099,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.11,0.099,0.145,0.0,3.654,3.68,3.757,4.77,3.5,3.0,3.04,3.211,3.04,4.0,26.05.24 - 16:41
330,18,10,100,60,70,0.3,no-calib_on-chip,45,0.038,0.06,0.072,0.17,0.0,0.0,0.0,0.0,0.025,0.0,0.038,0.06,0.072,0.145,0.0,4.327,4.36,4.533,5.56,5.75,3.769,3.32,3.447,3.34,7.0,26.05.24 - 16:45
331,18,12,60,40,80,0.35,no-calib_on-chip,49,0.115,0.12,0.105,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.12,0.105,0.145,0.0,4.212,4.15,4.526,5.445,6.0,3.231,3.0,3.553,3.9,2.0,26.05.24 - 16:49
332,14,14,100,40,70,0.44999999999999996,no-calib_on-chip,-1,0.231,0.24,0.237,0.275,0.25,0.212,0.23,0.23,0.22,0.25,0.019,0.01,0.007,0.055,0.0,6.308,6.33,6.579,7.385,7.0,12.077,12.72,13.158,12.8,14.0,26.05.24 - 16:53
333,18,14,60,80,90,0.44999999999999996,no-calib_on-chip,40,0.038,0.05,0.053,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.05,0.053,0.14,0.0,4.962,4.69,4.684,6.065,5.75,4.462,4.44,4.447,4.46,6.0,26.05.24 - 16:57
334,14,10,100,60,70,0.44999999999999996,no-calib_on-chip,45,0.115,0.15,0.171,0.225,0.0,0.077,0.12,0.151,0.13,0.0,0.038,0.03,0.02,0.095,0.0,4.712,5.04,5.164,6.205,4.25,7.538,7.84,8.132,7.6,5.0,26.05.24 - 17:00
335,18,12,60,40,90,0.44999999999999996,no-calib_on-chip,-1,0.154,0.11,0.099,0.145,0.25,0.0,0.0,0.0,0.0,0.0,0.154,0.11,0.099,0.145,0.25,4.231,4.09,4.039,4.935,3.5,2.538,2.48,2.947,3.28,2.0,26.05.24 - 17:04
336,16,14,80,60,70,0.39999999999999997,no-calib_on-chip,46,0.077,0.1,0.099,0.155,0.0,0.0,0.0,0.0,0.005,0.0,0.077,0.1,0.099,0.15,0.0,4.5,4.55,4.625,5.645,5.0,3.538,3.6,3.605,3.68,5.0,26.05.24 - 17:08
337,16,16,60,80,80,0.39999999999999997,no-calib_on-chip,49,0.096,0.09,0.092,0.18,0.0,0.0,0.0,0.007,0.005,0.0,0.096,0.09,0.086,0.175,0.0,4.904,4.8,4.757,6.24,4.75,5.0,5.32,5.342,5.0,7.0,26.05.24 - 17:12
338,18,14,80,60,90,0.3,no-calib_on-chip,-1,0.462,0.44,0.428,0.44,0.5,0.0,0.0,0.0,0.0,0.0,0.462,0.44,0.428,0.44,0.5,7.096,7.18,7.428,7.73,8.0,2.0,1.88,1.947,1.9,1.0,26.05.24 - 17:16
339,14,16,60,60,70,0.44999999999999996,no-calib_on-chip,-1,0.308,0.32,0.283,0.325,0.25,0.212,0.21,0.191,0.165,0.25,0.096,0.11,0.092,0.16,0.0,5.5,5.3,5.191,6.36,5.75,7.0,6.72,6.553,6.04,8.0,26.05.24 - 17:20
340,16,14,100,40,90,0.35,no-calib_on-chip,-1,0.231,0.29,0.276,0.275,0.25,0.0,0.0,0.0,0.0,0.0,0.231,0.29,0.276,0.275,0.25,4.654,4.55,4.632,5.185,5.0,2.077,1.72,1.789,2.16,1.0,26.05.24 - 17:23
341,16,10,60,80,80,0.44999999999999996,no-calib_on-chip,-1,0.135,0.09,0.099,0.21,0.5,0.0,0.0,0.0,0.0,0.0,0.135,0.09,0.099,0.21,0.5,4.115,4.12,4.191,5.77,3.0,4.231,4.24,4.211,3.78,2.0,26.05.24 - 17:27
342,16,10,100,40,90,0.44999999999999996,no-calib_on-chip,47,0.077,0.06,0.039,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.06,0.039,0.085,0.0,4.135,4.21,4.395,5.21,4.5,5.154,5.48,5.816,5.6,7.0,26.05.24 - 17:31
343,16,14,80,40,80,0.3,no-calib_on-chip,-1,0.288,0.28,0.211,0.24,0.25,0.0,0.0,0.0,0.0,0.0,0.288,0.28,0.211,0.24,0.25,3.577,3.73,3.691,4.655,2.75,1.846,2.32,2.737,2.8,1.0,26.05.24 - 17:35
344,16,16,80,40,90,0.35,no-calib_on-chip,-1,0.346,0.37,0.342,0.35,0.25,0.0,0.0,0.0,0.0,0.0,0.346,0.37,0.342,0.35,0.25,5.192,5.23,5.243,5.68,3.75,0.923,0.88,0.947,1.14,1.0,26.05.24 - 17:39
345,14,14,100,60,70,0.3,no-calib_on-chip,-1,0.442,0.43,0.375,0.415,0.5,0.192,0.18,0.164,0.145,0.25,0.25,0.25,0.211,0.27,0.25,4.25,4.28,4.151,5.25,4.0,2.615,2.4,2.079,2.18,2.0,26.05.24 - 17:42
346,18,12,60,40,80,0.44999999999999996,no-calib_on-chip,49,0.231,0.25,0.23,0.27,0.0,0.212,0.22,0.211,0.195,0.0,0.019,0.03,0.02,0.075,0.0,4.769,5.03,5.309,6.17,5.25,6.077,6.84,7.711,7.78,7.0,26.05.24 - 17:46
347,14,14,100,80,80,0.39999999999999997,no-calib_on-chip,-1,0.154,0.17,0.138,0.21,0.25,0.0,0.0,0.0,0.0,0.0,0.154,0.17,0.138,0.21,0.25,4.058,3.91,3.947,5.325,3.5,2.231,1.92,2.395,2.58,2.0,26.05.24 - 17:50
348,18,10,100,40,90,0.3,no-calib_on-chip,48,0.308,0.29,0.276,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.308,0.29,0.276,0.275,0.0,6.404,6.11,5.822,6.17,4.0,1.538,1.64,1.763,1.92,3.0,26.05.24 - 17:54
349,16,16,100,80,70,0.3,no-calib_on-chip,48,0.173,0.2,0.211,0.265,0.0,0.0,0.0,0.007,0.01,0.0,0.173,0.2,0.204,0.255,0.0,4.0,4.09,3.928,5.165,3.5,2.154,2.2,2.263,2.26,3.0,26.05.24 - 17:58
350,14,16,80,80,80,0.44999999999999996,no-calib_on-chip,49,0.019,0.03,0.02,0.14,0.0,0.0,0.0,0.0,0.005,0.0,0.019,0.03,0.02,0.135,0.0,4.5,4.35,4.493,5.935,4.0,5.077,4.68,4.737,4.38,6.0,26.05.24 - 18:02
351,14,14,60,60,90,0.3,no-calib_on-chip,-1,0.346,0.41,0.441,0.48,0.5,0.0,0.0,0.0,0.0,0.0,0.346,0.41,0.441,0.48,0.5,5.654,6.04,5.914,7.145,5.0,1.231,1.2,1.158,1.08,0.0,26.05.24 - 18:06
352,18,16,80,60,80,0.44999999999999996,no-calib_on-chip,49,0.077,0.06,0.039,0.09,0.0,0.0,0.01,0.007,0.005,0.0,0.077,0.05,0.033,0.085,0.0,5.135,5.39,5.414,6.325,5.5,6.615,7.88,7.868,7.58,6.0,26.05.24 - 18:09
353,18,16,60,40,90,0.39999999999999997,no-calib_on-chip,-1,0.173,0.16,0.125,0.155,0.25,0.0,0.0,0.0,0.0,0.0,0.173,0.16,0.125,0.155,0.25,4.192,3.99,3.98,4.855,6.75,2.462,2.52,2.974,3.2,2.0,26.05.24 - 18:13
354,18,8,100,60,70,0.39999999999999997,no-calib_on-chip,48,0.077,0.12,0.132,0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.12,0.132,0.185,0.0,5.558,5.39,5.428,6.425,7.0,6.538,5.76,5.684,5.44,9.0,26.05.24 - 18:17
355,18,8,80,80,90,0.44999999999999996,no-calib_on-chip,49,0.096,0.07,0.072,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.07,0.072,0.16,0.0,4.173,4.22,4.447,5.765,4.5,3.538,3.88,4.263,3.98,5.0,26.05.24 - 18:21
356,14,16,100,60,80,0.35,no-calib_on-chip,49,0.173,0.17,0.178,0.215,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.17,0.178,0.215,0.0,4.115,4.24,4.586,5.57,6.75,2.385,2.64,2.737,2.9,4.0,26.05.24 - 18:25
357,18,14,100,60,90,0.39999999999999997,no-calib_on-chip,-1,0.154,0.12,0.079,0.12,0.25,0.0,0.0,0.0,0.0,0.0,0.154,0.12,0.079,0.12,0.25,4.577,4.63,4.73,5.68,4.5,3.923,4.48,5.053,5.22,4.0,26.05.24 - 18:29
358,16,8,60,40,70,0.39999999999999997,no-calib_on-chip,49,0.077,0.11,0.118,0.165,0.0,0.019,0.01,0.007,0.005,0.0,0.058,0.1,0.112,0.16,0.0,4.904,4.84,5.033,5.95,5.0,6.692,5.6,5.632,5.72,6.0,26.05.24 - 18:32
359,16,10,80,40,80,0.3,no-calib_on-chip,-1,0.346,0.31,0.257,0.275,0.5,0.0,0.0,0.0,0.0,0.0,0.346,0.31,0.257,0.275,0.5,4.788,4.72,4.658,5.505,6.5,1.846,2.16,2.184,2.4,2.0,26.05.24 - 18:36
360,14,12,100,80,90,0.3,no-calib_on-chip,-1,0.481,0.44,0.428,0.485,0.5,0.0,0.0,0.0,0.0,0.0,0.481,0.44,0.428,0.485,0.5,7.327,7.3,7.276,8.355,5.0,1.538,1.28,1.368,1.2,1.0,26.05.24 - 18:40
361,14,12,80,40,80,0.3,no-calib_on-chip,-1,0.423,0.38,0.342,0.35,0.5,0.0,0.0,0.013,0.01,0.0,0.423,0.38,0.329,0.34,0.5,5.442,5.51,5.441,6.095,7.25,2.0,1.96,2.395,2.28,1.0,26.05.24 - 18:44
362,16,12,80,40,90,0.3,no-calib_on-chip,-1,0.385,0.34,0.303,0.31,0.25,0.0,0.0,0.0,0.0,0.0,0.385,0.34,0.303,0.31,0.25,6.019,6.17,5.77,6.31,7.5,1.923,2.04,2.237,2.04,2.0,26.05.24 - 18:48
363,18,16,80,60,90,0.39999999999999997,no-calib_on-chip,-1,0.135,0.1,0.092,0.14,0.25,0.0,0.0,0.0,0.0,0.0,0.135,0.1,0.092,0.14,0.25,4.0,3.95,4.059,5.2,6.0,3.538,3.48,3.737,3.78,2.0,26.05.24 - 18:52
364,18,10,60,60,70,0.35,no-calib_on-chip,49,0.212,0.21,0.211,0.26,0.0,0.019,0.02,0.013,0.015,0.0,0.192,0.19,0.197,0.245,0.0,3.769,3.77,4.02,5.29,3.5,3.385,3.8,3.868,3.96,4.0,26.05.24 - 18:55
365,14,8,60,60,80,0.44999999999999996,no-calib_on-chip,42,0.077,0.08,0.079,0.175,0.0,0.0,0.01,0.026,0.02,0.0,0.077,0.07,0.053,0.155,0.0,4.385,4.49,4.75,6.235,4.25,3.923,4.92,5.553,5.08,4.0,26.05.24 - 18:59
366,16,10,80,60,70,0.35,no-calib_on-chip,49,0.212,0.21,0.204,0.285,0.0,0.0,0.0,0.007,0.03,0.0,0.212,0.21,0.197,0.255,0.0,3.692,3.95,4.138,5.44,3.75,3.846,3.56,3.763,3.64,4.0,26.05.24 - 19:03
367,18,8,80,40,90,0.39999999999999997,no-calib_on-chip,-1,0.25,0.14,0.132,0.155,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.14,0.132,0.155,0.75,4.615,4.41,4.27,5.12,4.5,2.462,3.48,3.5,3.7,1.0,26.05.24 - 19:07
