instance_id,plasticity.lambda_plus,plasticity.lambda_h,plasticity.target_rate_h,plasticity.permanence_threshold,plasticity.correlation_threshold,synapses.p_exc_exc,experiment.id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,duplicate_dendrites_running-avg-0.25,duplicate_dendrites_running-avg-0.5,duplicate_dendrites_running-avg-0.75,duplicate_dendrites_running-avg-1.0,duplicate_dendrites_last,time_finished
211,14,8,60,40,90,0.35,no-calib_on-chip,-1,0.308,0.3,0.316,0.35,0.25,0.0,0.0,0.0,0.0,0.0,0.308,0.3,0.316,0.35,0.25,5.212,5.35,5.421,6.205,4.0,1.0,1.28,1.132,1.18,1.0,26.05.24 - 03:49
212,18,12,100,40,70,0.35,no-calib_on-chip,-1,0.077,0.07,0.053,0.105,0.25,0.0,0.0,0.0,0.015,0.0,0.077,0.07,0.053,0.09,0.25,4.365,4.5,4.605,5.375,2.75,4.923,4.88,4.763,4.9,3.0,26.05.24 - 03:53
213,16,8,60,40,80,0.39999999999999997,no-calib_on-chip,-1,0.115,0.08,0.072,0.115,0.25,0.0,0.0,0.0,0.0,0.0,0.115,0.08,0.072,0.115,0.25,4.692,4.56,4.743,5.69,6.25,4.308,4.92,5.053,5.2,2.0,26.05.24 - 03:57
214,14,10,60,80,90,0.39999999999999997,no-calib_on-chip,47,0.096,0.07,0.072,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.07,0.072,0.195,0.0,4.231,4.16,4.184,5.97,4.0,4.385,4.52,4.447,3.88,6.0,26.05.24 - 04:00
215,14,8,80,40,80,0.3,no-calib_on-chip,-1,0.25,0.29,0.283,0.33,0.25,0.0,0.0,0.0,0.01,0.0,0.25,0.29,0.283,0.32,0.25,4.154,4.49,4.559,5.54,3.25,2.692,2.64,3.0,2.82,4.0,26.05.24 - 04:04
216,18,14,60,60,70,0.39999999999999997,no-calib_on-chip,-1,0.038,0.05,0.053,0.13,0.25,0.0,0.0,0.013,0.015,0.0,0.038,0.05,0.039,0.115,0.25,5.288,5.58,5.757,6.745,5.5,5.615,5.88,6.658,6.48,4.0,26.05.24 - 04:08
217,18,12,80,40,90,0.35,no-calib_on-chip,-1,0.404,0.34,0.355,0.355,0.5,0.0,0.0,0.0,0.0,0.0,0.404,0.34,0.355,0.355,0.5,5.212,4.42,4.474,5.235,3.75,1.077,1.44,1.447,1.44,0.0,26.05.24 - 04:12
218,16,8,100,80,70,0.39999999999999997,no-calib_on-chip,43,0.019,0.01,0.02,0.13,0.0,0.0,0.0,0.007,0.005,0.0,0.019,0.01,0.013,0.125,0.0,4.904,5.02,5.178,6.495,5.0,6.538,6.88,7.079,6.14,7.0,26.05.24 - 04:16
219,16,14,60,40,90,0.39999999999999997,no-calib_on-chip,48,0.096,0.07,0.066,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.07,0.066,0.11,0.0,3.788,4.05,4.046,4.98,3.75,3.769,3.76,3.763,3.94,5.0,26.05.24 - 04:20
220,18,8,100,60,80,0.39999999999999997,no-calib_on-chip,41,0.038,0.02,0.026,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.02,0.026,0.1,0.0,4.25,4.09,4.092,5.235,4.25,3.846,3.76,3.658,3.5,5.0,26.05.24 - 04:23
221,18,8,80,60,70,0.3,no-calib_on-chip,-1,0.154,0.19,0.191,0.245,0.25,0.0,0.0,0.0,0.01,0.0,0.154,0.19,0.191,0.235,0.25,4.077,4.14,4.224,5.335,5.5,1.923,2.08,2.211,2.2,3.0,26.05.24 - 04:27
222,14,10,60,80,70,0.39999999999999997,no-calib_on-chip,-1,0.058,0.07,0.053,0.19,0.25,0.0,0.0,0.0,0.0,0.0,0.058,0.07,0.053,0.19,0.25,3.75,3.8,3.961,5.835,3.5,2.615,2.48,2.553,2.22,2.0,26.05.24 - 04:31
223,18,10,60,40,90,0.39999999999999997,no-calib_on-chip,-1,0.135,0.1,0.099,0.155,0.5,0.0,0.0,0.0,0.0,0.0,0.135,0.1,0.099,0.155,0.5,4.154,4.17,4.171,5.165,3.75,2.462,2.68,2.737,3.12,1.0,26.05.24 - 04:35
224,14,12,100,40,90,0.39999999999999997,no-calib_on-chip,-1,0.077,0.08,0.066,0.12,0.25,0.0,0.0,0.0,0.0,0.0,0.077,0.08,0.066,0.12,0.25,4.692,4.57,4.612,5.465,3.75,4.231,3.6,4.158,4.4,2.0,26.05.24 - 04:38
225,16,12,100,40,70,0.39999999999999997,no-calib_on-chip,18,0.0,0.0,0.007,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.055,0.0,4.923,4.8,4.954,5.845,4.25,4.231,4.2,4.579,5.1,5.0,26.05.24 - 04:42
226,18,14,80,40,70,0.44999999999999996,no-calib_on-chip,-1,0.269,0.26,0.23,0.25,0.25,0.25,0.25,0.224,0.205,0.25,0.019,0.01,0.007,0.045,0.0,5.712,5.62,5.664,6.435,4.75,7.692,7.8,8.289,8.84,5.0,26.05.24 - 04:46
227,14,14,80,60,70,0.3,no-calib_on-chip,-1,0.25,0.2,0.237,0.33,0.5,0.038,0.02,0.059,0.07,0.0,0.212,0.18,0.178,0.26,0.5,4.327,4.32,4.349,5.59,2.75,1.769,2.4,2.289,2.06,1.0,26.05.24 - 04:50
228,18,14,60,80,70,0.39999999999999997,no-calib_on-chip,28,0.0,0.01,0.013,0.12,0.0,0.0,0.0,0.007,0.01,0.0,0.0,0.01,0.007,0.11,0.0,5.173,5.27,5.382,6.445,4.75,7.154,6.88,6.921,6.24,6.0,26.05.24 - 04:54
229,14,16,80,60,80,0.44999999999999996,no-calib_on-chip,45,0.038,0.02,0.02,0.095,0.0,0.038,0.02,0.013,0.01,0.0,0.0,0.0,0.007,0.085,0.0,5.423,5.25,5.289,6.355,4.75,6.615,6.72,6.895,6.8,6.0,26.05.24 - 04:58
230,14,12,100,40,90,0.44999999999999996,no-calib_on-chip,47,0.038,0.06,0.046,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.06,0.046,0.095,0.0,5.096,5.09,5.289,6.14,5.75,5.538,5.32,5.895,6.08,8.0,26.05.24 - 05:01
231,16,16,60,60,70,0.39999999999999997,no-calib_on-chip,28,0.0,0.01,0.013,0.11,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.01,0.013,0.095,0.0,4.904,4.81,4.855,5.955,4.5,5.231,5.4,5.711,5.42,6.0,26.05.24 - 05:05
232,18,10,100,80,80,0.3,no-calib_on-chip,49,0.269,0.24,0.25,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.269,0.24,0.25,0.305,0.0,3.808,3.54,3.684,5.195,3.75,1.769,1.96,2.132,2.14,0.0,26.05.24 - 05:09
233,18,16,80,40,90,0.39999999999999997,no-calib_on-chip,-1,0.269,0.25,0.23,0.23,0.25,0.0,0.0,0.0,0.0,0.0,0.269,0.25,0.23,0.23,0.25,4.346,4.23,4.572,5.31,3.75,1.231,1.4,1.763,2.38,1.0,26.05.24 - 05:13
234,16,12,80,80,70,0.44999999999999996,no-calib_on-chip,-1,0.173,0.18,0.171,0.23,0.5,0.154,0.16,0.158,0.12,0.25,0.019,0.02,0.013,0.11,0.25,5.288,4.99,5.033,6.385,5.75,7.0,6.88,6.895,6.4,6.0,26.05.24 - 05:17
235,14,14,100,40,80,0.35,no-calib_on-chip,48,0.173,0.19,0.178,0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.19,0.178,0.235,0.0,4.308,4.44,4.362,5.355,4.75,3.154,3.0,3.211,3.1,5.0,26.05.24 - 05:21
236,18,16,80,80,90,0.3,no-calib_on-chip,-1,0.462,0.47,0.428,0.435,0.5,0.0,0.0,0.0,0.0,0.0,0.462,0.47,0.428,0.435,0.5,6.827,6.43,6.013,6.98,6.5,0.385,0.36,0.395,0.56,0.0,26.05.24 - 05:24
237,14,14,80,40,80,0.35,no-calib_on-chip,46,0.096,0.08,0.092,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.08,0.092,0.14,0.0,4.308,4.29,4.322,5.305,5.5,2.923,3.0,2.842,3.06,5.0,26.05.24 - 05:28
238,18,16,100,60,90,0.35,no-calib_on-chip,-1,0.231,0.22,0.184,0.205,0.25,0.0,0.0,0.0,0.0,0.0,0.231,0.22,0.184,0.205,0.25,4.827,4.86,4.717,5.46,9.75,2.0,2.24,2.553,2.88,3.0,26.05.24 - 05:32
239,18,12,80,60,70,0.3,no-calib_on-chip,-1,0.558,0.55,0.539,0.585,0.75,0.173,0.21,0.211,0.2,0.25,0.385,0.34,0.329,0.385,0.5,4.385,3.98,4.039,5.065,3.5,2.923,2.56,2.658,2.5,4.0,26.05.24 - 05:36
240,14,12,80,60,90,0.44999999999999996,no-calib_on-chip,49,0.096,0.06,0.066,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.06,0.066,0.145,0.0,4.231,4.33,4.553,5.875,4.25,5.154,5.56,5.237,4.88,4.0,26.05.24 - 05:39
241,14,12,80,40,80,0.39999999999999997,no-calib_on-chip,-1,0.077,0.05,0.072,0.12,0.25,0.0,0.0,0.0,0.0,0.0,0.077,0.05,0.072,0.12,0.25,4.385,4.24,4.336,5.455,2.25,4.538,4.64,4.5,5.18,1.0,26.05.24 - 05:43
242,16,8,100,60,80,0.35,no-calib_on-chip,-1,0.154,0.11,0.158,0.21,0.25,0.0,0.0,0.0,0.0,0.0,0.154,0.11,0.158,0.21,0.25,4.712,4.5,4.539,5.615,4.0,2.538,2.64,2.553,2.66,1.0,26.05.24 - 05:47
243,14,14,80,60,80,0.3,no-calib_on-chip,-1,0.327,0.32,0.296,0.34,0.25,0.0,0.0,0.0,0.0,0.0,0.327,0.32,0.296,0.34,0.25,5.846,5.63,5.349,6.26,6.5,1.923,1.96,2.026,1.98,1.0,26.05.24 - 05:51
244,16,16,60,40,70,0.44999999999999996,no-calib_on-chip,-1,0.25,0.25,0.237,0.28,0.25,0.25,0.25,0.237,0.22,0.25,0.0,0.0,0.0,0.06,0.0,5.962,5.86,5.849,6.74,6.25,9.385,8.72,9.342,9.7,11.0,26.05.24 - 05:55
245,14,8,100,80,80,0.44999999999999996,no-calib_on-chip,-1,0.115,0.1,0.099,0.195,0.25,0.115,0.1,0.099,0.075,0.25,0.0,0.0,0.0,0.12,0.0,4.346,4.25,4.474,6.015,4.75,5.769,5.8,6.026,5.6,8.0,26.05.24 - 05:59
246,14,16,100,60,70,0.44999999999999996,no-calib_on-chip,-1,0.154,0.2,0.217,0.275,0.25,0.154,0.2,0.217,0.205,0.25,0.0,0.0,0.0,0.07,0.0,5.846,5.62,5.546,6.62,5.5,10.538,10.04,10.026,10.14,11.0,26.05.24 - 06:02
247,18,14,100,80,90,0.44999999999999996,no-calib_on-chip,43,0.038,0.05,0.059,0.125,0.0,0.0,0.0,0.026,0.02,0.0,0.038,0.05,0.033,0.105,0.0,4.231,4.35,4.743,5.88,4.0,5.538,5.44,6.132,5.92,6.0,26.05.24 - 06:06
248,14,14,80,40,70,0.35,no-calib_on-chip,47,0.096,0.08,0.066,0.135,0.0,0.0,0.0,0.0,0.02,0.0,0.096,0.08,0.066,0.115,0.0,4.731,4.54,4.461,5.335,4.25,4.615,4.64,4.789,4.98,4.0,26.05.24 - 06:10
