instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,duplicate_dendrites_running-avg-0.25,duplicate_dendrites_running-avg-0.5,duplicate_dendrites_running-avg-0.75,duplicate_dendrites_running-avg-1.0,duplicate_dendrites_last,time_finished
0,-1,0.35,0.335,0.33,0.33,0.25,0.23,0.235,0.237,0.225,0.25,0.12,0.1,0.093,0.105,0.0,3.32,3.355,3.387,3.682,3.25,3.16,3.24,3.293,3.4,3.0,28.05.24 - 08:43
1,-1,0.53,0.485,0.473,0.468,0.25,0.04,0.03,0.037,0.028,0.0,0.49,0.455,0.437,0.44,0.25,4.05,4.33,4.34,4.59,4.0,0.76,0.94,0.96,1.01,3.0,28.05.24 - 08:50
2,-1,0.56,0.55,0.583,0.582,0.25,0.12,0.115,0.127,0.122,0.0,0.44,0.435,0.457,0.46,0.25,4.42,4.51,4.62,4.812,3.75,0.92,1.08,1.253,1.26,1.0,28.05.24 - 08:57
3,-1,0.36,0.385,0.367,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.36,0.385,0.367,0.375,0.5,4.03,3.81,3.793,4.102,4.0,0.4,0.32,0.36,0.46,0.0,28.05.24 - 09:05
4,99,0.31,0.35,0.333,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.35,0.333,0.35,0.0,4.67,4.715,4.743,4.88,2.75,1.0,0.78,0.747,0.72,1.0,28.05.24 - 09:12
