instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,-1,0.158,0.079,0.053,0.144,0.333,0.133,0.067,0.044,0.033,0.167,0.04,0.02,0.013,0.115,0.167,4.333,3.833,3.667,4.938,5.333,29.04.24 - 11:49
1,-1,0.236,0.209,0.224,0.303,0.236,0.333,0.27,0.262,0.223,0.333,0.0,0.0,0.002,0.117,0.0,3.587,3.627,3.847,5.227,3.5,29.04.24 - 11:49
2,-1,0.087,0.043,0.056,0.187,0.167,0.087,0.043,0.04,0.042,0.167,0.0,0.0,0.016,0.145,0.0,4.06,3.863,4.118,5.572,3.667,29.04.24 - 11:49
3,14,0.0,0.0,0.0,0.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097,0.0,3.833,3.833,3.833,5.11,3.833,29.04.24 - 11:49
4,-1,0.22,0.193,0.184,0.265,0.167,0.22,0.193,0.184,0.165,0.167,0.0,0.0,0.0,0.1,0.0,3.913,3.957,3.971,5.167,4.0,29.04.24 - 11:49
5,-1,0.26,0.213,0.2,0.285,0.333,0.26,0.213,0.2,0.192,0.333,0.0,0.0,0.0,0.095,0.0,3.64,3.487,3.813,5.235,3.5,29.04.24 - 11:49
6,96,0.063,0.032,0.037,0.158,0.0,0.087,0.043,0.044,0.057,0.0,0.0,0.0,0.0,0.11,0.0,4.0,3.667,3.556,4.845,3.5,29.04.24 - 11:49
7,-1,0.26,0.213,0.198,0.284,0.5,0.26,0.213,0.198,0.177,0.5,0.0,0.0,0.0,0.11,0.0,5.813,5.153,4.88,6.152,7.167,29.04.24 - 11:49
8,-1,0.207,0.127,0.085,0.185,0.167,0.22,0.133,0.089,0.073,0.167,0.007,0.003,0.002,0.117,0.0,4.46,4.127,3.998,5.417,3.5,29.04.24 - 11:49
9,-1,0.167,0.167,0.167,0.257,0.167,0.167,0.167,0.167,0.148,0.167,0.0,0.0,0.0,0.112,0.0,3.62,3.643,3.651,5.012,3.667,29.04.24 - 11:49
