instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,-1,0.167,0.139,0.096,0.217,0.167,0.167,0.139,0.093,0.069,0.167,0.0,0.0,0.004,0.147,0.0,4.667,4.667,4.9,6.486,4.667,22.05.24 - 10:50
1,-1,0.333,0.333,0.329,0.383,0.333,0.333,0.333,0.326,0.258,0.333,0.0,0.0,0.007,0.136,0.0,5.0,5.0,5.081,6.439,5.0,22.05.24 - 10:50
2,-1,0.167,0.167,0.174,0.272,0.167,0.167,0.167,0.167,0.131,0.167,0.0,0.0,0.019,0.153,0.0,3.833,3.833,4.144,5.728,3.833,22.05.24 - 10:50
3,-1,0.167,0.128,0.085,0.202,0.167,0.167,0.128,0.085,0.072,0.167,0.0,0.0,0.0,0.133,0.0,4.667,4.611,4.785,6.486,4.667,22.05.24 - 10:50
4,-1,0.333,0.333,0.3,0.356,0.333,0.333,0.333,0.3,0.239,0.333,0.0,0.0,0.0,0.117,0.0,4.0,4.0,4.0,5.381,4.0,22.05.24 - 10:50
5,-1,0.333,0.333,0.333,0.378,0.333,0.333,0.333,0.333,0.256,0.333,0.0,0.0,0.0,0.122,0.0,5.667,5.644,5.596,6.883,5.667,22.05.24 - 10:50
6,-1,0.167,0.167,0.167,0.272,0.167,0.167,0.167,0.163,0.122,0.167,0.0,0.0,0.004,0.15,0.0,3.0,3.0,3.178,5.067,3.0,22.05.24 - 10:50
7,-1,0.333,0.333,0.333,0.386,0.333,0.333,0.333,0.333,0.269,0.333,0.0,0.0,0.0,0.117,0.0,4.333,4.333,4.689,6.142,4.333,22.05.24 - 10:50
8,-1,0.333,0.333,0.317,0.378,0.333,0.333,0.333,0.311,0.239,0.333,0.0,0.0,0.015,0.147,0.0,3.833,3.833,4.367,6.094,3.833,22.05.24 - 10:50
9,-1,0.333,0.333,0.278,0.328,0.333,0.333,0.333,0.278,0.214,0.333,0.0,0.0,0.0,0.114,0.0,4.0,4.0,4.0,5.567,4.0,22.05.24 - 10:50
