instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,-1,0.333,0.333,0.307,0.364,0.333,0.333,0.333,0.307,0.231,0.333,0.0,0.0,0.0,0.133,0.0,5.167,5.167,5.315,6.8,5.167,22.05.24 - 11:45
1,-1,0.333,0.333,0.3,0.359,0.333,0.333,0.333,0.3,0.242,0.333,0.0,0.0,0.0,0.125,0.0,4.667,4.667,4.667,6.036,4.667,22.05.24 - 11:45
2,-1,0.167,0.167,0.171,0.268,0.167,0.167,0.167,0.167,0.133,0.167,0.0,0.0,0.011,0.144,0.0,3.833,3.833,4.1,5.694,3.833,22.05.24 - 11:45
3,-1,0.333,0.3,0.256,0.334,0.333,0.333,0.3,0.256,0.211,0.333,0.0,0.0,0.0,0.128,0.0,5.0,5.0,5.244,6.858,5.0,22.05.24 - 11:45
4,-1,0.333,0.333,0.333,0.378,0.333,0.333,0.333,0.333,0.267,0.333,0.0,0.0,0.0,0.111,0.0,4.0,4.0,4.0,5.356,4.0,22.05.24 - 11:45
5,-1,0.333,0.333,0.333,0.383,0.333,0.333,0.333,0.333,0.267,0.333,0.0,0.0,0.0,0.117,0.0,5.667,5.667,5.656,6.869,5.667,22.05.24 - 11:45
6,-1,0.333,0.311,0.263,0.346,0.333,0.333,0.311,0.263,0.2,0.333,0.0,0.0,0.0,0.147,0.0,3.333,3.333,3.422,5.278,3.333,22.05.24 - 11:45
7,-1,0.333,0.333,0.333,0.39,0.333,0.333,0.333,0.333,0.275,0.333,0.0,0.0,0.0,0.119,0.0,4.0,4.0,4.267,5.833,4.0,22.05.24 - 11:45
8,-1,0.333,0.333,0.327,0.384,0.333,0.333,0.333,0.326,0.253,0.333,0.0,0.0,0.004,0.136,0.0,3.833,3.833,4.1,5.928,3.833,22.05.24 - 11:45
9,-1,0.333,0.333,0.333,0.369,0.333,0.333,0.333,0.333,0.258,0.333,0.0,0.0,0.0,0.111,0.0,4.0,4.0,4.0,5.5,4.0,22.05.24 - 11:45
