experiment_subnum,plasticity.lambda_plus,plasticity.lambda_minus,plasticity.lambda_h,plasticity.tau_plus,num-epochs_avg,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,0.13,0.003,0.01,15,46,0.104,0.199,0.302,0.454,0.05,0.027,0.024,0.016,0.012,0.017,0.079,0.179,0.289,0.445,0.033,6.293,7.453,8.47,9.891,5.583,22.05.24 - 08:48
1,0.13,0.003,0.01,16,42,0.103,0.141,0.238,0.395,0.067,0.073,0.077,0.06,0.045,0.05,0.042,0.076,0.188,0.358,0.017,5.07,5.911,7.2,8.834,3.967,22.05.24 - 08:48
0,0.18000000000000005,0.005,0.024999999999999998,18,23,0.033,0.047,0.091,0.233,0.033,0.033,0.044,0.064,0.052,0.033,0.0,0.003,0.03,0.186,0.0,3.753,3.966,4.697,6.515,3.75,22.05.24 - 08:50
1,0.13,0.0045000000000000005,0.03,20,-1,0.478,0.5,0.501,0.561,0.507,0.251,0.256,0.24,0.185,0.233,0.24,0.261,0.287,0.397,0.283,8.774,9.094,9.345,10.211,9.1,22.05.24 - 08:51
2,0.15000000000000002,0.004,0.01,17,-1,0.202,0.192,0.22,0.362,0.233,0.201,0.176,0.13,0.098,0.233,0.003,0.026,0.1,0.272,0.0,4.396,4.875,5.971,7.741,4.2,22.05.24 - 08:51
3,0.14,0.004,0.019999999999999997,20,-1,0.207,0.22,0.234,0.345,0.4,0.126,0.137,0.141,0.112,0.2,0.081,0.084,0.097,0.239,0.2,5.254,5.556,6.042,7.563,6.817,22.05.24 - 08:52
4,0.14,0.005,0.019999999999999997,21,-1,0.247,0.268,0.279,0.374,0.497,0.099,0.112,0.112,0.087,0.217,0.16,0.169,0.183,0.3,0.3,7.042,7.332,7.648,8.742,9.05,22.05.24 - 08:53
5,0.13,0.004,0.024999999999999998,21,-1,0.391,0.406,0.425,0.491,0.304,0.114,0.127,0.141,0.112,0.1,0.302,0.305,0.315,0.405,0.233,9.163,9.281,9.397,10.119,8.7,22.05.24 - 08:53
6,0.15000000000000002,0.003,0.01,19,-1,0.3,0.287,0.271,0.363,0.3,0.3,0.287,0.264,0.201,0.3,0.0,0.0,0.011,0.166,0.0,4.25,4.25,4.644,6.42,4.25,22.05.24 - 08:54
7,0.17000000000000004,0.0035,0.01,17,-1,0.281,0.265,0.254,0.372,0.3,0.281,0.263,0.221,0.166,0.3,0.0,0.003,0.039,0.211,0.0,4.233,4.365,5.134,6.966,4.233,22.05.24 - 08:54
8,0.16000000000000003,0.004,0.015,16,32,0.084,0.1,0.176,0.339,0.067,0.077,0.073,0.063,0.047,0.067,0.013,0.037,0.124,0.3,0.0,4.523,5.252,6.49,8.215,3.933,22.05.24 - 08:55
9,0.16000000000000003,0.003,0.024999999999999998,17,27,0.063,0.072,0.114,0.262,0.05,0.063,0.07,0.081,0.066,0.05,0.0,0.002,0.036,0.2,0.0,3.667,3.851,4.663,6.594,3.667,22.05.24 - 08:56
10,0.13,0.005,0.015,20,54,0.108,0.129,0.179,0.317,0.083,0.086,0.088,0.09,0.067,0.083,0.022,0.046,0.099,0.256,0.0,4.406,4.872,5.898,7.553,3.9,22.05.24 - 08:56
11,0.15000000000000002,0.004,0.015,16,35,0.119,0.126,0.209,0.368,0.117,0.087,0.074,0.059,0.044,0.1,0.043,0.061,0.159,0.331,0.017,5.234,5.941,7.096,8.702,4.8,22.05.24 - 08:57
12,0.13,0.003,0.019999999999999997,18,26,0.072,0.103,0.151,0.297,0.067,0.072,0.087,0.096,0.073,0.067,0.0,0.018,0.063,0.23,0.0,3.939,4.348,5.293,7.126,3.783,22.05.24 - 08:57
13,0.17000000000000004,0.0045000000000000005,0.01,18,-1,0.287,0.274,0.253,0.366,0.3,0.287,0.274,0.231,0.173,0.3,0.0,0.001,0.029,0.198,0.0,4.367,4.427,5.133,6.912,4.367,22.05.24 - 08:58
14,0.14,0.0045000000000000005,0.024999999999999998,16,36,0.01,0.049,0.142,0.33,0.0,0.007,0.013,0.011,0.008,0.0,0.003,0.037,0.133,0.323,0.0,4.036,4.971,6.269,8.208,3.717,22.05.24 - 08:58
15,0.18000000000000005,0.003,0.03,15,31,0.026,0.057,0.105,0.273,0.017,0.026,0.051,0.063,0.049,0.017,0.0,0.007,0.047,0.229,0.0,3.787,4.02,4.93,6.96,3.733,22.05.24 - 08:59
16,0.16000000000000003,0.0035,0.024999999999999998,15,36,0.012,0.053,0.135,0.315,0.0,0.009,0.034,0.037,0.028,0.0,0.003,0.022,0.103,0.291,0.0,3.9,4.589,5.829,7.798,3.733,22.05.24 - 09:00
17,0.15000000000000002,0.003,0.015,20,-1,0.283,0.283,0.272,0.353,0.283,0.283,0.283,0.27,0.212,0.283,0.0,0.0,0.004,0.145,0.0,4.299,4.291,4.533,6.198,4.283,22.05.24 - 09:00
18,0.15000000000000002,0.003,0.01,17,-1,0.272,0.258,0.249,0.379,0.283,0.272,0.257,0.21,0.157,0.283,0.0,0.002,0.047,0.228,0.0,4.3,4.476,5.402,7.262,4.3,22.05.24 - 09:01
19,0.17000000000000004,0.003,0.024999999999999998,22,54,0.031,0.029,0.041,0.155,0.017,0.019,0.017,0.026,0.04,0.017,0.012,0.012,0.016,0.117,0.0,4.29,4.303,4.45,5.838,4.05,22.05.24 - 09:01
20,0.13,0.003,0.024999999999999998,22,-1,0.31,0.327,0.345,0.414,0.23,0.116,0.135,0.15,0.125,0.083,0.209,0.21,0.214,0.308,0.167,8.261,8.323,8.462,9.234,7.783,22.05.24 - 09:02
21,0.17000000000000004,0.004,0.015,18,27,0.082,0.079,0.1,0.242,0.083,0.082,0.078,0.082,0.066,0.083,0.0,0.001,0.023,0.181,0.0,3.88,3.939,4.55,6.405,3.683,22.05.24 - 09:03
22,0.16000000000000003,0.0045000000000000005,0.01,21,-1,0.278,0.263,0.247,0.329,0.283,0.278,0.263,0.244,0.192,0.283,0.0,0.0,0.005,0.141,0.0,4.328,4.312,4.526,6.148,4.333,22.05.24 - 09:03
23,0.16000000000000003,0.003,0.024999999999999998,20,-1,0.254,0.266,0.274,0.353,0.44,0.199,0.208,0.206,0.17,0.267,0.057,0.059,0.069,0.187,0.183,5.926,5.911,6.096,7.376,8.017,22.05.24 - 09:04
24,0.14,0.005,0.015,21,35,0.021,0.042,0.095,0.234,0.017,0.017,0.027,0.058,0.046,0.017,0.004,0.016,0.043,0.194,0.0,3.932,4.312,5.097,6.762,3.733,22.05.24 - 09:04
25,0.15000000000000002,0.0035,0.01,22,-1,0.283,0.282,0.269,0.337,0.283,0.283,0.282,0.268,0.214,0.283,0.0,0.0,0.001,0.126,0.0,4.317,4.316,4.406,5.925,4.317,22.05.24 - 09:05
26,0.16000000000000003,0.005,0.024999999999999998,15,40,0.038,0.093,0.186,0.373,0.017,0.012,0.009,0.006,0.005,0.017,0.026,0.084,0.18,0.368,0.0,4.874,5.731,6.926,8.786,4.183,22.05.24 - 09:05
27,0.17000000000000004,0.005,0.024999999999999998,21,-1,0.199,0.188,0.215,0.309,0.157,0.096,0.089,0.102,0.089,0.083,0.114,0.107,0.124,0.231,0.083,6.536,6.511,6.851,7.962,6.3,22.05.24 - 09:06
28,0.16000000000000003,0.005,0.024999999999999998,21,-1,0.288,0.295,0.308,0.384,0.511,0.123,0.129,0.133,0.109,0.217,0.181,0.184,0.194,0.293,0.333,7.668,7.799,7.981,8.871,9.333,22.05.24 - 09:06
29,0.17000000000000004,0.003,0.03,20,-1,0.305,0.316,0.325,0.398,0.25,0.223,0.226,0.233,0.201,0.217,0.082,0.091,0.093,0.201,0.033,6.286,6.396,6.562,7.683,5.583,22.05.24 - 09:07
30,0.18000000000000005,0.0045000000000000005,0.01,15,43,0.081,0.129,0.227,0.387,0.083,0.033,0.022,0.014,0.011,0.067,0.053,0.111,0.215,0.378,0.017,5.467,6.312,7.384,8.971,5.217,22.05.24 - 09:07
31,0.13,0.003,0.015,19,28,0.062,0.075,0.1,0.253,0.05,0.061,0.072,0.074,0.059,0.05,0.001,0.004,0.031,0.198,0.0,4.05,4.163,4.881,6.756,3.65,22.05.24 - 09:08
32,0.17000000000000004,0.003,0.019999999999999997,20,26,0.107,0.114,0.126,0.23,0.1,0.107,0.114,0.119,0.106,0.1,0.0,0.0,0.007,0.128,0.0,4.02,4.048,4.243,5.822,4.383,22.05.24 - 09:08
33,0.13,0.004,0.024999999999999998,15,42,0.058,0.118,0.229,0.411,0.017,0.028,0.019,0.013,0.01,0.017,0.03,0.099,0.217,0.401,0.0,5.218,6.093,7.403,9.197,4.367,22.05.24 - 09:09
34,0.17000000000000004,0.005,0.019999999999999997,19,19,0.079,0.079,0.091,0.227,0.083,0.077,0.075,0.075,0.06,0.083,0.002,0.005,0.02,0.171,0.0,4.097,4.157,4.656,6.414,4.517,22.05.24 - 09:10
35,0.15000000000000002,0.004,0.024999999999999998,19,28,0.042,0.057,0.102,0.241,0.033,0.042,0.056,0.076,0.063,0.033,0.0,0.001,0.028,0.183,0.0,3.8,3.917,4.592,6.435,3.8,22.05.24 - 09:10
36,0.13,0.0045000000000000005,0.019999999999999997,21,-1,0.298,0.317,0.343,0.428,0.357,0.111,0.123,0.13,0.101,0.117,0.202,0.214,0.236,0.347,0.25,7.436,7.784,8.182,9.196,7.867,22.05.24 - 09:11
37,0.13,0.004,0.03,21,-1,0.482,0.483,0.489,0.549,0.375,0.119,0.119,0.125,0.103,0.133,0.393,0.392,0.394,0.472,0.3,10.364,10.209,10.194,10.789,9.6,22.05.24 - 09:12
38,0.14,0.005,0.015,17,36,0.095,0.115,0.207,0.366,0.13,0.063,0.049,0.034,0.025,0.083,0.047,0.078,0.182,0.348,0.067,5.436,6.25,7.331,8.879,5.117,22.05.24 - 09:12
39,0.14,0.0035,0.015,17,30,0.119,0.115,0.173,0.327,0.107,0.092,0.087,0.08,0.06,0.083,0.033,0.036,0.104,0.275,0.033,4.574,5.022,6.145,7.87,4.15,22.05.24 - 09:13
40,0.17000000000000004,0.005,0.015,22,-1,0.258,0.246,0.233,0.305,0.267,0.258,0.246,0.232,0.188,0.267,0.0,0.0,0.003,0.121,0.0,4.35,4.348,4.452,5.923,4.35,22.05.24 - 09:14
41,0.16000000000000003,0.003,0.015,21,-1,0.267,0.257,0.243,0.315,0.267,0.267,0.257,0.243,0.197,0.267,0.0,0.0,0.002,0.121,0.0,4.382,4.374,4.512,5.976,4.383,22.05.24 - 09:14
42,0.13,0.0035,0.01,18,-1,0.254,0.241,0.248,0.382,0.267,0.254,0.237,0.183,0.138,0.267,0.0,0.007,0.073,0.252,0.0,4.296,4.652,5.706,7.532,4.5,22.05.24 - 09:15
43,0.17000000000000004,0.0045000000000000005,0.019999999999999997,22,35,0.031,0.058,0.096,0.196,0.017,0.029,0.047,0.081,0.075,0.017,0.002,0.012,0.016,0.125,0.0,4.024,4.19,4.54,5.904,3.767,22.05.24 - 09:15
44,0.17000000000000004,0.003,0.019999999999999997,15,29,0.083,0.116,0.175,0.334,0.083,0.081,0.089,0.085,0.064,0.083,0.003,0.029,0.099,0.277,0.0,3.987,4.688,5.92,7.761,3.967,22.05.24 - 09:16
45,0.14,0.004,0.03,21,-1,0.456,0.458,0.465,0.518,0.428,0.14,0.142,0.148,0.121,0.183,0.347,0.347,0.35,0.425,0.283,9.971,9.88,9.919,10.493,9.483,22.05.24 - 09:17
46,0.18000000000000005,0.005,0.019999999999999997,17,24,0.054,0.073,0.108,0.261,0.05,0.051,0.06,0.061,0.046,0.05,0.008,0.019,0.056,0.222,0.0,3.951,4.32,5.341,7.116,3.933,22.05.24 - 09:17
47,0.18000000000000005,0.003,0.03,18,25,0.066,0.071,0.097,0.222,0.05,0.066,0.071,0.083,0.075,0.05,0.0,0.0,0.014,0.15,0.0,3.75,3.786,4.211,5.981,3.75,22.05.24 - 09:18
48,0.13,0.0045000000000000005,0.019999999999999997,18,37,0.063,0.103,0.17,0.322,0.033,0.057,0.071,0.063,0.047,0.033,0.007,0.036,0.113,0.28,0.0,4.041,4.744,5.995,7.74,3.933,22.05.24 - 09:18
49,0.16000000000000003,0.004,0.01,21,-1,0.267,0.257,0.244,0.326,0.267,0.267,0.257,0.242,0.192,0.267,0.0,0.0,0.003,0.137,0.0,4.3,4.289,4.46,6.076,4.3,22.05.24 - 09:19
50,0.15000000000000002,0.004,0.03,20,-1,0.4,0.397,0.407,0.471,0.4,0.239,0.241,0.251,0.201,0.217,0.162,0.158,0.162,0.277,0.183,7.032,7.241,7.448,8.572,7.0,22.05.24 - 09:20
51,0.18000000000000005,0.003,0.015,15,30,0.097,0.103,0.159,0.322,0.117,0.086,0.084,0.078,0.059,0.1,0.017,0.027,0.091,0.27,0.017,4.464,4.911,6.001,7.816,4.367,22.05.24 - 09:20
52,0.16000000000000003,0.005,0.03,22,-1,0.33,0.344,0.37,0.427,0.307,0.116,0.128,0.144,0.121,0.117,0.232,0.239,0.252,0.33,0.2,8.653,8.671,8.742,9.382,8.383,22.05.24 - 09:21
53,0.14,0.004,0.015,16,37,0.115,0.144,0.235,0.393,0.114,0.077,0.065,0.046,0.034,0.083,0.054,0.091,0.198,0.365,0.05,5.538,6.382,7.502,9.06,4.983,22.05.24 - 09:22
54,0.16000000000000003,0.005,0.015,21,-1,0.17,0.174,0.175,0.275,0.183,0.16,0.164,0.162,0.128,0.183,0.013,0.014,0.019,0.153,0.0,4.606,4.591,4.817,6.377,4.183,22.05.24 - 09:22
55,0.15000000000000002,0.005,0.03,19,27,0.007,0.022,0.066,0.22,0.0,0.007,0.02,0.041,0.033,0.0,0.0,0.002,0.027,0.19,0.0,3.733,3.798,4.512,6.435,3.733,22.05.24 - 09:23
56,0.14,0.0035,0.024999999999999998,17,33,0.017,0.049,0.107,0.274,0.0,0.017,0.044,0.057,0.042,0.0,0.0,0.004,0.054,0.234,0.0,3.767,4.098,5.127,7.12,3.767,22.05.24 - 09:23
57,0.17000000000000004,0.0035,0.024999999999999998,16,30,0.042,0.069,0.123,0.281,0.033,0.042,0.063,0.073,0.055,0.033,0.0,0.006,0.054,0.23,0.0,3.77,4.096,5.099,7.035,3.717,22.05.24 - 09:24
58,0.16000000000000003,0.003,0.01,17,-1,0.284,0.269,0.251,0.37,0.3,0.284,0.268,0.227,0.17,0.3,0.0,0.001,0.032,0.206,0.0,4.283,4.394,5.172,6.995,4.283,22.05.24 - 09:25
59,0.15000000000000002,0.004,0.01,19,-1,0.288,0.277,0.266,0.369,0.3,0.288,0.277,0.243,0.184,0.3,0.0,0.0,0.028,0.189,0.0,4.283,4.316,4.959,6.723,4.283,22.05.24 - 09:26
60,0.16000000000000003,0.003,0.024999999999999998,21,58,0.163,0.177,0.197,0.284,0.05,0.083,0.089,0.1,0.089,0.017,0.084,0.094,0.104,0.204,0.033,6.41,6.487,6.691,7.717,5.083,22.05.24 - 09:26
61,0.17000000000000004,0.003,0.03,21,-1,0.278,0.291,0.3,0.372,0.447,0.111,0.123,0.138,0.124,0.167,0.181,0.183,0.179,0.264,0.3,8.238,8.161,8.096,8.823,9.267,22.05.24 - 09:27
62,0.15000000000000002,0.004,0.024999999999999998,21,-1,0.306,0.312,0.326,0.402,0.267,0.121,0.126,0.136,0.114,0.117,0.203,0.209,0.213,0.309,0.15,8.069,8.106,8.236,9.082,7.617,22.05.24 - 09:27
63,0.15000000000000002,0.003,0.019999999999999997,15,36,0.081,0.123,0.192,0.366,0.05,0.071,0.084,0.069,0.051,0.05,0.01,0.043,0.131,0.321,0.0,4.229,5.057,6.385,8.275,3.933,22.05.24 - 09:28
64,0.14,0.0045000000000000005,0.01,15,-1,0.287,0.35,0.413,0.548,0.233,0.0,0.0,0.0,0.0,0.0,0.287,0.35,0.413,0.548,0.233,8.104,8.739,9.443,10.727,7.317,22.05.24 - 09:28
65,0.17000000000000004,0.004,0.019999999999999997,17,24,0.043,0.067,0.103,0.256,0.033,0.041,0.058,0.066,0.05,0.033,0.004,0.014,0.046,0.213,0.0,3.829,4.103,5.083,6.916,3.733,22.05.24 - 09:29
66,0.14,0.003,0.03,22,-1,0.371,0.369,0.384,0.444,0.314,0.117,0.122,0.14,0.123,0.1,0.272,0.267,0.268,0.344,0.233,9.153,9.078,9.073,9.69,9.083,22.05.24 - 09:30
67,0.13,0.005,0.015,16,48,0.208,0.262,0.347,0.494,0.133,0.0,0.0,0.0,0.0,0.0,0.208,0.262,0.347,0.494,0.133,6.956,7.796,8.779,10.176,6.267,22.05.24 - 09:30
68,0.18000000000000005,0.003,0.019999999999999997,19,28,0.057,0.07,0.09,0.208,0.05,0.057,0.07,0.087,0.078,0.05,0.0,0.0,0.004,0.133,0.0,3.866,3.849,4.138,5.772,3.7,22.05.24 - 09:31
69,0.17000000000000004,0.003,0.024999999999999998,15,31,0.053,0.081,0.14,0.306,0.033,0.052,0.06,0.066,0.049,0.033,0.001,0.024,0.081,0.261,0.0,3.942,4.409,5.534,7.45,3.783,22.05.24 - 09:32
70,0.13,0.005,0.015,21,53,0.046,0.052,0.087,0.235,0.05,0.027,0.031,0.032,0.026,0.033,0.019,0.022,0.057,0.211,0.017,4.483,4.713,5.423,7.094,4.667,22.05.24 - 09:32
71,0.18000000000000005,0.005,0.01,16,-1,0.143,0.138,0.2,0.357,0.15,0.14,0.097,0.066,0.049,0.15,0.003,0.044,0.137,0.309,0.0,4.847,5.387,6.461,8.194,4.35,22.05.24 - 09:33
72,0.16000000000000003,0.003,0.015,17,33,0.093,0.098,0.137,0.283,0.083,0.091,0.092,0.102,0.078,0.083,0.004,0.009,0.043,0.212,0.0,4.033,4.212,5.073,6.921,4.2,22.05.24 - 09:33
73,0.15000000000000002,0.004,0.03,15,33,0.026,0.057,0.142,0.334,0.017,0.021,0.031,0.024,0.018,0.017,0.004,0.029,0.12,0.318,0.0,4.098,4.819,6.083,8.105,3.95,22.05.24 - 09:34
74,0.13,0.0035,0.015,21,33,0.02,0.031,0.083,0.221,0.017,0.017,0.02,0.056,0.046,0.017,0.003,0.012,0.03,0.179,0.0,4.013,4.279,4.96,6.646,3.817,22.05.24 - 09:34
75,0.13,0.0035,0.024999999999999998,18,32,0.027,0.059,0.111,0.273,0.017,0.027,0.051,0.066,0.05,0.017,0.0,0.008,0.051,0.228,0.0,3.76,4.047,5.039,6.991,3.733,22.05.24 - 09:35
76,0.16000000000000003,0.0035,0.01,19,-1,0.3,0.293,0.28,0.369,0.3,0.3,0.293,0.27,0.207,0.3,0.0,0.0,0.014,0.166,0.0,4.367,4.367,4.734,6.479,4.367,22.05.24 - 09:36
77,0.17000000000000004,0.003,0.01,20,-1,0.317,0.316,0.309,0.368,0.317,0.317,0.316,0.308,0.244,0.317,0.0,0.0,0.003,0.128,0.0,4.367,4.367,4.477,6.003,4.367,22.05.24 - 09:36
78,0.13,0.005,0.015,17,39,0.125,0.169,0.259,0.411,0.107,0.06,0.037,0.024,0.018,0.067,0.074,0.141,0.24,0.397,0.05,5.997,6.891,7.883,9.346,5.35,22.05.24 - 09:37
79,0.16000000000000003,0.0045000000000000005,0.015,17,27,0.078,0.078,0.139,0.297,0.107,0.069,0.068,0.061,0.046,0.1,0.016,0.02,0.088,0.258,0.017,4.108,4.627,5.739,7.538,4.7,22.05.24 - 09:37
80,0.14,0.004,0.019999999999999997,18,32,0.06,0.091,0.143,0.291,0.033,0.06,0.076,0.082,0.062,0.033,0.001,0.017,0.069,0.236,0.0,3.96,4.384,5.426,7.228,3.95,22.05.24 - 09:38
81,0.13,0.0035,0.019999999999999997,15,43,0.072,0.143,0.26,0.428,0.05,0.039,0.031,0.021,0.016,0.033,0.036,0.116,0.242,0.415,0.017,5.548,6.421,7.796,9.439,4.767,22.05.24 - 09:39
82,0.16000000000000003,0.003,0.03,20,-1,0.346,0.349,0.357,0.423,0.5,0.236,0.237,0.243,0.202,0.3,0.11,0.113,0.116,0.226,0.2,6.758,6.833,6.956,8.042,7.833,22.05.24 - 09:39
83,0.15000000000000002,0.0045000000000000005,0.015,17,30,0.07,0.08,0.159,0.316,0.05,0.062,0.055,0.049,0.037,0.05,0.013,0.029,0.117,0.285,0.0,4.379,5.147,6.347,8.022,3.85,22.05.24 - 09:40
84,0.18000000000000005,0.0045000000000000005,0.015,18,-1,0.199,0.223,0.223,0.33,0.183,0.171,0.199,0.195,0.149,0.15,0.028,0.024,0.033,0.186,0.033,4.662,4.722,5.068,6.752,4.283,22.05.24 - 09:40
85,0.15000000000000002,0.005,0.01,22,-1,0.27,0.257,0.242,0.327,0.283,0.27,0.257,0.239,0.186,0.283,0.0,0.0,0.006,0.145,0.0,4.319,4.305,4.543,6.177,4.333,22.05.24 - 09:41
86,0.15000000000000002,0.003,0.019999999999999997,19,26,0.078,0.092,0.116,0.248,0.067,0.078,0.089,0.101,0.084,0.067,0.0,0.003,0.017,0.169,0.0,3.968,4.076,4.61,6.4,3.85,22.05.24 - 09:42
87,0.14,0.003,0.01,15,43,0.112,0.178,0.281,0.433,0.107,0.062,0.064,0.043,0.032,0.067,0.064,0.131,0.249,0.409,0.05,5.841,6.866,8.0,9.486,5.583,22.05.24 - 09:42
88,0.17000000000000004,0.0045000000000000005,0.01,16,-1,0.163,0.149,0.207,0.362,0.167,0.158,0.109,0.076,0.057,0.167,0.008,0.044,0.136,0.308,0.0,4.841,5.339,6.453,8.188,4.317,22.05.24 - 09:43
89,0.18000000000000005,0.005,0.015,22,-1,0.281,0.266,0.25,0.311,0.283,0.281,0.266,0.25,0.205,0.283,0.0,0.0,0.001,0.109,0.0,4.364,4.344,4.421,5.758,4.367,22.05.24 - 09:43
90,0.18000000000000005,0.0045000000000000005,0.019999999999999997,20,25,0.076,0.082,0.102,0.213,0.083,0.076,0.082,0.093,0.082,0.083,0.0,0.0,0.01,0.136,0.0,3.94,3.973,4.282,5.898,3.9,22.05.24 - 09:44
91,0.15000000000000002,0.003,0.03,15,33,0.028,0.066,0.13,0.313,0.017,0.027,0.051,0.056,0.042,0.017,0.001,0.016,0.08,0.275,0.0,3.944,4.406,5.543,7.59,3.8,22.05.24 - 09:44
92,0.15000000000000002,0.004,0.03,18,26,0.017,0.036,0.078,0.231,0.017,0.017,0.035,0.054,0.044,0.017,0.0,0.001,0.027,0.191,0.0,3.75,3.844,4.56,6.488,3.75,22.05.24 - 09:45
93,0.15000000000000002,0.0045000000000000005,0.01,16,40,0.086,0.134,0.233,0.391,0.09,0.033,0.021,0.014,0.011,0.067,0.061,0.119,0.223,0.384,0.033,5.547,6.452,7.507,9.063,5.183,22.05.24 - 09:46
94,0.18000000000000005,0.0035,0.03,21,-1,0.247,0.265,0.278,0.345,0.457,0.101,0.123,0.13,0.118,0.167,0.153,0.154,0.161,0.242,0.3,7.466,7.586,7.596,8.374,8.967,22.05.24 - 09:46
95,0.18000000000000005,0.003,0.01,18,-1,0.3,0.294,0.286,0.372,0.3,0.3,0.294,0.279,0.216,0.3,0.0,0.0,0.01,0.16,0.0,4.333,4.333,4.624,6.378,4.333,22.05.24 - 09:47
96,0.15000000000000002,0.0035,0.015,17,27,0.082,0.092,0.138,0.296,0.083,0.079,0.079,0.077,0.057,0.083,0.007,0.019,0.07,0.245,0.0,4.25,4.556,5.606,7.434,4.417,22.05.24 - 09:48
97,0.13,0.004,0.03,19,26,0.0,0.014,0.062,0.226,0.0,0.0,0.013,0.033,0.026,0.0,0.0,0.001,0.032,0.203,0.0,3.833,3.915,4.667,6.644,3.833,22.05.24 - 09:48
98,0.13,0.005,0.019999999999999997,17,38,0.046,0.105,0.199,0.372,0.033,0.012,0.013,0.009,0.007,0.017,0.033,0.093,0.191,0.366,0.017,5.091,5.926,7.099,8.81,4.383,22.05.24 - 09:49
99,0.18000000000000005,0.0045000000000000005,0.015,20,-1,0.3,0.297,0.284,0.348,0.3,0.3,0.297,0.283,0.223,0.3,0.0,0.0,0.003,0.128,0.0,4.317,4.317,4.457,6.006,4.317,22.05.24 - 09:50
100,0.17000000000000004,0.0035,0.03,20,-1,0.305,0.318,0.329,0.401,0.217,0.214,0.22,0.225,0.19,0.167,0.092,0.101,0.106,0.215,0.05,6.292,6.406,6.536,7.701,5.567,22.05.24 - 09:50
101,0.16000000000000003,0.004,0.03,20,-1,0.389,0.385,0.397,0.461,0.367,0.259,0.257,0.266,0.214,0.267,0.13,0.13,0.135,0.252,0.1,6.727,6.908,7.131,8.267,6.483,22.05.24 - 09:51
102,0.13,0.0035,0.015,15,45,0.148,0.208,0.312,0.467,0.117,0.044,0.029,0.019,0.014,0.067,0.112,0.186,0.297,0.456,0.05,6.306,7.296,8.439,9.921,5.783,22.05.24 - 09:51
103,0.17000000000000004,0.0045000000000000005,0.015,20,-1,0.3,0.295,0.277,0.352,0.3,0.3,0.295,0.274,0.214,0.3,0.0,0.0,0.004,0.141,0.0,4.283,4.283,4.5,6.147,4.283,22.05.24 - 09:52
104,0.14,0.005,0.024999999999999998,15,45,0.076,0.158,0.275,0.445,0.033,0.001,0.001,0.0,0.0,0.017,0.074,0.158,0.274,0.445,0.017,5.821,6.643,7.964,9.617,5.317,22.05.24 - 09:53
105,0.13,0.005,0.024999999999999998,19,28,0.017,0.044,0.105,0.269,0.017,0.017,0.032,0.042,0.031,0.017,0.0,0.013,0.069,0.242,0.0,3.811,4.153,5.23,7.137,3.717,22.05.24 - 09:53
106,0.14,0.003,0.01,16,37,0.07,0.091,0.175,0.348,0.057,0.059,0.058,0.05,0.038,0.05,0.021,0.044,0.134,0.318,0.017,4.363,5.136,6.41,8.241,3.833,22.05.24 - 09:54
107,0.16000000000000003,0.004,0.01,15,44,0.093,0.163,0.266,0.422,0.083,0.027,0.019,0.013,0.01,0.067,0.071,0.148,0.256,0.414,0.017,5.85,6.886,7.945,9.445,5.45,22.05.24 - 09:54
108,0.15000000000000002,0.0035,0.03,22,-1,0.352,0.355,0.367,0.426,0.347,0.123,0.125,0.143,0.126,0.117,0.249,0.249,0.246,0.322,0.25,9.143,8.853,8.842,9.44,9.517,22.05.24 - 09:55
109,0.15000000000000002,0.004,0.019999999999999997,22,34,0.021,0.023,0.049,0.175,0.033,0.019,0.019,0.035,0.037,0.033,0.002,0.004,0.016,0.141,0.0,3.883,3.952,4.356,5.951,4.133,22.05.24 - 09:56
110,0.16000000000000003,0.004,0.01,22,-1,0.284,0.282,0.271,0.338,0.3,0.284,0.282,0.27,0.218,0.3,0.0,0.0,0.001,0.123,0.0,4.367,4.365,4.435,5.926,4.367,22.05.24 - 09:56
111,0.16000000000000003,0.003,0.01,21,-1,0.287,0.285,0.273,0.34,0.3,0.287,0.285,0.272,0.219,0.3,0.0,0.0,0.001,0.124,0.0,4.367,4.367,4.445,5.939,4.367,22.05.24 - 09:57
112,0.14,0.003,0.024999999999999998,16,35,0.045,0.079,0.141,0.315,0.017,0.044,0.062,0.067,0.05,0.017,0.001,0.019,0.082,0.27,0.0,3.97,4.373,5.549,7.539,3.967,22.05.24 - 09:58
113,0.16000000000000003,0.0045000000000000005,0.019999999999999997,16,35,0.062,0.1,0.177,0.336,0.033,0.051,0.064,0.049,0.036,0.033,0.011,0.043,0.136,0.305,0.0,4.192,5.089,6.38,8.109,3.967,22.05.24 - 09:58
114,0.17000000000000004,0.0045000000000000005,0.015,22,-1,0.273,0.266,0.25,0.313,0.283,0.273,0.266,0.249,0.202,0.283,0.0,0.0,0.002,0.114,0.0,4.382,4.369,4.456,5.838,4.4,22.05.24 - 09:59
