experiment_subnum,plasticity.lambda_plus,plasticity.lambda_minus,plasticity.lambda_h,plasticity.tau_plus,num-epochs_avg,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
791,0.17000000000000004,0.003,0.015,18,-1,0.298,0.292,0.274,0.363,0.3,0.294,0.288,0.267,0.206,0.3,0.003,0.004,0.009,0.161,0.0,4.413,4.418,4.703,6.451,4.35,22.05.24 - 16:50
792,0.15000000000000002,0.0045000000000000005,0.015,22,-1,0.183,0.182,0.18,0.269,0.183,0.182,0.179,0.177,0.143,0.183,0.001,0.003,0.006,0.131,0.0,4.23,4.282,4.46,6.007,4.217,22.05.24 - 16:50
793,0.14,0.0045000000000000005,0.019999999999999997,17,37,0.052,0.095,0.172,0.333,0.033,0.048,0.064,0.052,0.039,0.033,0.004,0.036,0.127,0.299,0.0,4.132,4.94,6.249,8.01,3.933,22.05.24 - 16:51
794,0.18000000000000005,0.0045000000000000005,0.01,17,-1,0.232,0.215,0.216,0.344,0.25,0.232,0.213,0.168,0.126,0.25,0.0,0.004,0.054,0.223,0.0,4.233,4.452,5.306,7.095,4.233,22.05.24 - 16:51
795,0.13,0.003,0.019999999999999997,19,25,0.06,0.079,0.118,0.264,0.05,0.06,0.074,0.086,0.068,0.05,0.0,0.007,0.039,0.202,0.0,3.84,4.057,4.819,6.704,3.767,22.05.24 - 16:52
796,0.17000000000000004,0.003,0.024999999999999998,17,21,0.067,0.076,0.116,0.254,0.067,0.067,0.074,0.089,0.072,0.067,0.0,0.003,0.031,0.186,0.0,3.778,3.904,4.637,6.468,3.767,22.05.24 - 16:53
797,0.18000000000000005,0.004,0.015,20,-1,0.3,0.298,0.29,0.353,0.3,0.3,0.298,0.289,0.229,0.3,0.0,0.0,0.001,0.126,0.0,4.35,4.35,4.455,5.973,4.35,22.05.24 - 16:53
798,0.16000000000000003,0.0035,0.019999999999999997,15,36,0.084,0.123,0.197,0.36,0.067,0.074,0.083,0.065,0.049,0.067,0.011,0.046,0.14,0.318,0.0,4.294,5.191,6.519,8.289,3.933,22.05.24 - 16:54
799,0.14,0.0045000000000000005,0.024999999999999998,19,29,0.023,0.052,0.102,0.254,0.017,0.023,0.047,0.061,0.048,0.017,0.0,0.006,0.044,0.21,0.0,3.733,3.946,4.863,6.756,3.733,22.05.24 - 16:54
800,0.13,0.005,0.024999999999999998,16,43,0.04,0.106,0.213,0.393,0.0,0.008,0.005,0.003,0.002,0.0,0.032,0.101,0.21,0.391,0.0,5.127,5.991,7.279,9.051,4.35,22.05.24 - 16:55
801,0.14,0.0045000000000000005,0.015,20,22,0.081,0.077,0.093,0.238,0.1,0.08,0.075,0.07,0.054,0.1,0.001,0.003,0.028,0.188,0.0,3.818,3.922,4.643,6.484,3.833,22.05.24 - 16:55
802,0.15000000000000002,0.0035,0.024999999999999998,20,-1,0.323,0.321,0.324,0.4,0.45,0.229,0.223,0.218,0.175,0.283,0.098,0.101,0.11,0.231,0.167,6.317,6.418,6.646,7.895,7.15,22.05.24 - 16:56
803,0.16000000000000003,0.005,0.01,22,-1,0.283,0.278,0.26,0.33,0.283,0.283,0.278,0.258,0.203,0.283,0.0,0.0,0.003,0.131,0.0,4.333,4.327,4.463,6.003,4.333,22.05.24 - 16:57
804,0.13,0.0045000000000000005,0.015,16,45,0.161,0.223,0.311,0.461,0.14,0.029,0.017,0.011,0.008,0.05,0.142,0.213,0.304,0.456,0.1,6.559,7.483,8.436,9.866,5.967,22.05.24 - 16:57
805,0.13,0.005,0.024999999999999998,21,-1,0.459,0.466,0.471,0.532,0.444,0.126,0.132,0.129,0.099,0.1,0.364,0.366,0.376,0.459,0.383,9.782,9.844,9.931,10.582,9.567,22.05.24 - 16:58
