instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,-1,0.333,0.333,0.333,0.385,0.333,0.333,0.333,0.333,0.265,0.333,0.0,0.0,0.0,0.12,0.0,4.167,4.167,4.167,5.7,4.167,29.04.24 - 15:23
1,-1,0.167,0.167,0.147,0.253,0.167,0.167,0.167,0.147,0.123,0.167,0.0,0.0,0.0,0.133,0.0,4.0,4.0,4.022,5.88,4.0,29.04.24 - 15:23
2,-1,0.333,0.333,0.333,0.393,0.333,0.333,0.333,0.333,0.262,0.333,0.0,0.0,0.0,0.132,0.0,3.833,3.833,3.913,5.76,3.833,29.04.24 - 15:23
3,-1,0.333,0.333,0.332,0.379,0.333,0.333,0.333,0.331,0.265,0.333,0.0,0.0,0.002,0.125,0.0,4.833,4.833,5.02,6.495,4.833,29.04.24 - 15:23
4,-1,0.333,0.333,0.331,0.372,0.333,0.333,0.333,0.331,0.255,0.333,0.0,0.0,0.0,0.117,0.0,3.833,3.833,3.86,5.412,3.833,29.04.24 - 15:23
5,-1,0.333,0.333,0.333,0.39,0.333,0.333,0.333,0.333,0.283,0.333,0.0,0.0,0.0,0.107,0.0,3.833,3.833,3.833,5.363,3.833,29.04.24 - 15:23
6,-1,0.167,0.167,0.167,0.266,0.167,0.167,0.167,0.167,0.142,0.167,0.0,0.0,0.0,0.13,0.0,3.5,3.5,4.06,5.622,3.5,29.04.24 - 15:23
7,-1,0.333,0.333,0.333,0.389,0.333,0.333,0.333,0.333,0.275,0.333,0.0,0.0,0.0,0.118,0.0,4.667,4.667,4.8,6.297,4.667,29.04.24 - 15:23
8,-1,0.167,0.167,0.167,0.265,0.167,0.167,0.167,0.167,0.13,0.167,0.0,0.0,0.0,0.135,0.0,4.333,4.333,4.36,6.018,4.333,29.04.24 - 15:23
9,23,0.0,0.0,0.0,0.126,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.125,0.0,4.833,4.833,4.878,6.243,4.833,29.04.24 - 15:23
