instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,72,0.0,0.11,0.263,0.441,0.0,0.0,0.05,0.062,0.047,0.0,0.0,0.06,0.202,0.395,0.0,4.207,5.737,7.68,9.477,3.167,19.04.24 - 05:34
1,83,0.053,0.123,0.251,0.432,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.123,0.251,0.432,0.0,6.0,6.323,7.771,9.578,6.0,19.04.24 - 05:34
2,64,0.0,0.07,0.252,0.432,0.0,0.0,0.047,0.06,0.045,0.0,0.0,0.023,0.196,0.39,0.0,3.667,4.727,7.044,8.98,3.667,19.04.24 - 05:34
3,68,0.0,0.06,0.211,0.402,0.0,0.0,0.0,0.007,0.005,0.0,0.0,0.06,0.204,0.397,0.0,6.333,6.533,8.167,9.875,6.333,19.04.24 - 05:34
4,-1,0.167,0.197,0.327,0.488,0.167,0.04,0.103,0.087,0.065,0.0,0.127,0.093,0.247,0.428,0.167,5.0,5.56,7.453,9.287,5.0,19.04.24 - 05:34
5,-1,0.2,0.308,0.412,0.552,0.167,0.167,0.183,0.151,0.113,0.167,0.08,0.197,0.316,0.48,0.0,6.0,6.583,8.102,9.787,5.0,19.04.24 - 05:34
6,78,0.02,0.097,0.249,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.097,0.249,0.43,0.0,6.0,6.927,8.391,9.977,6.0,19.04.24 - 05:34
7,-1,0.167,0.227,0.324,0.487,0.167,0.0,0.0,0.0,0.0,0.0,0.167,0.227,0.324,0.487,0.167,5.333,6.213,7.72,9.487,5.333,19.04.24 - 05:34
8,70,0.0,0.139,0.277,0.451,0.0,0.0,0.037,0.051,0.038,0.0,0.0,0.123,0.24,0.423,0.0,5.02,5.883,7.522,9.312,3.5,19.04.24 - 05:34
9,99,0.163,0.166,0.274,0.449,0.0,0.053,0.11,0.087,0.065,0.0,0.113,0.06,0.191,0.387,0.0,5.547,5.933,7.416,9.245,5.5,19.04.24 - 05:34
