instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,33,0.0,0.0,0.018,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.198,0.0,3.0,3.0,3.587,5.803,3.0,29.04.24 - 08:36
1,46,0.0,0.0,0.084,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.25,0.0,4.0,4.0,4.987,6.9,4.0,29.04.24 - 08:36
2,46,0.0,0.0,0.069,0.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.237,0.0,3.667,4.627,5.693,7.518,3.667,29.04.24 - 08:36
3,35,0.0,0.0,0.036,0.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.215,0.0,3.833,3.833,4.538,6.643,3.833,29.04.24 - 08:36
4,43,0.0,0.0,0.067,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.24,0.0,3.333,3.333,4.567,6.592,3.333,29.04.24 - 08:36
5,42,0.0,0.0,0.085,0.254,0.0,0.0,0.0,0.038,0.028,0.0,0.0,0.0,0.067,0.24,0.0,3.333,3.333,4.293,6.482,3.333,29.04.24 - 08:36
6,48,0.0,0.0,0.102,0.265,0.0,0.0,0.0,0.042,0.032,0.0,0.0,0.0,0.071,0.242,0.0,3.833,3.833,4.687,6.7,3.833,29.04.24 - 08:36
7,42,0.0,0.0,0.058,0.218,0.0,0.0,0.0,0.049,0.037,0.0,0.0,0.0,0.009,0.182,0.0,3.667,3.667,4.173,6.302,3.667,29.04.24 - 08:36
8,40,0.0,0.0,0.044,0.233,0.0,0.0,0.0,0.011,0.008,0.0,0.0,0.0,0.033,0.225,0.0,3.5,3.5,4.4,6.51,3.5,29.04.24 - 08:36
9,51,0.0,0.003,0.061,0.239,0.0,0.0,0.003,0.056,0.042,0.0,0.0,0.0,0.011,0.202,0.0,3.333,3.737,4.32,6.493,3.333,29.04.24 - 08:36
