instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,-1,0.233,0.206,0.237,0.33,0.333,0.122,0.111,0.141,0.111,0.167,0.111,0.094,0.096,0.222,0.167,6.189,6.028,6.707,7.889,7.0,22.05.24 - 10:08
1,-1,0.267,0.272,0.288,0.359,0.5,0.167,0.172,0.185,0.142,0.333,0.1,0.1,0.107,0.222,0.167,6.067,6.133,6.196,7.331,6.833,22.05.24 - 10:08
2,-1,0.311,0.328,0.366,0.443,0.5,0.222,0.222,0.241,0.186,0.333,0.089,0.106,0.13,0.264,0.167,5.856,6.067,6.707,8.064,6.667,22.05.24 - 10:08
3,-1,0.2,0.2,0.263,0.368,0.333,0.1,0.1,0.133,0.119,0.167,0.1,0.1,0.141,0.261,0.167,5.422,5.383,6.319,7.686,6.167,22.05.24 - 10:08
4,-1,0.444,0.422,0.41,0.471,0.5,0.222,0.244,0.244,0.214,0.333,0.222,0.178,0.17,0.264,0.167,7.578,7.189,6.989,8.039,7.833,22.05.24 - 10:08
5,-1,0.389,0.367,0.385,0.433,0.5,0.289,0.267,0.278,0.222,0.333,0.1,0.1,0.107,0.211,0.167,6.556,6.517,6.848,7.892,7.5,22.05.24 - 10:09
6,59,0.178,0.2,0.22,0.332,0.0,0.089,0.1,0.107,0.106,0.0,0.089,0.1,0.115,0.233,0.0,5.578,5.65,6.041,7.544,4.667,22.05.24 - 10:09
7,-1,0.322,0.393,0.426,0.479,0.5,0.222,0.267,0.285,0.239,0.333,0.1,0.139,0.152,0.253,0.167,7.356,7.633,7.474,8.378,8.5,22.05.24 - 10:09
8,-1,0.367,0.404,0.437,0.487,0.333,0.256,0.278,0.293,0.228,0.167,0.111,0.139,0.156,0.272,0.167,8.133,8.089,8.033,9.069,7.667,22.05.24 - 10:09
9,-1,0.322,0.356,0.378,0.425,0.5,0.211,0.217,0.248,0.206,0.333,0.111,0.139,0.13,0.219,0.167,6.167,6.611,6.967,7.969,7.333,22.05.24 - 10:09
