instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,15,0.0,0.0,0.0,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.0,4.0,4.0,4.0,5.8,4.0,22.05.24 - 17:52
1,12,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,3.5,3.5,3.5,4.77,3.5,22.05.24 - 17:52
2,15,0.0,0.0,0.0,0.129,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.125,0.0,3.0,3.0,3.0,4.545,3.0,22.05.24 - 17:52
3,16,0.0,0.0,0.0,0.129,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.1,0.0,3.0,3.0,3.0,4.885,3.0,22.05.24 - 17:52
4,25,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.14,0.0,3.5,3.5,3.64,5.505,3.5,22.05.24 - 17:52
5,19,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.095,0.0,3.5,3.5,3.5,4.815,3.5,22.05.24 - 17:52
6,21,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.13,0.0,4.0,4.0,4.0,5.935,4.0,22.05.24 - 17:52
7,18,0.0,0.0,0.0,0.147,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.135,0.0,3.5,3.5,3.5,5.58,3.5,22.05.24 - 17:52
8,27,0.0,0.0,0.013,0.206,0.0,0.0,0.0,0.013,0.07,0.0,0.0,0.0,0.0,0.145,0.0,4.0,4.0,4.207,5.87,4.0,22.05.24 - 17:52
9,13,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.09,0.0,3.5,3.5,3.5,5.325,3.5,22.05.24 - 17:52
