instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,-1,0.411,0.372,0.33,0.391,0.667,0.333,0.306,0.27,0.228,0.333,0.078,0.067,0.059,0.167,0.333,6.978,6.722,6.793,7.942,10.833,22.05.24 - 17:50
1,-1,0.267,0.267,0.27,0.35,0.5,0.211,0.206,0.207,0.186,0.333,0.056,0.061,0.063,0.172,0.167,5.778,5.861,5.693,6.811,6.5,22.05.24 - 17:50
2,-1,0.3,0.306,0.307,0.372,0.333,0.2,0.222,0.23,0.189,0.167,0.1,0.083,0.078,0.192,0.167,6.244,6.061,6.181,7.364,7.0,22.05.24 - 17:50
3,-1,0.156,0.144,0.173,0.285,0.333,0.078,0.072,0.085,0.1,0.167,0.078,0.072,0.093,0.194,0.167,5.144,5.039,5.289,6.767,6.167,22.05.24 - 17:50
4,-1,0.411,0.361,0.348,0.403,0.667,0.333,0.3,0.27,0.242,0.333,0.078,0.061,0.078,0.161,0.333,6.167,6.011,6.137,7.183,9.667,22.05.24 - 17:50
5,-1,0.411,0.406,0.378,0.416,0.667,0.322,0.317,0.3,0.253,0.333,0.089,0.089,0.078,0.167,0.333,6.467,6.961,6.644,7.544,9.5,22.05.24 - 17:50
6,-1,0.378,0.378,0.37,0.44,0.333,0.322,0.317,0.304,0.264,0.333,0.056,0.061,0.067,0.181,0.0,6.433,6.311,6.496,7.644,8.167,22.05.24 - 17:50
7,-1,0.4,0.411,0.378,0.434,0.5,0.322,0.328,0.285,0.25,0.333,0.078,0.083,0.093,0.189,0.167,6.111,6.211,6.452,7.517,7.833,22.05.24 - 17:50
8,-1,0.411,0.412,0.419,0.474,0.5,0.333,0.333,0.333,0.278,0.333,0.078,0.089,0.093,0.206,0.167,6.367,6.367,6.57,7.794,7.5,22.05.24 - 17:50
9,-1,0.289,0.289,0.304,0.356,0.5,0.211,0.206,0.207,0.178,0.333,0.078,0.083,0.096,0.178,0.167,6.411,6.333,6.6,7.514,8.167,22.05.24 - 17:50
