instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,duplicate_dendrites_running-avg-0.25,duplicate_dendrites_running-avg-0.5,duplicate_dendrites_running-avg-0.75,duplicate_dendrites_running-avg-1.0,duplicate_dendrites_last,time_finished
0,-1,0.9,0.89,0.893,0.888,0.75,0.0,0.0,0.0,0.0,0.0,0.9,0.89,0.893,0.888,0.75,3.02,3.015,3.017,3.18,2.25,0.88,0.9,0.84,0.76,1.0,28.05.24 - 08:02
1,-1,0.81,0.805,0.813,0.81,0.75,0.0,0.0,0.0,0.0,0.0,0.81,0.805,0.813,0.81,0.75,3.73,3.58,3.547,3.662,3.5,0.88,0.9,0.92,0.88,1.0,28.05.24 - 08:09
2,-1,0.77,0.8,0.763,0.765,0.75,0.0,0.0,0.0,0.0,0.0,0.77,0.8,0.763,0.765,0.75,3.71,3.58,3.587,3.675,4.5,0.44,0.36,0.427,0.4,0.0,28.05.24 - 08:17
3,-1,0.89,0.875,0.857,0.86,1.0,0.0,0.0,0.0,0.0,0.0,0.89,0.875,0.857,0.86,1.0,3.18,3.205,3.1,3.372,4.0,0.0,0.0,0.0,0.0,0.0,28.05.24 - 08:24
4,-1,0.81,0.82,0.847,0.842,0.75,0.0,0.0,0.0,0.0,0.0,0.81,0.82,0.847,0.842,0.75,3.5,3.48,3.413,3.558,3.75,0.84,0.9,0.92,0.83,0.0,28.05.24 - 08:31
